ind,userName,content,rating,date,reviewVersion,compound,sentiment ,Unnamed: 0,sentiment
0,Tero,simple application you cant do your job better anymore,5,2021-10-08,5.37,0.4404,neutral,,
7,Neea Hammarén,works well and wherever i myself have been i think that the monthly billing left and now every time the payment goes,4,2021-09-07,5.36,0.2732,neutral,,
14,Kalevi Kolehmainen,works if you install the app in the area of wifi connected to your phone a practical experiment in the area of a good telephone network has yet to be done,4,2021-08-04,5.35,0.4404,neutral,,
23,Henri,buginen this was so awkward to make that work required 5 text with verification codes and id password reset on top to get ahead of course the problems did not stay there but the terms had to be accepted about 10 times to get open the right of the location also had to be manually turned on to turn on the settings when these were ok i couldnt even put it in the park the next morning due to the 4h limit fortunately there was extra time to adjust and eventually easypark opened and had the car parked,2,2021-07-13,5.34,0.3018,neutral,,
26,Niko Lappalainen,before it worked well now it crashes constantly and i dont get stopped parking,2,2021-07-07,5.33,0.0516,neutral,,
29,Kiiki Sario,katuukaatuu  edit can you put an email address where to put a message not playing also didnt turn off the parking even though i tried many times and also removed the app right after i put that previous message,2,2021-07-06,,-0.1511,neutral,,
35,Heli 74,before it worked well today no parking lot or in this case the parking lot did not see from my own device that i had paid for parking luckily i was there and i was able to show the receipt that has been paid otherwise there would have been a ticket in the window  so this in turku bus station parking lot,2,2021-06-08,5.32,0.5411,positive,,
37,Kimmo Salonen,good,3,2021-06-08,5.32,0.4404,neutral,,
38,Raija Lehtonen,punches badly poke for a week and no one answers emails or phone calls,1,2021-06-08,5.32,-0.6486,negative,,
40,marko mäki,good,4,2021-05-28,5.31,0.4404,neutral,,
45,Harry Intonen,with the latest update the app picks up really badly i parked the car for probably 35 minutes when usually it has taken max 1min  i also have to find the exact location myself the app does not target the location yes it shows the location but does not agree to target it ,2,2021-05-15,5.31,-0.4609,neutral,,
48,Paula,easy and good,5,2021-04-22,5.29,0.7263,positive,,
50,aqu agu,now end the use of the parkman when you dont find a place where you are and suggest adjacent parking spaces from the list even if you find the right parking space it is not accepted sometimes it might work quite well,1,2021-04-15,5.29,0.1479,neutral,,
52,Juha Takanen,good,1,2021-03-25,5.29,0.4404,neutral,,
54,FN MTL HD,tricky to deploy punches easypark is much better,1,2021-03-10,,0.3182,neutral,,
59,Bekim Behrami,really good and simple to use,5,2021-02-25,5.27,0.4927,neutral,,
60,Jukka L,quite ok now just with every opening you want a phone number that you dont need for anything i dont want to give the number for advertising purposes if the number query does not end then you must stop using this one,2,2021-02-20,5.27,-0.0572,neutral,,
62,Jari Paulo,well works iisi use ,5,2021-02-16,5.27,0.2732,neutral,,
63,Arto Kivistö,good app,4,2021-02-13,5.26,0.4404,neutral,,
64,Markus Rantanen,bad app once a day a new update and time goes into updating the car when should put a quick parking time faster even in cash to pay at the vending machine,1,2021-02-11,5.27,-0.5994,negative,,
73,Ole Kinnunen,surprisingly good and easy accelerates and facilitates transactions in stone foot shops also saves on parking error fees ,5,2020-12-22,5.15,0.6486,positive,,
75,Tuuli Kiviniemi,i have had the app installed for a few beds and i have been happy but now my text message said that you have not been able to charge my account the validity of my debit card was updated at the turn of the month but the number remained the same what is your problem the phone number in the contacts is not in use i would like to continue using park mania but how do i get in touch to resolve a debit card issue tuuli kiviniemi ijr782,2,2020-12-02,5.12,0.7907,positive,,
76,Jukka Raulamo,easy and fast reliable automatic parking termination is a really good feature,5,2020-11-30,5.11,0.7264,positive,,
77,Harri Heiskanen,works well,5,2020-11-24,5.11,0.2732,neutral,,
89,Katariina,the best parking app ,5,2020-10-21,5.08,0.8842,positive,,
91,Riitta Xxx,the best easy to use,5,2020-10-16,5.08,0.7964,positive,,
