ind,userName,content,rating,date,reviewVersion,compound,sentiment ,Unnamed: 0,sentiment
9,T G,installation from google play does not work the installation chain goes installinstalled but where is the open button there will be no button with the parkman app logo in the menus that is not installed though so claims ,1,2021-08-24,,-0.2732,neutral,,
15,Risto Koivunen,not even creating an account was successful 5 attempts to enter a verification code received as a text message but failed was claimed to be incorrect even though it was guaranteed to be correct the attempts were enough for me and the app got evicted from my phone,1,2021-08-01,5.35,-0.5414,negative,,
32,Markku Impiö,the new parkman will spam you with a receipt email for each parking,1,2021-06-25,5.32,-0.3612,neutral,,
33,Pekka Jokinen,after replacing the handset the application cannot be updated  account reenabled goes to the txt loop and after a while reports too many attempts to log in try again after 59min until then i own a fine or exchange another parking app i will choose the last one,1,2021-06-17,5.32,0.2023,neutral,,
35,Heli 74,before it worked well today no parking lot or in this case the parking lot did not see from my own device that i had paid for parking luckily i was there and i was able to show the receipt that has been paid otherwise there would have been a ticket in the window  so this in turku bus station parking lot,2,2021-06-08,5.32,0.5411,positive,,
43,Johan Niemimäki,for this pskan application i received fines of  500 in total although always put on parking for example on monday i parked and on thursday i will come back in a glass 3x50  fine and transfer request then when the app is opened then no receipt or proof of parking can be found to prove that there is parked and confirmed parking in a nutshell it doesnt work then and the very amazing pska is explained when you ask what i will not recommend to anyone,1,2021-05-17,5.31,0.2595,neutral,,
46,Joel Raatikainen,unable to create user complains that incorrect verification code even though i put the code correctly,1,2021-05-13,5.31,-0.128,neutral,,
47,Christer vonGross,the charge will not work even if all the settings are correct check that your settings are correct you cannot blame the customer as you do now,2,2021-05-07,5.30,0.2584,neutral,,
49,Reijo Falenius,i would give less than a star because the program bucks on android and doesnt let me add a car,1,2021-04-18,5.29,0.0,neutral,,
57,Timo Neuvonen,the parking fee works  at least for now i dont know why the app has started verifying phone number verification but it is not working the text will come from which the code reading will not work automatically manually entering the code will complain about the wrong code  5 times after i got bored encode that to work before you have to use that phone number,3,2021-03-08,5.28,-0.8573,negative,,
60,Jukka L,quite ok now just with every opening you want a phone number that you dont need for anything i dont want to give the number for advertising purposes if the number query does not end then you must stop using this one,2,2021-02-20,5.27,-0.0572,neutral,,
75,Tuuli Kiviniemi,i have had the app installed for a few beds and i have been happy but now my text message said that you have not been able to charge my account the validity of my debit card was updated at the turn of the month but the number remained the same what is your problem the phone number in the contacts is not in use i would like to continue using park mania but how do i get in touch to resolve a debit card issue tuuli kiviniemi ijr782,2,2020-12-02,5.12,0.7907,positive,,
94,marina muhonen,every time i park my car in a paid spot the program starts updating itself again had to wait in the car before it works again what exactly is this thats the second time in two weeks stupid just when there is a lot of hurry,2,2020-10-13,5.07,-0.5267,negative,,
95,Juha Haatainen,works really well even i could ssnoa that easy to park better lighter at least i recommend,5,2020-10-13,5.07,0.8655,positive,,
96,Tuomas,it has worked well on its own but sometimes causes annoyance when rotating the parking time the time jumps back to the max parking time if the parking time is exceeded according to the app this feature could be removed or even changed,3,2020-10-12,5.07,-0.34,neutral,,
104,Jouni Leskinen,recognizes the area well changing the phone was a bit confusing but lets go again,4,2020-09-24,,0.0258,neutral,,
117,Hanne Muurinen,the app has always worked flawlessly is easy to use changes to your car truck or card information are easy to make and a monthly receipt for email is a good thing mainly annoying that the pm doesnt work  goes everywhere  every park in my city and because of this has come a couple of parking fines,4,2020-08-01,5.06,0.7783,positive,,
118,Joni Kemppainen,i only downloaded this because of the free linnanmäki park which was attached to a parking pole as an advertisement i redeemed this free park and in a month there will be a text message that the park has not been paid now then you should pay 15e for free parking pretty ridiculous,1,2020-08-01,5.06,0.9197,positive,,
156,Laura Jetten,the app seemed good at first no need to ramp outside to increase parking time and parking can be stopped earlier if you wish but the app takes a lot more money than an area parking meter  for example a parking meter for 2 and a half hours is  5 but parkman takes  660 this would give you almost an hour more extra time from the parking meter,1,2020-04-01,5.00,0.5526,positive,,
157,Pasi Vuorinen,the latest update broke something can no longer be used without wifi location information and will never notify you that the charge will remain on if you leave the park,5,2020-03-31,5.01,-0.6369,negative,,
160,Anne Hytönen,works well parking supervisors also recommended this,5,2020-03-12,4.94,0.4404,neutral,,
168,jemina jämiäluoma,easy to use and can be used today without a separate parkma sticker use my code mneyb1 and you will get a 1000  discount on your first parking,5,2020-03-01,4.94,0.4404,neutral,,
190,Tero Puumalainen,easy and fast installation parking time can be easily changed if necessary works with that promotional code another 10  free parking time 3wud6q,5,2020-01-10,4.94,0.8356,positive,,
205,Jaakko Korkonen,you will not get wet in the sleet,5,2019-11-28,4.91,0.0,neutral,,
233,Kauno Riihonen,finds a great location and zone quick to use and easy to pay you can set your own default time and change it later,3,2019-10-18,4.87,0.765,positive,,
244,Onni Niemivaara,the app complains many times during the same session that positioning is not on and map view is always in africa by default you will not be able to stop parking until you zoom in to finland and the city where you are in the park only then will active parking be visible annoying,2,2019-10-02,4.87,-0.5859,negative,,
246,Joni Mononen,nvp9g5 with code 10e parking money  convenient application if you are not sure about the parking time time can be increased remotely if needed an easytouse application even this kind of firsttimer was hooked on what it was all about there was little doubt as to whether the whole thing would work when everything was so easy ,4,2019-10-01,4.87,0.678,positive,,
258,Sari Turunen,it is an easy and effortless application i recommend,5,2019-09-13,4.85,0.6597,positive,,
263,Lauri Kara,easy to use however there would be an improvement in accuracy the app accepted the payment but i was at the venue in addition no fines were reported,3,2019-09-07,4.86,0.1779,neutral,,
273,Jani Kauppila,an excellent wellfunctioning and easytouse application when you use the code rl9w when you register you will still receive  10 free parking time in addition to everything else,5,2019-08-26,4.85,0.7906,positive,,
285,Sami Viitanen,i downloaded when easypark didnt work for some reason a working app and quick deployment i recommend and even with promotional code x6jm 10e discount on parking,5,2019-08-09,4.84,0.4199,neutral,,
290,Marko Laukkanen,a working app i recommend with promotional code 66nncg 10  discount,5,2019-08-07,4.84,0.3612,neutral,,
291,Jalmari Lähevirta,easy fast and clear application requires only the required permissions unlike a competing application by registering using the code p1yv you get one free parking the only downside to the program comes from the exhaustion of easy access to a private and business account or else i just cant find it,4,2019-08-04,4.84,0.802,positive,,
299,Chris Tregubåv,there were no problems you can easily get paid for parking without digging for coins with the code m1ju you could change both  10 free parking,5,2019-07-18,4.82,0.7881,positive,,
304,Mika Vauhkonen,too bad it doesnt stop when you leave the p area but remember to stop,2,2019-07-13,4.77,-0.6121,negative,,
315,RetuRalli,a troublefree service not a bad thing to say the only thing i just wondered at first when the parking was completed then the account was not debited i still dont know how many days the charge will be made,5,2019-07-01,4.82,0.431,neutral,,
319,Matti Sippola,jees application at least in stad and the margins will obviously stay in finland checkmate,5,2019-06-27,4.8,0.0,neutral,,
326,Ritva Haakana,good app  the downside is that you dont always remember to stop parking and that way there will be too much parking fee,4,2019-06-17,4.82,0.6908,positive,,
330,Ari Jaakkola,easy effortless and accurate as long as you remember to stop parking then you will not be paid in vain,5,2019-06-06,4.82,-0.2732,neutral,,
331,Nemi Susiketo,160e 2 fines because the app does not ask what saved car is being used 2 times forgot due to human error to change vehicle when previous parking was different the previous vehicle will be remembered complaining about a fine will not help in tampere registered parking even though i proved that the vehicle in question is not even on the register anymore and that i have nevertheless paid for park yes my mocha but easypark asks every time what is parked so there will be no mistake going in change,1,2019-06-05,4.82,0.1408,neutral,,
359,Timo Hiekkanen,really good program,5,2019-05-09,4.8,0.4927,neutral,,
372,Asta 85,the instruction is so vague that apparently charged a week too much or will it charge even more i got a discount code that promised free parking but it did otherwise at the train station this should in principle speed up parking but in practice only caused unnecessary annoyance you should have checked all your information in advance i havent received a response to the email and the call didnt go through this time either,1,2019-04-07,4.79,-0.2223,neutral,,
374,Juha Kuivila,in basic operation worked without problems i havent used all the features i recommend,4,2019-04-07,4.79,0.5801,positive,,
375,Jari Sorvoja,this fire came after downloading and you will soon be able to try it out it looks good reading the reviews and hopefully really here is promotional code fjsl with which you get 10e parking for the first time for free,5,2019-04-06,4.79,0.7579,positive,,
380,Sampo Viro,works well the use of several different cars is also well taken into account location information is only needed at the beginning of parking the program could turn off the gps automatically when parking is started gps will eat up your battery pretty much if you forget to turn it on in vain,4,2019-04-01,4.79,0.4019,neutral,,
405,Sakari Laine,the app is very easy to use i definitely recommend it,5,2019-03-06,4.79,0.8122,positive,,
423,Jeri Aalto,great app code 1bhf  10 parking free shows vacancies good help in finding a place it will most often be cheaper than the competing easypark,5,2019-01-23,4.7,0.9186,positive,,
431,Juha,really convenient i recommend code weks 10  parking money,5,2019-01-13,4.66,0.5184,positive,,
442,Marja Korhonen,never change again,5,2018-12-10,4.534,0.0,neutral,,
451,Jari Lusikka,full of shit in vain did i have to pay more than 2 euros for real shit and i will not stop complaining until reimbursed for unnecessary fees060 and 167  and unnecessary trips that were 30km,1,2018-10-31,4.533,-0.8368,negative,,
469,Marko Hakkarainen,easy and fast even changing your credit card number was easy free parking time  10 with code hjk1,5,2018-09-03,4.1,0.9001,positive,,
473,Teemu Mäkiaho,weve used it for a long time and its been found to be good apparently  10 will come using code h4l7 when registering,4,2018-08-23,4.05,0.4926,neutral,,
482,Googlen käyttäjä,worth downloading the advantage is that you can see if there is a place for somethingbecoming vacant i recommend with the code 1ygg you get  10 worthparking gift card,4,2018-08-03,4.05,0.8353,positive,,
487,Googlen käyttäjä,the app works great i recommend with the code d3lj you get  10 up frontfree parking,4,2018-07-26,4.05,0.8011,positive,,
