ind,userName,content,rating,date,reviewVersion,compound,sentiment 
0,Tero,simple application cant job better anymore,5,2021-10-08,5.37,0.4404,neutral
7,Neea Hammarén,works well wherever think monthly billing left every time payment goes,4,2021-09-07,5.36,0.2732,neutral
8,Japixx,shit upgrade wont work anymore wont able insert card,1,2021-09-02,5.36,-0.5574,negative
14,Kalevi Kolehmainen,works install app area wifi connected phone practical experiment area good telephone network yet done,4,2021-08-04,5.35,0.4404,neutral
18,Joni Kuikka,really easy convenient,5,2021-07-16,5.34,0.4927,neutral
22,Asiantuntija Mäki,upgrade handrail unable log account,1,2021-07-13,5.34,0.0,neutral
23,Henri,buginen awkward make work required 5 text verification codes id password reset top get ahead course problems stay terms accepted 10 times get open right location also manually turned turn settings ok couldnt even put park next morning due 4h limit fortunately extra time adjust eventually easypark opened car parked,2,2021-07-13,5.34,0.3018,neutral
26,Niko Lappalainen,worked well crashes constantly dont get stopped parking,2,2021-07-07,5.33,0.0516,neutral
29,Kiiki Sario,katuukaatuu edit put email address put message playing also didnt turn parking even though tried many times also removed app right put previous message,2,2021-07-06,,-0.1511,neutral
35,Heli 74,worked well today parking lot case parking lot see device paid parking luckily able show receipt paid otherwise would ticket window turku bus station parking lot,2,2021-06-08,5.32,0.5411,positive
36,Johanna Tähtinen,work always reports network error doesnt help even internet restarts forces application close work flawlessly easily,1,2021-06-08,5.32,-0.1921,neutral
37,Kimmo Salonen,good,3,2021-06-08,5.32,0.4404,neutral
38,Raija Lehtonen,punches badly poke week one answers emails phone calls,1,2021-06-08,5.32,-0.6486,negative
40,marko mäki,good,4,2021-05-28,5.31,0.4404,neutral
41,Inkeri Haulos,easy help parking,4,2021-05-21,5.31,0.6808,positive
44,Anna Heiskanen,application convenient easy use,5,2021-05-15,5.31,0.4404,neutral
45,Harry Intonen,latest update app picks really badly parked car probably 35 minutes usually taken max 1min also find exact location app target location yes shows location agree target,2,2021-05-15,5.31,-0.4609,neutral
48,Paula,easy good,5,2021-04-22,5.29,0.7263,positive
49,Reijo Falenius,would give less star program bucks android doesnt let add car,1,2021-04-18,5.29,0.0,neutral
50,aqu agu,end use parkman dont find place suggest adjacent parking spaces list even find right parking space accepted sometimes might work quite well,1,2021-04-15,5.29,0.1479,neutral
52,Juha Takanen,good,1,2021-03-25,5.29,0.4404,neutral
54,FN MTL HD,tricky deploy punches easypark much better,1,2021-03-10,,0.3182,neutral
57,Timo Neuvonen,parking fee works least dont know app started verifying phone number verification working text come code reading work automatically manually entering code complain wrong code 5 times got bored encode work use phone number,3,2021-03-08,5.28,-0.8573,negative
59,Bekim Behrami,really good simple use,5,2021-02-25,5.27,0.4927,neutral
60,Jukka L,quite ok every opening want phone number dont need anything dont want give number advertising purposes number query end must stop using one,2,2021-02-20,5.27,-0.0572,neutral
62,Jari Paulo,well works iisi use,5,2021-02-16,5.27,0.2732,neutral
63,Arto Kivistö,good app,4,2021-02-13,5.26,0.4404,neutral
64,Markus Rantanen,bad app day new update time goes updating car put quick parking time faster even cash pay vending machine,1,2021-02-11,5.27,-0.5994,negative
70,Mika Kukkonen,upgrade new card successfully added,4,2020-12-31,5.19,0.4939,neutral
