ind,userName,content,rating,date,reviewVersion,compound,sentiment 
7,Neea Hammarén,works well wherever think monthly billing left every time payment goes,4,2021-09-07,5.36,0.2732,neutral
35,Heli 74,worked well today parking lot case parking lot see device paid parking luckily able show receipt paid otherwise would ticket window turku bus station parking lot,2,2021-06-08,5.32,0.5411,positive
43,Johan Niemimäki,pskan application received fines 500 total although always put parking example monday parked thursday come back glass 3x50 fine transfer request app opened receipt proof parking found prove parked confirmed parking nutshell doesnt work amazing pska explained ask recommend anyone,1,2021-05-17,5.31,0.2595,neutral
49,Reijo Falenius,would give less star program bucks android doesnt let add car,1,2021-04-18,5.29,0.0,neutral
60,Jukka L,quite ok every opening want phone number dont need anything dont want give number advertising purposes number query end must stop using one,2,2021-02-20,5.27,-0.0572,neutral
75,Tuuli Kiviniemi,app installed beds happy text message said able charge account validity debit card updated turn month number remained problem phone number contacts use would like continue using park mania get touch resolve debit card issue tuuli kiviniemi ijr782,2,2020-12-02,5.12,0.7907,positive
94,marina muhonen,every time park car paid spot program starts updating wait car works exactly thats second time two weeks stupid lot hurry,2,2020-10-13,5.07,-0.5267,negative
95,Juha Haatainen,works really well even could ssnoa easy park better lighter least recommend,5,2020-10-13,5.07,0.8655,positive
109,Altti,phone number verification completely broken code comes text message review thinks code wrong code wrong came message tried several times problem recurred every time,2,2020-08-17,5.06,-0.9312,negative
117,Hanne Muurinen,app always worked flawlessly easy use changes car truck card information easy make monthly receipt email good thing mainly annoying pm doesnt work goes everywhere every park city come couple parking fines,4,2020-08-01,5.06,0.7783,positive
125,Velipekka Jaakonsaari,develop much app wont automatically cut parking fee leave park,1,2020-07-11,5.06,-0.3182,neutral
156,Laura Jetten,app seemed good first need ramp outside increase parking time parking stopped earlier wish app takes lot money area parking meter example parking meter 2 half hours 5 parkman takes 660 would give almost hour extra time parking meter,1,2020-04-01,5.00,0.5526,positive
157,Pasi Vuorinen,latest update broke something longer used without wifi location information never notify charge remain leave park,5,2020-03-31,5.01,-0.6369,negative
233,Kauno Riihonen,finds great location zone quick use easy pay set default time change later,3,2019-10-18,4.87,0.765,positive
244,Onni Niemivaara,app complains many times session positioning map view always africa default able stop parking zoom finland city park active parking visible annoying,2,2019-10-02,4.87,-0.5859,negative
246,Joni Mononen,nvp9g5 code 10e parking money convenient application sure parking time time increased remotely needed easytouse application even kind firsttimer hooked little doubt whether whole thing would work everything easy,4,2019-10-01,4.87,0.678,positive
258,Sari Turunen,easy effortless application recommend,5,2019-09-13,4.85,0.6597,positive
263,Lauri Kara,easy use however would improvement accuracy app accepted payment venue addition fines reported,3,2019-09-07,4.86,0.1779,neutral
285,Sami Viitanen,downloaded easypark didnt work reason working app quick deployment recommend even promotional code x6jm 10e discount parking,5,2019-08-09,4.84,0.4199,neutral
290,Marko Laukkanen,working app recommend promotional code 66nncg 10 discount,5,2019-08-07,4.84,0.3612,neutral
291,Jalmari Lähevirta,easy fast clear application requires required permissions unlike competing application registering using code p1yv get one free parking downside program comes exhaustion easy access private business account else cant find,4,2019-08-04,4.84,0.802,positive
299,Chris Tregubåv,problems easily get paid parking without digging coins code m1ju could change 10 free parking,5,2019-07-18,4.82,0.7881,positive
304,Mika Vauhkonen,bad doesnt stop leave p area remember stop,2,2019-07-13,4.77,-0.6121,negative
326,Ritva Haakana,good app downside dont always remember stop parking way much parking fee,4,2019-06-17,4.82,0.6908,positive
