ind,userName,content,rating,date,reviewVersion,compound,sentiment 
0,Tero,simple application cant job better anymore,5,2021-10-08,5.37,0.4404,neutral
2,Rolf Rönnholm,get 10 discount checking didnt get,1,2021-09-23,5.37,0.0,neutral
3,Risto Koskela,great easy use receipts nice need,5,2021-09-20,5.37,0.8689,positive
8,Japixx,shit upgrade wont work anymore wont able insert card,1,2021-09-02,5.36,-0.5574,negative
9,T G,installation google play work installation chain goes installinstalled open button button parkman app logo menus installed though claims,1,2021-08-24,,-0.2732,neutral
14,Kalevi Kolehmainen,works install app area wifi connected phone practical experiment area good telephone network yet done,4,2021-08-04,5.35,0.4404,neutral
17,Mika Hakola,thanks parking fines different areas street cannot put correct area automatically must visit check ticket machine area useless appi,1,2021-07-23,5.34,0.0258,neutral
18,Joni Kuikka,really easy convenient,5,2021-07-16,5.34,0.4927,neutral
21,Anne Aromaa,reliable clear,5,2021-07-13,5.34,0.6808,positive
22,Asiantuntija Mäki,upgrade handrail unable log account,1,2021-07-13,5.34,0.0,neutral
23,Henri,buginen awkward make work required 5 text verification codes id password reset top get ahead course problems stay terms accepted 10 times get open right location also manually turned turn settings ok couldnt even put park next morning due 4h limit fortunately extra time adjust eventually easypark opened car parked,2,2021-07-13,5.34,0.3018,neutral
24,Ilmari Lappalainen,application endless license approval hub,1,2021-07-09,5.32,0.4767,neutral
26,Niko Lappalainen,worked well crashes constantly dont get stopped parking,2,2021-07-07,5.33,0.0516,neutral
35,Heli 74,worked well today parking lot case parking lot see device paid parking luckily able show receipt paid otherwise would ticket window turku bus station parking lot,2,2021-06-08,5.32,0.5411,positive
36,Johanna Tähtinen,work always reports network error doesnt help even internet restarts forces application close work flawlessly easily,1,2021-06-08,5.32,-0.1921,neutral
37,Kimmo Salonen,good,3,2021-06-08,5.32,0.4404,neutral
40,marko mäki,good,4,2021-05-28,5.31,0.4404,neutral
41,Inkeri Haulos,easy help parking,4,2021-05-21,5.31,0.6808,positive
42,Saaga,easy fast,5,2021-05-21,5.31,0.4926,neutral
43,Johan Niemimäki,pskan application received fines 500 total although always put parking example monday parked thursday come back glass 3x50 fine transfer request app opened receipt proof parking found prove parked confirmed parking nutshell doesnt work amazing pska explained ask recommend anyone,1,2021-05-17,5.31,0.2595,neutral
44,Anna Heiskanen,application convenient easy use,5,2021-05-15,5.31,0.4404,neutral
47,Christer vonGross,charge work even settings correct check settings correct cannot blame customer,2,2021-05-07,5.30,0.2584,neutral
48,Paula,easy good,5,2021-04-22,5.29,0.7263,positive
52,Juha Takanen,good,1,2021-03-25,5.29,0.4404,neutral
53,Jarmo Aavikko,works easy use handy,5,2021-03-23,5.29,0.4404,neutral
54,FN MTL HD,tricky deploy punches easypark much better,1,2021-03-10,,0.3182,neutral
59,Bekim Behrami,really good simple use,5,2021-02-25,5.27,0.4927,neutral
63,Arto Kivistö,good app,4,2021-02-13,5.26,0.4404,neutral
64,Markus Rantanen,bad app day new update time goes updating car put quick parking time faster even cash pay vending machine,1,2021-02-11,5.27,-0.5994,negative
65,Taesbil,find great parking spaces count time actually parked easy use,5,2021-02-02,5.26,0.7906,positive
69,Juho Laine,makes promises,5,2021-01-04,5.19,0.3818,neutral
70,Mika Kukkonen,upgrade new card successfully added,4,2020-12-31,5.19,0.4939,neutral
73,Ole Kinnunen,surprisingly good easy accelerates facilitates transactions stone foot shops also saves parking error fees,5,2020-12-22,5.15,0.6486,positive
