ind,userName,content,rating,date,reviewVersion,compound,sentiment 
14,Kalevi Kolehmainen,works install app area wifi connected phone practical experiment area good telephone network yet done,4,2021-08-04,5.35,0.4404,neutral
17,Mika Hakola,thanks parking fines different areas street cannot put correct area automatically must visit check ticket machine area useless appi,1,2021-07-23,5.34,0.0258,neutral
18,Joni Kuikka,really easy convenient,5,2021-07-16,5.34,0.4927,neutral
37,Kimmo Salonen,good,3,2021-06-08,5.32,0.4404,neutral
40,marko mäki,good,4,2021-05-28,5.31,0.4404,neutral
44,Anna Heiskanen,application convenient easy use,5,2021-05-15,5.31,0.4404,neutral
48,Paula,easy good,5,2021-04-22,5.29,0.7263,positive
52,Juha Takanen,good,1,2021-03-25,5.29,0.4404,neutral
59,Bekim Behrami,really good simple use,5,2021-02-25,5.27,0.4927,neutral
63,Arto Kivistö,good app,4,2021-02-13,5.26,0.4404,neutral
73,Ole Kinnunen,surprisingly good easy accelerates facilitates transactions stone foot shops also saves parking error fees,5,2020-12-22,5.15,0.6486,positive
76,Jukka Raulamo,easy fast reliable automatic parking termination really good feature,5,2020-11-30,5.11,0.7264,positive
85,Noora Sofi,convenient looking coins ramping parking machine,5,2020-10-29,5.09,0.6399,positive
92,Ulla-Mari Lindh,really convenient parking,5,2020-10-14,5.07,0.0,neutral
97,Eerika Hietamies,good easy use app,5,2020-10-07,5.08,0.7263,positive
114,Kalle Lahtinen,get 10e parking money code utqn good handy parking app,5,2020-08-12,,0.4404,neutral
117,Hanne Muurinen,app always worked flawlessly easy use changes car truck card information easy make monthly receipt email good thing mainly annoying pm doesnt work goes everywhere every park city come couple parking fines,4,2020-08-01,5.06,0.7783,positive
130,ULLA LOJANDER,good affordable thank happy summer,4,2020-06-23,5.05,0.8553,positive
136,Margarita Kataja,havent used updated app long time finally got updated refused boot every time try open app rotating logo appears screen stays rotating nothing goes beyond internet connection good problem isnt also tried download app didnt help either,1,2020-06-13,,-0.5463,negative
143,Sanna Rintakoski,convenient smooth fast use,5,2020-05-13,5.04,0.0,neutral
147,Anita Ryhänen,really convenient,5,2020-04-28,5.02,0.0,neutral
148,Laila Kekonen,really convenient,5,2020-04-28,5.02,0.0,neutral
