ind,userName,content,rating,date,reviewVersion,compound,sentiment 
8,Japixx,shit upgrade wont work anymore wont able insert card,1,2021-09-02,5.36,-0.5574,negative
9,T G,installation google play work installation chain goes installinstalled open button button parkman app logo menus installed though claims,1,2021-08-24,,-0.2732,neutral
14,Kalevi Kolehmainen,works install app area wifi connected phone practical experiment area good telephone network yet done,4,2021-08-04,5.35,0.4404,neutral
15,Risto Koivunen,even creating account successful 5 attempts enter verification code received text message failed claimed incorrect even though guaranteed correct attempts enough app got evicted phone,1,2021-08-01,5.35,-0.5414,negative
17,Mika Hakola,thanks parking fines different areas street cannot put correct area automatically must visit check ticket machine area useless appi,1,2021-07-23,5.34,0.0258,neutral
23,Henri,buginen awkward make work required 5 text verification codes id password reset top get ahead course problems stay terms accepted 10 times get open right location also manually turned turn settings ok couldnt even put park next morning due 4h limit fortunately extra time adjust eventually easypark opened car parked,2,2021-07-13,5.34,0.3018,neutral
24,Ilmari Lappalainen,application endless license approval hub,1,2021-07-09,5.32,0.4767,neutral
29,Kiiki Sario,katuukaatuu edit put email address put message playing also didnt turn parking even though tried many times also removed app right put previous message,2,2021-07-06,,-0.1511,neutral
30,Jukka Kääriäinen,cant sign app code text message incorrect,1,2021-07-04,5.32,0.0,neutral
35,Heli 74,worked well today parking lot case parking lot see device paid parking luckily able show receipt paid otherwise would ticket window turku bus station parking lot,2,2021-06-08,5.32,0.5411,positive
37,Kimmo Salonen,good,3,2021-06-08,5.32,0.4404,neutral
38,Raija Lehtonen,punches badly poke week one answers emails phone calls,1,2021-06-08,5.32,-0.6486,negative
40,marko mäki,good,4,2021-05-28,5.31,0.4404,neutral
43,Johan Niemimäki,pskan application received fines 500 total although always put parking example monday parked thursday come back glass 3x50 fine transfer request app opened receipt proof parking found prove parked confirmed parking nutshell doesnt work amazing pska explained ask recommend anyone,1,2021-05-17,5.31,0.2595,neutral
48,Paula,easy good,5,2021-04-22,5.29,0.7263,positive
52,Juha Takanen,good,1,2021-03-25,5.29,0.4404,neutral
56,Carl Taylor,installing error message something went wrong head please try,1,2021-03-09,,0.1174,neutral
59,Bekim Behrami,really good simple use,5,2021-02-25,5.27,0.4927,neutral
63,Arto Kivistö,good app,4,2021-02-13,5.26,0.4404,neutral
72,Kukka Kukkalaaraa,accept three certainly working cards inspire confidence card information handled deleted,1,2020-12-28,5.17,-0.6688,negative
73,Ole Kinnunen,surprisingly good easy accelerates facilitates transactions stone foot shops also saves parking error fees,5,2020-12-22,5.15,0.6486,positive
75,Tuuli Kiviniemi,app installed beds happy text message said able charge account validity debit card updated turn month number remained problem phone number contacts use would like continue using park mania get touch resolve debit card issue tuuli kiviniemi ijr782,2,2020-12-02,5.12,0.7907,positive
76,Jukka Raulamo,easy fast reliable automatic parking termination really good feature,5,2020-11-30,5.11,0.7264,positive
83,Ilkka Lindström,dropped fivestar user experience ability enter times number keys disappeared otherwise prima problems simple ui,4,2020-11-01,5.09,0.4512,neutral
97,Eerika Hietamies,good easy use app,5,2020-10-07,5.08,0.7263,positive
109,Altti,phone number verification completely broken code comes text message review thinks code wrong code wrong came message tried several times problem recurred every time,2,2020-08-17,5.06,-0.9312,negative
114,Kalle Lahtinen,get 10e parking money code utqn good handy parking app,5,2020-08-12,,0.4404,neutral
117,Hanne Muurinen,app always worked flawlessly easy use changes car truck card information easy make monthly receipt email good thing mainly annoying pm doesnt work goes everywhere every park city come couple parking fines,4,2020-08-01,5.06,0.7783,positive
118,Joni Kemppainen,downloaded free linnanmäki park attached parking pole advertisement redeemed free park month text message park paid pay 15e free parking pretty ridiculous,1,2020-08-01,5.06,0.9197,positive
130,ULLA LOJANDER,good affordable thank happy summer,4,2020-06-23,5.05,0.8553,positive
136,Margarita Kataja,havent used updated app long time finally got updated refused boot every time try open app rotating logo appears screen stays rotating nothing goes beyond internet connection good problem isnt also tried download app didnt help either,1,2020-06-13,,-0.5463,negative
142,Harri Montonen,cant even log code wrong removed shit,1,2020-05-14,,0.2263,neutral
151,Sami Lehtinen,good easy use,5,2020-04-17,5.01,0.7003,positive
155,Markku Lehesvuo,good easy use,5,2020-04-09,4.94,0.7003,positive
156,Laura Jetten,app seemed good first need ramp outside increase parking time parking stopped earlier wish app takes lot money area parking meter example parking meter 2 half hours 5 parkman takes 660 would give almost hour extra time parking meter,1,2020-04-01,5.00,0.5526,positive
157,Pasi Vuorinen,latest update broke something longer used without wifi location information never notify charge remain leave park,5,2020-03-31,5.01,-0.6369,negative
163,Kikka Nilsson,easy use good customer service,5,2020-03-06,4.94,0.7003,positive
164,Olli Vihma,good easy going functional,5,2020-03-05,4.94,0.7003,positive
167,Ari Markkanen,pretty good,5,2020-03-03,4.94,0.7269,positive
171,TM,252 update squatted app honor 8 longer works luckily competitor work couldnt wait see happens next,1,2020-02-26,5.00,0.6486,positive
174,Jani K,good use code zrb1 get 10e free parking,5,2020-02-23,4.94,0.7351,positive
177,Eija Ojanperä,good app precode get free parking 10 euros 41a45l enter promotional code sign,4,2020-02-11,4.94,0.7351,positive
178,Jouko Ahonen,works satisfied,4,2020-02-06,4.94,0.4215,neutral
179,Henry Pehkonen,good easy use,5,2020-02-06,4.94,0.7003,positive
187,Pia Kauppinen,works really well happy monthly billing customer service good,5,2020-01-17,4.94,0.8617,positive
192,Seppo Ripatti,good,5,2019-12-21,4.90,0.4404,neutral
194,jussuf33,pretty good location always found,4,2019-12-19,4.91,0.7269,positive
199,Midmanic m,good functional makes parking much easier,5,2019-12-07,4.91,0.6908,positive
204,Risto Anttonen,time reminder,1,2019-11-29,4.91,-0.5267,negative
206,Jorma Virtanen,good,5,2019-11-26,4.91,0.4404,neutral
218,Mika Siirtola,didnt get easypark work tried plays well heres another 10 discount first parking m5pxb9,5,2019-11-12,4.91,0.4767,neutral
234,Esa Salo,good comprehensive,5,2019-10-18,4.88,0.5994,positive
238,Casper,easy use good complaints,5,2019-10-14,4.87,0.794,positive
239,Googlen käyttäjä,usability could better visit car parks joensuu example,3,2019-10-12,4.87,0.4404,neutral
241,Outi Mäkelä,works really sure instructions clear screen everything need available unnecessary addons content outi,5,2019-10-10,,0.5057,positive
246,Joni Mononen,nvp9g5 code 10e parking money convenient application sure parking time time increased remotely needed easytouse application even kind firsttimer hooked little doubt whether whole thing would work everything easy,4,2019-10-01,4.87,0.678,positive
252,Kia Kavetvuo,rarely come across userfriendly application great thing app also recognizes puck slots well free times,5,2019-09-20,4.87,0.8687,positive
255,Petri Liikari,really good app,5,2019-09-16,4.87,0.54,positive
256,Sami Kasari,good easy,5,2019-09-15,4.86,0.7003,positive
257,Mika Salminen,good code y28a4v get 10 euros free parking time suggest everyone,5,2019-09-14,4.87,0.811,positive
271,Olavi,play really well,5,2019-08-27,4.85,0.5849,positive
272,J J Lehti,good good,5,2019-08-27,4.85,0.7003,positive
273,Jani Kauppila,excellent wellfunctioning easytouse application use code rl9w register still receive 10 free parking time addition everything else,5,2019-08-26,4.85,0.7906,positive
276,Marika Nordström,good appi,5,2019-08-22,4.84,0.4404,neutral
277,Veli-Matti Lund,good,5,2019-08-22,4.84,0.4404,neutral
282,Rauno Savenius,good functional software never cheated settings correct,5,2019-08-13,4.84,0.4217,neutral
283,Sirkkaliisa Cavonius,good thing,4,2019-08-12,4.78,0.4404,neutral
284,Helena Tamminen,awkward answers questions didnt get needed help however long adventure world android got parking work however note car printed mobile phone hotel,2,2019-08-12,4.84,0.2957,neutral
289,Fouad Ibrahim,sees example parking costs 150 parking runs costs,1,2019-08-08,4.84,0.0,neutral
302,Henri Mansala,need look full time car park automatic customer service really good know help whenever little something trouble really easy use,5,2019-07-17,4.82,0.6667,positive
303,Esa Hakulinen,good easy fast,5,2019-07-15,4.82,0.7003,positive
305,Pipsa Kopra,easy good,5,2019-07-11,4.8,0.7003,positive
314,Siina Kinnunen,convenient fast functional bad thing say,5,2019-07-01,4.82,0.431,neutral
315,RetuRalli,troublefree service bad thing say thing wondered first parking completed account debited still dont know many days charge made,5,2019-07-01,4.82,0.431,neutral
324,Leif Hollmen,satisfied card could plastic,5,2019-06-18,4.82,0.4754,neutral
326,Ritva Haakana,good app downside dont always remember stop parking way much parking fee,4,2019-06-17,4.82,0.6908,positive
334,Ville Nurmi,good,4,2019-05-30,4.8,0.4404,neutral
335,Sonja Havukainen,good functional application code qzkl free parking time,5,2019-05-29,4.8,0.7351,positive
337,Rauno Kolehmainen,good,4,2019-05-28,4.8,0.4404,neutral
339,Toni Ollila,easy use really good,5,2019-05-27,4.8,0.7264,positive
350,Maarit Halsas,really good parking coins parking,5,2019-05-16,4.79,0.1851,neutral
359,Timo Hiekkanen,really good program,5,2019-05-09,4.8,0.4927,neutral
