userName;content;rating;date;reviewVersion
Tero;Simple application. You can't do your job better anymore.;5;2021-10-08;5.37
Hän Niskasaari;very heleppo;5;2021-09-24;5.37
Rolf Rönnholm;Had to get a € 10 discount when checking in ... I didn't get it!;1;2021-09-23;5.37
Risto Koskela;Great and easy to use. Receipts nice if you need them;5;2021-09-20;5.37
Maija Hintsala;Great app! You don't have to pay in vain.;5;2021-09-17;5.36
Aleksandr Rogachev;kiva;5;2021-09-13;5.36
Benjamin Pohjolainen;simple, works👍;5;2021-09-09;5.36
Neea Hammarén;works well and wherever I myself have been. I think that the monthly billing left and now every time the payment goes.;4;2021-09-07;5.36
Japixx;Shit, after the upgrade, it won't work anymore and you won't be able to insert the card;1;2021-09-02;5.36
T G;Installation from Google Play does not work. The installation chain goes Install-Installed, but where is the Open button? There will be no button with the parkman App logo in the menus. That is, not installed though so claims ...;1;2021-08-24;nan
Toni Erkkilä;The first parking had to be reimbursed for € 10, but was penned.;1;2021-08-21;5.36
Marko Valli;Works otherwise OK, but does not react on unforgettable parking.;3;2021-08-13;5.35
hanna suvanto;The pieces are broken;1;2021-08-04;5.35
Peter Fors;I downloaded and tried the ad as a victim but the code didn't work. Not to continue;1;2021-08-04;5.35
Kalevi Kolehmainen;Works if you install the app in the area of ​​Wi-Fi connected to your phone. A practical experiment in the area of ​​a good telephone network has yet to be done.;4;2021-08-04;5.35
Risto Koivunen;Not even creating an account was successful. 5 attempts to enter a verification code received as a text message, but failed, was claimed to be incorrect even though it was guaranteed to be correct. The attempts were enough for me and the app got evicted from my phone.;1;2021-08-01;5.35
Timo Heikkinen;Absolutely awesome ...;5;2021-07-30;5.35
Mika Hakola;Thanks for the parking fines. If different areas on the street cannot be put in the correct area automatically. Must visit to check the ticket machine area itself. Useless appi.;1;2021-07-23;5.34
Joni Kuikka;Really easy and convenient;5;2021-07-16;5.34
min hietala;Does not work;1;2021-07-15;5.35
Eerikki;There could be a button in the settings for deleting a user account.;4;2021-07-13;5.34
Anne Aromaa;Reliable and clear. :);5;2021-07-13;5.34
Asiantuntija Mäki;After the upgrade handrail, unable to log in to the account;1;2021-07-13;5.34
Henri;BUGINEN! This was so awkward to make that work! Required 5 text with verification codes and ID password reset on top to get ahead. Of course, the problems did not stay there, but the terms had to be accepted about 10 times to get open. The right of the location also had to be manually turned on to turn on the settings. When these were ok, I couldn't even put it in the park the next morning due to the 4h limit. Fortunately, there was extra time to adjust, and eventually EasyPark opened and had the car parked.;2;2021-07-13;5.34
Ilmari Lappalainen;The application is in an endless license approval hub;1;2021-07-09;5.32
Juha Pallonen;In Tallinn, the price is three times higher for a Finn;1;2021-07-08;5.32
Niko Lappalainen;Before it worked well, now it crashes constantly and I don’t get stopped parking.;2;2021-07-07;5.33
jari niemi;Shuts down and time cannot be extended ..;1;2021-07-07;5.33
Baran Adiguzel;pBARAN;5;2021-07-06;5.32
Kiiki Sario;Katuukaatuu .. Edit. Can you put an email address where to put a message. Not playing. Also didn’t turn off the parking, even though I tried many times, and also removed the app right after I put that previous message.;2;2021-07-06;nan
Jukka Kääriäinen;Can't sign in to the app because the code in the text message is incorrect?;1;2021-07-04;5.32
Ismo Nurmi;There came nothing about parking. Really confusing deployment. Fortunately, it was able to choose a competitor, Easypark, when this failed.;1;2021-07-02;nan
Markku Impiö;The new Parkman will spam you with a receipt email for each parking.;1;2021-06-25;5.32
Pekka Jokinen;"After replacing the handset, the application cannot be updated / account re-enabled. Goes to the txt loop and after a while reports too many attempts to log in ""try again after 59min"". Until then, I own a fine or exchange. another parking app. I will choose the last one.";1;2021-06-17;5.32
Ville Silvola;Post-payment bearings are vague touhuy;1;2021-06-13;5.32
Heli 74;Before it worked well, today no parking lot or in this case the parking lot did not see from my own device that I had paid for parking. Luckily I was there and I was able to show the receipt that has been paid, otherwise there would have been a ticket in the window ... So this in Turku Bus station parking lot!;2;2021-06-08;5.32
Johanna Tähtinen;Does not work at all, always reports a network error. It doesn't help even if the internet restarts and forces the application to close. Before, work flawlessly and easily.;1;2021-06-08;5.32
Kimmo Salonen;Good;3;2021-06-08;5.32
Raija Lehtonen;Punches badly. Poke for a week and no one answers emails or phone calls.;1;2021-06-08;5.32
M-M Pisto;Poor and poorly functioning;1;2021-05-31;4.534
marko mäki;Good;4;2021-05-28;5.31
Inkeri Haulos;Easy help with parking.;4;2021-05-21;5.31
Saaga;Easy and fast!;5;2021-05-21;5.31
Johan Niemimäki;For this pskan application I received fines of € 500 in total although always put on parking. For example, on Monday I parked and on Thursday I will come back in a glass 3x50 € fine and transfer request. Then when the app is opened then no receipt or proof of parking can be found to prove that there is parked and confirmed parking. In a nutshell: It doesn't work then and the very amazing pska is explained when you ask what. I WILL NOT RECOMMEND TO ANYONE;1;2021-05-17;5.31
Anna Heiskanen;The application is convenient and easy to use.;5;2021-05-15;5.31
Harry Intonen;With the latest update, the app picks up really badly, I parked the car for probably 3-5 minutes, when usually it has taken max. 1min .. I also have to find the exact location myself, the app does not target the location. Yes, it shows the location, but does not agree to target it. 🤔;2;2021-05-15;5.31
Joel Raatikainen;Unable to create user. Complains that incorrect verification code even though I put the code correctly;1;2021-05-13;5.31
Christer vonGross;The charge will not work even if all the settings are correct, check that your settings are correct you cannot blame the customer as you do now.;2;2021-05-07;5.30
Paula;Easy and good!;5;2021-04-22;5.29
Reijo Falenius;I would give less than a star because the program bucks on Android and doesn’t let me add a car.;1;2021-04-18;5.29
aqu agu;"Now end the use of the parkman when you don't find a place where you are and suggest adjacent parking spaces from the ""list"", even if you find the right parking space, it is not accepted. Sometimes it might work quite well.";1;2021-04-15;5.29
Paavo Sutela;Glorious;5;2021-03-25;4.88
Juha Takanen;good;1;2021-03-25;5.29
Jarmo Aavikko;Works and easy to use. Handy.;5;2021-03-23;5.29
FN MTL HD;Tricky to deploy. Punches. EasyPark is much better.;1;2021-03-10;nan
Sten Örså;Register your phone number, enter a four-digit code. Why does Parkman send invalid codes? Not nice.;2;2021-03-09;5.28
Carl Taylor;"Not installing, error message: Something went wrong in our head, please try again. """;1;2021-03-09;nan
Timo Neuvonen;The parking fee works - at least for now. I don't know why the app has started verifying phone number verification, but it is NOT working. The text will come, from which the code reading will not work automatically. Manually entering the code will complain about the wrong code. ~ 5 times after I got bored. Encode that to work before you have to use that phone number.;3;2021-03-08;5.28
marko immonen;does nothing;1;2021-03-04;nan
Bekim Behrami;really good and simple to use;5;2021-02-25;5.27
Jukka L;Quite OK. Now, just with every opening, you want a phone number that you don’t need for anything. I don't want to give the number for advertising purposes. If the number query does not end, then you must stop using this one.;2;2021-02-20;5.27
Ruth Lehikoinen;Occasionally buggy and waste in the middle of the interrupted parking, however, mostly functional;4;2021-02-19;5.27
Jari Paulo;Well, works, iisi use ...;5;2021-02-16;5.27
Arto Kivistö;Good app.;4;2021-02-13;5.26
Markus Rantanen;Bad app. Once a day a new update and time goes into updating the car when SHOULD put a quick parking time. Faster even in cash to pay at the vending machine.;1;2021-02-11;5.27
Taesbil;Find great parking spaces, and count only on the time actually parked. Easy to use.;5;2021-02-02;5.26
Jorma Pöntinen;Works;4;2021-01-21;5.22
Ari Jussila;handy.;4;2021-01-20;5.23
Lauri Marttinen;The application crashes when trying to start parking.;1;2021-01-09;5.20
Juho Laine;Makes what promises.;5;2021-01-04;5.19
Mika Kukkonen;Now after the upgrade, a new card was successfully added.;4;2020-12-31;5.19
Juha Kallio;great app.;4;2020-12-29;5.16
Kukka Kukkalaaraa;Does not accept any of the three certainly working cards. Does not inspire confidence in how card information is handled. I deleted.;1;2020-12-28;5.17
Ole Kinnunen;Surprisingly good and easy. Accelerates and facilitates transactions in stone foot shops. Also saves on parking error fees 😷;5;2020-12-22;5.15
Terhi Ahonen;Easy, clear, fast and affordable;5;2020-12-15;4.94
Tuuli Kiviniemi;I have had the app installed for a few beds and I have been happy, but now my text message said that you have not been able to charge my account. The validity of my debit card was updated at the turn of the month, but the number remained the same. What is your problem? The phone number in the contacts is not in use! I would like to continue using Park mania, but how do I get in touch to resolve a debit card issue? Tuuli Kiviniemi IJR-782;2;2020-12-02;5.12
Jukka Raulamo;Easy and fast. Reliable. Automatic parking termination is a really good feature.;5;2020-11-30;5.11
Harri Heiskanen;Works well;5;2020-11-24;5.11
Erkki Yrjänäinen;Really easy 😄;5;2020-11-17;5.06
Nina Ekonoja;Easy and fast;5;2020-11-14;5.10
Ilkka Melto;Very easy to use.;4;2020-11-13;5.10
Altezza AS300;after the update the app crashes when trying to park. great 👍;1;2020-11-06;5.09
Teemu Nikkanen;Awesome help! 👍👍👍;5;2020-11-03;5.09
Ilkka Lindström;Dropped out of the five-star user experience when the ability to enter times with the number keys disappeared. Otherwise prima. There have been no problems with the simple UI.;4;2020-11-01;5.09
Stig Tenlenius;Handy;5;2020-10-30;5.09
Noora Sofi;It's convenient! No more looking for coins and ramping in the parking machine👌🏼;5;2020-10-29;5.09
Jarmo Talvela;Easy, fast and up-to-date pricing;5;2020-10-23;5.08
Otto Itkonen;Works!;5;2020-10-23;5.08
Timo rauhaniemi;Win coins 100-0;5;2020-10-22;nan
Katariina;The best parking app 👌;5;2020-10-21;5.08
Ilkka Lehtoranta;The download took so long (4G) that I paid in cash.;1;2020-10-16;nan
Riitta Xxx;The best. Easy to use.;5;2020-10-16;5.08
Ulla-Mari Lindh;Really convenient parking!;5;2020-10-14;5.07
Jani Lehtinen;Works;5;2020-10-14;5.08
marina muhonen;Every time I park my car in a paid spot, the program starts updating itself again. Had to wait in the car before it works again. What exactly is this? That’s the second time in two weeks. Stupid. Just when there is a lot of hurry.;2;2020-10-13;5.07
Juha Haatainen;Works really well. Even I could ssnoa that easy to park better. Lighter at least. I recommend;5;2020-10-13;5.07
Tuomas;"It has worked well on its own, but sometimes causes annoyance when rotating the parking time, the time jumps back to the Max parking time if the parking time is exceeded according to the app. This ""feature"" could be removed or even changed.";3;2020-10-12;5.07
Eerika Hietamies;A good and easy to use app!;5;2020-10-07;5.08
Rainer Visa;Often does not charge;3;2020-10-06;5.07
Osmo Kalmari;Easy to use!;5;2020-10-02;5.06
Mikko Loikkanen;The latest update made the app unusable, getting stuck looking for a location.;1;2020-10-01;5.07
Aksu;Pick someone a code to get € 10 parking money. ATA5ZU;3;2020-10-01;5.07
Jari Hämäläinen;It no longer opens the entire application at all. In the past, it worked flawlessly. Not anymore.;1;2020-09-29;5.07
Tuuli Alander;By the way jees but promo codes don't work no matter how you try js described in free parks. miracle urination.;3;2020-09-25;5.06
Jouni Leskinen;Recognizes the area well. Changing the phone was a bit confusing, but let’s go again.;4;2020-09-24;nan
Riikka Kontturi;Our area works well.;5;2020-09-22;5.06
Anne Kantola;Easy and handy;5;2020-09-14;5.06
Edward Nikkilä;Easy and functional;5;2020-09-14;5.06
Yrjö Hartikka;The application Disconnects the Park itself;1;2020-09-02;5.06
Altti;Phone number verification is completely broken. The code comes with a text message as it should, but the review thinks the code is wrong. How can the code be wrong if it just came with a message? I tried several times, but the problem recurred every time.;2;2020-08-17;5.06
Toni Vainikka;Is there any coming Huawei appgallery for phones at some point?;5;2020-08-14;5.06
Fred Rosbäck;Easy!!;5;2020-08-14;5.06
Petri Peippo;None;4;2020-08-13;5.06
Leena Palmu-Aalto;Easy and clear.;5;2020-08-12;5.06
Kalle Lahtinen;You get 10e parking money with the code: UTQN Good and handy parking app.;5;2020-08-12;nan
Henna-Maaria Linkopuu;Is not charging;1;2020-08-10;nan
Anne Sairanen;Easy and comfortable to use;5;2020-08-04;5.06
Hanne Muurinen;The app has always worked flawlessly, is easy to use, changes to your car truck or card information are easy to make and a monthly receipt for email is a good thing. Mainly annoying that the PM doesn’t work / goes everywhere / every Park in my city and because of this has come a couple of parking fines.;4;2020-08-01;5.06
Joni Kemppainen;"I only downloaded this because of the free Linnanmäki Park, which was attached to a parking pole as an advertisement. I redeemed this ""free Park"" and in a month there will be a text message that the park has not been paid. Now then you should pay 15e for free parking. Pretty ridiculous";1;2020-08-01;5.06
Aleksi Konttinen;Otherwise there is nothing wrong but now for some reason the bar at the bottom is left under the phone's own keys so parking and finishing it is a bit tedious. The phone is then Huawei P30 Lite, Android 10.;4;2020-07-25;5.06
Martti Myllyntaus;The best parking app.;5;2020-07-18;5.06
lauri nyholm;Did not accept the activation code they sent. I removed the App and continued to use easy Park.;1;2020-07-17;5.06
Marko Kakkori;None;4;2020-07-15;5.06
Hannu Soronen;Accept button (green) overlaps with Huawei (P20pro) ESC key.;3;2020-07-15;5.06
Paka Helkesalo;This too can be found on my handset and very easy to use.;5;2020-07-14;5.06
Velipekka Jaakonsaari;Should you develop that much app, you won’t automatically cut off the parking fee when you leave the Park.;1;2020-07-11;5.06
Jarmo K;Goog;5;2020-07-10;5.00
Arto Lemmetyinen;Kurapaska, ask for a card number and don't get ahead of it.;2;2020-07-07;nan
Jukka Mäkilä;Tominii always;5;2020-06-25;5.05
Mikko Suomela;Works well!;5;2020-06-25;5.05
ULLA LOJANDER;Good and affordable thank you. Happy summer!;4;2020-06-23;5.05
Minna Eloranta;Works as it should;5;2020-06-23;5.05
Pasi Perkiö;Works like a train toilet.;5;2020-06-22;5.05
Reeta Aula;Deployment was supposed to be quick and easy. The app didn’t even ask for the car’s registration number but reported that everything had to be in order. The end result is parking fines in addition to the paid parking fee. Forwarding a receipt didn’t help, no, it helped even if the parking GPS was in the right place. Neveragain;1;2020-06-19;5.05
Jyrki Määttä;Works just as it should!;5;2020-06-16;5.05
Koivis II;Sometimes it is suspiciously difficult to charge when you should stop parking, compare how easy it is to start .. it can also seem that most of the time my phone has been closed during parking. Ylim. at least no error charges have come;3;2020-06-16;4.94
Margarita Kataja;I haven’t used and updated the app in a long time. Now that I finally got it updated, it refused to boot. Every time I try to open the app, a rotating logo appears on the screen that stays rotating and nothing goes beyond it. The internet connection is good, so the problem isn't there ... I also tried to download the app again, but that didn't help either.;1;2020-06-13;nan
Tarja Haukkasalo;Didn't work, asked for pin code over and over again;1;2020-06-13;nan
Milja Hahto;Acting great. But now that only rotates the logo indefinitely when trying to launch.;3;2020-05-29;5.01
Mikko Kiilunen;Poor;1;2020-05-29;nan
Maicol X777;Street parking failed!;1;2020-05-28;5.05
KariMatti Nalli;Great system!;5;2020-05-22;5.00
Harri Montonen;"Can't even log in when ""code is wrong"", I removed all the shit ..";1;2020-05-14;nan
Sanna Rintakoski;Convenient, smooth and fast to use;5;2020-05-13;5.04
Hannele Varhee;Does not work in all private areas.;4;2020-05-11;nan
Tero Nordman;damn great latest update. the parkman logo rotates on the screen, but nothing else happens;1;2020-05-09;5.04
Jukka Rissanen;ParkMan doesn't work but complains that my bank doesn't pay for it! It’s not my fault your connection won’t work after years.;1;2020-05-05;nan
Anita Ryhänen;Really convenient.;5;2020-04-28;5.02
Laila Kekonen;Really convenient;5;2020-04-28;5.02
