ind;userName;content;rating;date;reviewVersion;compund;sentiment
0;Patrice FERLET;Never any worries. Frankly it avoids forgetting the time and looking for a payment terminal. Thank you for this application which works on Laval.;5;2021-08-27;15.26.0;0.4822;neutral
1;Noel Seiler;Simply magical. No need to find a parking meter anymore and I only pay for the actual parking time;5;2021-08-26;15.25.0;-0.3818;neutral
2;Hélèna Saoudi-Reviron;We should be able to give money back even if the parking is finished;4;2021-08-25;15.25.0;0.0;neutral
3;demineur 68414;Very very good 👍;5;2021-08-22;15.24.1;0.5379;positive
4;Jean-Marc Bellefleur;Simple and efficient;5;2021-08-21;15.24.1;0.4215;neutral
5;Areerat Siri-At;Well;3;2021-08-21;15.25.0;0.2732;neutral
6;Nicolas Dupin;Little interest in the application: Geolocation works poorly, pay attention to the area code when you park. Impossible to extend the parking time, which could have been the only interest of the application. Service charges that increase the cost of parking by 30% compared to paying at the terminal. Lots of points to improve.;1;2021-08-21;15.25.0;0.8445;positive
7;Anne-Laure UHL;Good app;5;2021-08-20;15.25.0;0.4404;neutral
8;Lilou Liz;Application that really lacks seriousness .. Application that stops parking on its own ... go to a big city like Bordeaux and have to use parking meters because the application does not launch, just nothing.;2;2021-08-20;15.25.0;0.1082;neutral
9;aurélie X;Practical application that really makes parking easier. The fact of seeing the prices by zone is appreciable and the modification of the duration of the parking very easy.;5;2021-08-19;15.25.0;0.7397;positive
10;Bakary Christopher;Awesome! Easy to use and at least we pay for what we consume!;5;2021-08-19;15.25.0;0.8011;positive
11;Elodie Kohr;Spend 20 minutes paying for parking ...;1;2021-08-18;15.25.0;0.0;neutral
12;Maxime CABY;Very practical, I use it on Metz and it saves me time!;5;2021-08-18;15.25.0;0.0;neutral
13;Myriam Eloir;Great application to pay for parking in town! Fast, easy and efficient💪✌👌;5;2021-08-18;15.25.0;0.9585;positive
14;Jacky Ouzzan;Very pleasant and reassuring;5;2021-08-18;15.25.0;0.762;positive
15;Eva Seghari;Best payment app for parking. Easy to use, possibility of extending or reducing your parking time in one click.;5;2021-08-17;15.25.0;0.7964;positive
16;ktia Brn;It is a shame for the same vehicle, the same account, the same address, the same email, the same credit card to pay not to receive the same information concerning parking. My husband paid for parking from his cell phone and I paid for mine for the same period because the parking for the same vehicle located in the same place he had paid for was not listed on my cell phone! It would be wise for a census of parking lots by vehicle to be possible ...;1;2021-08-16;15.25.0;0.3595;neutral
17;Thierry Goffin;Unable to register the parking area. Registered on the terminal and not geolocated.;1;2021-08-16;15.25.0;0.0;neutral
18;Guy Etienne;Great app;5;2021-08-16;15.25.0;0.6249;positive
19;Galaxie Artemire;Super practical;5;2021-08-14;15.25.0;0.5994;positive
20;Evelyne Lambert;Super simple and intuitive app, great for managing paid parking, no need to know how long you are staying, you can stop before, extend ... I would like to be able to use it in all cities.;5;2021-08-13;15.24.1;0.8316;positive
21;Estelle Daurat;So convenient!;5;2021-08-13;15.25.0;0.0;neutral
22;Stéphane Jobin;Very unfortunate that this application cannot be found in other cities such as Châlons en Champagne or Epernay;3;2021-08-13;15.25.0;-0.2716;neutral
23;V J;Before we could know the pricing when we are done, now this is no longer the case ... Result: according to the town hall website I should pay 1 €, with Easypark I have to pay 1 € 70 ... Beautiful scam.;1;2021-08-11;15.24.1;-0.4215;neutral
24;Bruno Marro;0.20ct. parking, 0.29 charge !! Will plan parts or change the system! Installed, uninstalled immediately!;1;2021-08-09;15.24.1;0.0;neutral
25;S. 900;Super practical. From time to time does not detect the position automatically but hey, it is still a good application!;5;2021-08-08;15.25.0;0.7644;positive
26;Enrique Ciendones;Sometimes complicated localization;4;2021-08-07;15.24.1;0.0;neutral
27;Patrick LEGRAND;Very convenient !;5;2021-08-06;15.24.1;0.0;neutral
28;Valoche siegel;super practical, no need for money and can be used in several European countries. Time saving !;5;2021-08-06;15.24.1;0.4574;neutral
29;Elly Mayers;Impossible to extend the duration, the application chooses the time for you !!! Frankly do a few things;2;2021-08-06;15.24.1;0.3769;neutral
30;ghislain vermoesen;Simple Clair Precis;5;2021-08-05;15.24.1;0.0;neutral
31;Gilles Erard;It's good when you have no change !! Otherwise you have better time to put parts it's much cheaper! Costs of 27 cents in addition to the duration for 5 minutes is theft !! I will uninstall ...;1;2021-08-04;15.24.1;0.6973;positive
32;Vendetta -1994;Useless yet a success in my country, does not capture parking areas, not functional. A BEAUTIFUL AMATEUR JOB PROBABLY SIGNED BY UBISOFT;1;2021-08-02;15.24.1;-0.4192;neutral
33;Oki 2411;Good, easy-to-use app. You can register all your Domage vehicles that they cannot be used in all car parks in France.;4;2021-07-31;15.24.1;0.4404;neutral
34;BEAL Jacqueline;Product which lacks success, the designer has certainly never had to extend his parking lot because the procedure has to be redone and above all to re-register the parking space when of course we are no longer nearby. In short, other very practical applications still do not come close.;3;2021-07-29;15.24.1;0.5239;positive
35;Lucile Vezzoli;I have been using this app for several years. It is necessary to check the parking zones on the city parking meters before paying for your parking through the app as there may be errors. Despite the verification of the geolocation, I paid for parking in the "green zone" in Bordeaux via the application which turned out to be, according to the plans of the city, a "red zone" which led me to have to pay a fine....;1;2021-07-29;15.24.1;-0.25;neutral
36;Danielle Mazens;Very practical and easy to install and use. Well done !;5;2021-07-28;15.24.1;0.6763;positive
37;Fred;I can't even register my card. suspected of fraud. We swim in full delirium;1;2021-07-26;15.24.1;-0.6908;negative
38;Philippe Galante;Excellent;5;2021-07-24;15.24.1;0.5719;positive
39;Vincent A;Ultra practical, the only problem is that it is not present everywhere!;5;2021-07-23;15.24.1;-0.4574;neutral
40;Christophe Meyer;Nickel and cheap!;5;2021-07-23;15.24.0;0.0;neutral
41;L Bou;Very good applications that make life easier believe me;5;2021-07-22;15.24.0;0.7178;positive
42;Guillaume CAUNES;Prefer parknow;2;2021-07-20;15.23.0;0.0;neutral
43;Denis Grao;I love no more worries of money payment at the fair price thank you;5;2021-07-19;15.24.0;0.8564;positive
44;Thierry Brunet;Convenient for paid are monthly or quarterly parking. They make alerts for you indicating the end of your parking. I recommend.;4;2021-07-19;15.24.0;0.3612;neutral
45;Lucile Pentecoste;Super Convenient!;5;2021-07-16;15.18.0;0.636;positive
46;Domi Deguilhem;Very convenient to use;5;2021-07-16;15.23.0;0.0;neutral
47;Guy Pyrenebordeaux;I would have liked that we could program the start of the parking lot;4;2021-07-16;15.23.0;0.4215;neutral
48;Laurent NICOLAS;Easy to use application but the application lacks the ability to locate nearby places where you can park.;4;2021-07-15;15.24.0;0.5994;positive
49;Michael Petitdemange;Very practical, clear and easy to use, thank you designer ....;5;2021-07-13;15.23.0;0.8062;positive
50;jc jcr;Practical and clear;5;2021-07-13;15.23.0;0.3818;neutral
51;Arno Fagot;Convenient and practical.;5;2021-07-13;15.22.0;0.0;neutral
52;Valérie Jamin;Nickel, very practical and easy to use;5;2021-07-12;15.23.0;0.4877;neutral
53;Christophe Thibault;Simple and practical.;4;2021-07-12;15.23.0;0.0;neutral
54;Johnny Fleury;Great app, easy to use.;5;2021-07-12;15.23.0;0.7906;positive
55;Nathalie Cottron;Very convenient;5;2021-07-12;15.23.0;0.0;neutral
56;Xavier Meaux;I love;5;2021-07-12;15.21.0;0.6369;positive
57;Adrien DESMARIS;Very practical especially in foreign countries;5;2021-07-10;15.23.0;0.0;neutral
58;marcel Douvier;Very practical, really comfortable;5;2021-07-09;15.23.0;0.5936;positive
59;Louis GOTLAND;Awesome;5;2021-07-08;15.23.0;0.6249;positive
