ind;userName;content;rating;date;reviewVersion;compund;sentiment
0;Tero;Simple application. You can't do your job better anymore.;5;2021-10-08;5.37;0.4404;neutral
1;Hän Niskasaari;very heleppo;5;2021-09-24;5.37;0.0;neutral
2;Rolf Rönnholm;Had to get a € 10 discount when checking in ... I didn't get it!;1;2021-09-23;5.37;0.0;neutral
3;Risto Koskela;Great and easy to use. Receipts nice if you need them;5;2021-09-20;5.37;0.8689;positive
4;Maija Hintsala;Great app! You don't have to pay in vain.;5;2021-09-17;5.36;0.4382;neutral
5;Aleksandr Rogachev;kiva;5;2021-09-13;5.36;0.0;neutral
6;Benjamin Pohjolainen;simple, works👍;5;2021-09-09;5.36;0.0;neutral
7;Neea Hammarén;works well and wherever I myself have been. I think that the monthly billing left and now every time the payment goes.;4;2021-09-07;5.36;0.2732;neutral
8;Japixx;Shit, after the upgrade, it won't work anymore and you won't be able to insert the card;1;2021-09-02;5.36;-0.5574;negative
9;T G;Installation from Google Play does not work. The installation chain goes Install-Installed, but where is the Open button? There will be no button with the parkman App logo in the menus. That is, not installed though so claims ...;1;2021-08-24;nan;-0.2732;neutral
10;Toni Erkkilä;The first parking had to be reimbursed for € 10, but was penned.;1;2021-08-21;5.36;0.0;neutral
11;Marko Valli;Works otherwise OK, but does not react on unforgettable parking.;3;2021-08-13;5.35;0.0;neutral
12;hanna suvanto;The pieces are broken;1;2021-08-04;5.35;-0.4767;neutral
13;Peter Fors;I downloaded and tried the ad as a victim but the code didn't work. Not to continue;1;2021-08-04;5.35;-0.1406;neutral
14;Kalevi Kolehmainen;Works if you install the app in the area of ​​Wi-Fi connected to your phone. A practical experiment in the area of ​​a good telephone network has yet to be done.;4;2021-08-04;5.35;0.4404;neutral
15;Risto Koivunen;Not even creating an account was successful. 5 attempts to enter a verification code received as a text message, but failed, was claimed to be incorrect even though it was guaranteed to be correct. The attempts were enough for me and the app got evicted from my phone.;1;2021-08-01;5.35;-0.5414;negative
16;Timo Heikkinen;Absolutely awesome ...;5;2021-07-30;5.35;0.659;positive
17;Mika Hakola;Thanks for the parking fines. If different areas on the street cannot be put in the correct area automatically. Must visit to check the ticket machine area itself. Useless appi.;1;2021-07-23;5.34;0.0258;neutral
18;Joni Kuikka;Really easy and convenient;5;2021-07-16;5.34;0.4927;neutral
19;min hietala;Does not work;1;2021-07-15;5.35;0.0;neutral
20;Eerikki;There could be a button in the settings for deleting a user account.;4;2021-07-13;5.34;0.0;neutral
21;Anne Aromaa;Reliable and clear. :);5;2021-07-13;5.34;0.6808;positive
22;Asiantuntija Mäki;After the upgrade handrail, unable to log in to the account;1;2021-07-13;5.34;0.0;neutral
23;Henri;BUGINEN! This was so awkward to make that work! Required 5 text with verification codes and ID password reset on top to get ahead. Of course, the problems did not stay there, but the terms had to be accepted about 10 times to get open. The right of the location also had to be manually turned on to turn on the settings. When these were ok, I couldn't even put it in the park the next morning due to the 4h limit. Fortunately, there was extra time to adjust, and eventually EasyPark opened and had the car parked.;2;2021-07-13;5.34;0.3018;neutral
24;Ilmari Lappalainen;The application is in an endless license approval hub;1;2021-07-09;5.32;0.4767;neutral
25;Juha Pallonen;In Tallinn, the price is three times higher for a Finn;1;2021-07-08;5.32;0.0;neutral
26;Niko Lappalainen;Before it worked well, now it crashes constantly and I don’t get stopped parking.;2;2021-07-07;5.33;0.0516;neutral
27;jari niemi;Shuts down and time cannot be extended ..;1;2021-07-07;5.33;0.0;neutral
28;Baran Adiguzel;pBARAN;5;2021-07-06;5.32;0.0;neutral
29;Kiiki Sario;Katuukaatuu .. Edit. Can you put an email address where to put a message. Not playing. Also didn’t turn off the parking, even though I tried many times, and also removed the app right after I put that previous message.;2;2021-07-06;nan;-0.1511;neutral
30;Jukka Kääriäinen;Can't sign in to the app because the code in the text message is incorrect?;1;2021-07-04;5.32;0.0;neutral
31;Ismo Nurmi;There came nothing about parking. Really confusing deployment. Fortunately, it was able to choose a competitor, Easypark, when this failed.;1;2021-07-02;nan;-0.7243;negative
32;Markku Impiö;The new Parkman will spam you with a receipt email for each parking.;1;2021-06-25;5.32;-0.3612;neutral
33;Pekka Jokinen;After replacing the handset, the application cannot be updated / account re-enabled. Goes to the txt loop and after a while reports too many attempts to log in "try again after 59min". Until then, I own a fine or exchange. another parking app. I will choose the last one.;1;2021-06-17;5.32;0.2023;neutral
34;Ville Silvola;Post-payment bearings are vague touhuy;1;2021-06-13;5.32;-0.1027;neutral
35;Heli 74;Before it worked well, today no parking lot or in this case the parking lot did not see from my own device that I had paid for parking. Luckily I was there and I was able to show the receipt that has been paid, otherwise there would have been a ticket in the window ... So this in Turku Bus station parking lot!;2;2021-06-08;5.32;0.5411;positive
36;Johanna Tähtinen;Does not work at all, always reports a network error. It doesn't help even if the internet restarts and forces the application to close. Before, work flawlessly and easily.;1;2021-06-08;5.32;-0.1921;neutral
37;Kimmo Salonen;Good;3;2021-06-08;5.32;0.4404;neutral
38;Raija Lehtonen;Punches badly. Poke for a week and no one answers emails or phone calls.;1;2021-06-08;5.32;-0.6486;negative
39;M-M Pisto;Poor and poorly functioning;1;2021-05-31;4.534;-0.4767;neutral
40;marko mäki;Good;4;2021-05-28;5.31;0.4404;neutral
41;Inkeri Haulos;Easy help with parking.;4;2021-05-21;5.31;0.6808;positive
42;Saaga;Easy and fast!;5;2021-05-21;5.31;0.4926;neutral
43;Johan Niemimäki;For this pskan application I received fines of € 500 in total although always put on parking. For example, on Monday I parked and on Thursday I will come back in a glass 3x50 € fine and transfer request. Then when the app is opened then no receipt or proof of parking can be found to prove that there is parked and confirmed parking. In a nutshell: It doesn't work then and the very amazing pska is explained when you ask what. I WILL NOT RECOMMEND TO ANYONE;1;2021-05-17;5.31;0.2595;neutral
44;Anna Heiskanen;The application is convenient and easy to use.;5;2021-05-15;5.31;0.4404;neutral
45;Harry Intonen;With the latest update, the app picks up really badly, I parked the car for probably 3-5 minutes, when usually it has taken max. 1min .. I also have to find the exact location myself, the app does not target the location. Yes, it shows the location, but does not agree to target it. 🤔;2;2021-05-15;5.31;-0.4609;neutral
46;Joel Raatikainen;Unable to create user. Complains that incorrect verification code even though I put the code correctly;1;2021-05-13;5.31;-0.128;neutral
47;Christer vonGross;The charge will not work even if all the settings are correct, check that your settings are correct you cannot blame the customer as you do now.;2;2021-05-07;5.30;0.2584;neutral
48;Paula;Easy and good!;5;2021-04-22;5.29;0.7263;positive
49;Reijo Falenius;I would give less than a star because the program bucks on Android and doesn’t let me add a car.;1;2021-04-18;5.29;0.0;neutral
50;aqu agu;Now end the use of the parkman when you don't find a place where you are and suggest adjacent parking spaces from the "list", even if you find the right parking space, it is not accepted. Sometimes it might work quite well.;1;2021-04-15;5.29;0.1479;neutral
51;Paavo Sutela;Glorious;5;2021-03-25;4.88;0.6369;positive
52;Juha Takanen;good;1;2021-03-25;5.29;0.4404;neutral
53;Jarmo Aavikko;Works and easy to use. Handy.;5;2021-03-23;5.29;0.4404;neutral
54;FN MTL HD;Tricky to deploy. Punches. EasyPark is much better.;1;2021-03-10;nan;0.3182;neutral
55;Sten Örså;Register your phone number, enter a four-digit code. Why does Parkman send invalid codes? Not nice.;2;2021-03-09;5.28;-0.2575;neutral
56;Carl Taylor;Not installing, error message: Something went wrong in our head, please try again. ";1;2021-03-09;nan;0.1174;neutral
57;Timo Neuvonen;The parking fee works - at least for now. I don't know why the app has started verifying phone number verification, but it is NOT working. The text will come, from which the code reading will not work automatically. Manually entering the code will complain about the wrong code. ~ 5 times after I got bored. Encode that to work before you have to use that phone number.;3;2021-03-08;5.28;-0.8573;negative
58;marko immonen;does nothing;1;2021-03-04;nan;0.0;neutral
59;Bekim Behrami;really good and simple to use;5;2021-02-25;5.27;0.4927;neutral
60;Jukka L;Quite OK. Now, just with every opening, you want a phone number that you don’t need for anything. I don't want to give the number for advertising purposes. If the number query does not end, then you must stop using this one.;2;2021-02-20;5.27;-0.0572;neutral
61;Ruth Lehikoinen;Occasionally buggy and waste in the middle of the interrupted parking, however, mostly functional;4;2021-02-19;5.27;-0.577;negative
62;Jari Paulo;Well, works, iisi use ...;5;2021-02-16;5.27;0.2732;neutral
63;Arto Kivistö;Good app.;4;2021-02-13;5.26;0.4404;neutral
