index,topic
1,"0.056*""recommend"" + 0.047*""function"" + 0.039*""easi"" + 0.036*""money"" + 0.032*""code"" + 0.027*""coin"" + 0.025*""discount"" + 0.025*""work"" + 0.024*""parkman"" + 0.021*""time"""
2,"0.062*""conveni"" + 0.043*""work"" + 0.033*""great"" + 0.029*""code"" + 0.024*""perfect"" + 0.023*""like"" + 0.023*""free"" + 0.022*""absolut"" + 0.022*""time"" + 0.022*""super"""
3,"0.101*""code"" + 0.039*""easi"" + 0.037*""best"" + 0.032*""download"" + 0.031*""discount"" + 0.031*""work"" + 0.030*""use"" + 0.026*""flawless"" + 0.025*""time"" + 0.025*""need"""
4,"0.034*""fine"" + 0.029*""easi"" + 0.027*""money"" + 0.023*""code"" + 0.022*""work"" + 0.022*""free"" + 0.021*""fast"" + 0.021*""excel"" + 0.019*""simpl"" + 0.018*""want"""
5,"0.149*""money"" + 0.129*""easi"" + 0.092*""code"" + 0.061*""free"" + 0.045*""work"" + 0.031*""promot"" + 0.025*""conveni"" + 0.019*""applic"" + 0.019*""fast"" + 0.018*""time"""
6,"0.087*""great"" + 0.053*""free"" + 0.048*""code"" + 0.042*""promot"" + 0.031*""work"" + 0.028*""money"" + 0.025*""easi"" + 0.024*""time"" + 0.022*""quick"" + 0.022*""helsinki"""
7,"0.161*""free"" + 0.127*""code"" + 0.049*""time"" + 0.034*""good"" + 0.029*""coin"" + 0.022*""money"" + 0.015*""applic"" + 0.015*""easi"" + 0.014*""need"" + 0.013*""regist"""
8,"0.128*""time"" + 0.089*""code"" + 0.083*""free"" + 0.045*""euro"" + 0.041*""money"" + 0.038*""applic"" + 0.034*""work"" + 0.024*""great"" + 0.019*""easi"" + 0.017*""promot"""
9,"0.141*""good"" + 0.085*""handi"" + 0.048*""easi"" + 0.032*""money"" + 0.028*""code"" + 0.022*""nice"" + 0.021*""free"" + 0.020*""make"" + 0.018*""coin"" + 0.017*""life"""
10,"0.207*""work"" + 0.056*""good"" + 0.022*""servic"" + 0.021*""time"" + 0.019*""code"" + 0.014*""parkman"" + 0.014*""card"" + 0.014*""program"" + 0.013*""easi"" + 0.013*""stop"""
