userName;content;rating;date;reviewVersion
Mira Ronkainen;Helppoa parkkeeraamista, kaupungista riippumatta.;5;09/10/2021;15.28.00
Henri Niemelä;Helppo käyttää;5;07/10/2021;15.27.00
Juha Ranivaara;Asiakaspalvelu ei vastaa sähköposteihin?!?! Kamerapysäköinnin käyttöönotto nosti Lahen toriparkissa 1 pysäköinnin normaalista 2 eurosta, melkein 5 euroon?!?!??;1;06/10/2021;15.27.00
Turkka Perttu;Helppokäyttöinen.;5;02/10/2021;15.27.00
Arto Tirkkonen;Helppo;5;02/10/2021;15.27.00
Unto Niemi;Helppo tarkka ja toimii;5;01/10/2021;15.27.00
Heikki Hautala;Mahtavaa!;5;30/09/2021;15.27.00
Marjo Saastamoinen;Helpottaa valtavasti, kun voi istua kokouksessa eikä tarvitse miettiä pysäköintimittaria!;5;29/09/2021;15.27.00
Marika Savolainen;Jatkaessani loppumassa olevaa pysäköinti aikaa, sovellus paikansi pysäköintimaksuni väärälle alueelle ja aloitti uuden pysäköinnin. En tajunnut edes tarkistaa asiaa, kun aikasemmin toiminut hyvin. Tästä syystä sain parkkisakon!!!! Lähtee sovellus vaihtoon!!;1;29/09/2021;15.17.01
Joni Engström;Hyvä.;5;28/09/2021;15.27.00
Jukka Mansikka;Toimiiko junan vessa;5;28/09/2021;15.27.00
Rauno Toivola;Helppo ja nopea;5;28/09/2021;15.27.00
markku sorsa;No...onhan tämä helppoa pysäköintiä ja ihan kohtuu hintaista. Suosittelen👍👍;5;25/09/2021;15.27.00
Riikka Raski;Easy sovellus 👍🏼;5;24/09/2021;15.27.00
Purple;Näppärä ja nopea sovellus.;5;24/09/2021;15.27.00
Maija-liisa Lankinen;Olisin halunnut jatkaa mutta luottokortin uusi päiväys ei vain onnistunut joten näkemiin.;1;23/09/2021;
Susanna Macorig;Ei toimi kovin hyvin;1;21/09/2021;15.25.00
Mervi Wennerstrand;Very easy to use !;5;21/09/2021;15.26.00
Anne Ukkonen;Näppärä!;5;20/09/2021;15.26.00
Marja Hänninen;Nopea ja kätevä käyttää!;5;17/09/2021;15.26.00
Ville Laaksonen;Nykyään tämän sovelluksen avulla saamme enemmän rahaa sijoitettua pysäköintiin. Easy maksaa siis meille perheen yhteisestä laatuajasta. Vautsi wau!! Voiko tämä olla tottakaan, kun on niin mahtavaa esim Helsingin keskustassa vain 5euroa/tunti!!;2;17/09/2021;15.26.00
Mika Lehti;Helppo ja nopea. Toimii hyvin.;5;15/09/2021;15.26.00
Ari Lindén;Erittäin kätevä sovellus.Helppo pysäköinti melkein missä vain.;5;15/09/2021;15.26.00
Pekka Partanen;Helppo käyttää , selkeä;5;15/09/2021;15.26.00
Niko Väisänen;Ei asenna;1;14/09/2021;
Pasi Ahlroth;Toimii kuin höyryjunan vessa.;5;11/09/2021;15.26.00
pertti suihko;Toimii;4;10/09/2021;15.26.00
Osmo Jäntti;Helppo kuin heinän teko;5;10/09/2021;15.26.00
Reijo Rökman;Helppo ja nopea;5;10/09/2021;15.26.00
Juha Maunula;Helppoa pysäköintiä. Voi unohtaa kolikot ja kortit. Jos pysäköintiaika käy vähiin,, niin puhelimella voi säätää lisää lähtemättä autolle.;5;10/09/2021;15.26.00
Mika Kyrönlahti;Säästyy rahaa ihan konkreettisesti! Muistaa vaan laittaa pysäköinnin alkuun heti riittävästi aikaa. Parkin saa kätevästi katkaistua tarvittaessa, niin ei mene rahat hukkaan.;5;08/09/2021;15.25.00
Heikki Heino;Verraton;5;05/09/2021;15.26.00
Juhana Saloma;Erittäin hyvä sovellus, kun voi olla useita autoja. Hyvä käyttää. Erittäin näppärä!😀😀😀😀👍👍👍;5;04/09/2021;15.26.00
Jori Jokinen;Helppokäyttöinen vaikka on useampi auto sovelluksessa.;5;02/09/2021;15.26.00
Topi;Jää aika helposti huomaamatta päälle jos olet laittanut reilusti parkkiaikaa ja et muista lopettaa sitä kesken. Ei näytä mitään kuvaketta että sovellus on päällä puhelimessa. Muuten ihan kätevä.;3;01/09/2021;15.26.00
Esa Karvinen;Oikein hyvä pysäköinti sovellus.;4;01/09/2021;15.26.00
Juho Tammisto;Ei enää tule ilmoituksia kun parkkiaika lähestyy loppua tai kun se on jo loppunut. Viime päivityksen jälkeen lopetti ilmoitukset toimintansa. En ole asetuksia muuttanut ja sovelluksen mukaan pitäisi olla ilmoitukset edelleen päällä;1;31/08/2021;15.26.00
Petteri Hartikainen;Eka pysäköinti toimi, mutta jäi jumiin Eikä avaudu. Pyörii vain paikalla.;1;28/08/2021;
Toni Tamminen;Upea appi joka toimii;5;27/08/2021;15.23.00
kaarina volanen;Helpompaa ei voisi olla parkkeeraus!;5;25/08/2021;15.25.00
Helle Jari;Voiko olla helpompaa!;5;25/08/2021;15.25.00
Googlen käyttäjä;Helppoa ja toimivaa;5;24/08/2021;
Tapio Kangas;Helppo ja sujuva sovellus käyttää. Selkeä valikko. 👍;5;24/08/2021;15.25.00
Maria Heinonen;Kätevä, toimintavarma;4;24/08/2021;15.25.00
Jari Mertala;Loistava! Helpottaa elämää.;5;24/08/2021;
Pirjo-Riitta Mutta;Helppoa ja nopeaa👍🏻 muistiin saa useamman auton tiedot ja pysäköintialueet hyvin merkattuja.;5;24/08/2021;15.25.00
Tapio Kautto;Näppärä sovellus!;5;24/08/2021;15.25.00
Marko Vainio;Easyä kuin mikä!;5;23/08/2021;15.25.00
Timo Lahtinen;Välttämätön autoilevalle..;5;21/08/2021;15.25.00
Lena Laitamäki;Toimii. Todella helppo käyttää. Helppo vaihtaa autoa, jonka pysäköinnin haluaa vaihtaa. Tykkään.;5;20/08/2021;15.25.00
Ritva Turunen;Helppoa pysäköintiä;5;20/08/2021;15.23.00
jussi ylitalo;Todella helppo ja selkeä;5;19/08/2021;15.25.00
Tuomo Antero Rimpi;Helppo ja käy joka paikassa!;5;19/08/2021;15.25.00
Jarmo Uimonen;Mainio apu pysäköijälle. Löytää paikan johon olet pysäköinyt vaivattomasti!;5;18/08/2021;15.25.00
Petri Kipinä;Helppoa käyttää;5;18/08/2021;15.25.00
Pete Jii;Kaksi pysäköintiä kaksi parkkisakkoa.;1;17/08/2021;15.25.00
Michael Mavrostomos;Helppokäyttöinen. Toimii hyvin.;5;17/08/2021;15.25.00
