userName;content;rating;date;reviewVersion
Tero;Yksinkertainen sovellus. Ei voi enää paremmin hommaansa hoitaa.;5;2021-10-08;5.37
Hän Niskasaari;erittäin heleppo;5;2021-09-24;5.37
Rolf Rönnholm;Piti saada 10€ alennusta kirjautuessa...en saanut!;1;2021-09-23;5.37
Risto Koskela;Loistava ja helppokäyttöinen. Kuitit kivasti jos tarvetta niille;5;2021-09-20;5.37
Maija Hintsala;Loistava sovellus! Et joudu maksamaan turhasta.;5;2021-09-17;5.36
Aleksandr Rogachev;kiva;5;2021-09-13;5.36
Benjamin Pohjolainen;yksinkertainen,toimii👍;5;2021-09-09;5.36
Neea Hammarén;toimii hyvin ja kaikkialla missä itse olen käynyt. minusta että kuukausilaskutus lähti ja nyt joka kerta menee maksu.;4;2021-09-07;5.36
Japixx;Paskaa, päivityksen jälkeen ei toimi enää ja kortin lisääminen ei onnistu;1;2021-09-02;5.36
T G;Ei toimi asennus Google Playsta. Asennusketju menee Asenna-Asennettu, mutta missä on Avaa nappula? Valikoihin ei tule parkman appin logolla varustettua nappulaa. Eli ei asennettu vaikka niin väittää...;1;2021-08-24;
Toni Erkkilä;Ensimmäisestä pysäköinnistä piti saada 10€ hyvitys, mutta oli kusetusta.;1;2021-08-21;5.36
Marko Valli;Toimii muuten OK, mutta ei reagoi päälle unohtuvaan pysäköintiin.;3;2021-08-13;5.35
hanna suvanto;Pätkii pätkii;1;2021-08-04;5.35
Peter Fors;Latasin ja kokeilin mainoksen uhrina mutta jkl koodi ei toiminut. Ei jatkoon;1;2021-08-04;5.35
Kalevi Kolehmainen;Toiminee, jos asentaa sovelluksen puhelimeen yhteydessä olevan wifin alueella. Käytännön kokeilu hyvän puhelinverkon alueella on vielä tekemättä.;4;2021-08-04;5.35
Risto Koivunen;Ei onnistunut edes tilin luominen. 5 kertaa yritetty antaa tekstiviestinä saatu vahvistuskoodi, mutta ei onnistunut väitettiin virheelliseksi vaikka oli taatusti oikea. Yritykset riittivät minulle ja sovellus sai häädön puhelimestani.;1;2021-08-01;5.35
Timo Heikkinen;Aivan mahtavaa...;5;2021-07-30;5.35
Mika Hakola;Kiitos parkkisakoista. Jos kadulla eri alueita ei osaa laittaa oikeaan alueeseen automaattisesti. Pitää käydä tarkistamassa itse lippuautomaatista alue. Hyödytön appi.;1;2021-07-23;5.34
Joni Kuikka;Todella helppo ja kätevä;5;2021-07-16;5.34
min hietala;Ei toimi;1;2021-07-15;5.35
Eerikki;Voisi olla asetuksissa painike käyttäjätilin poistolle.;4;2021-07-13;5.34
Anne Aromaa;Luotettava ja selkeä. : );5;2021-07-13;5.34
Asiantuntija Mäki;Päivityksen jälkeen kaitee, ei pysty kirjautumaan tilille;1;2021-07-13;5.34
Henri;BUGINEN! Tämä oli niin hankala saada toimimaan että! Vaati 5 tekstaria vahvistuskoodeineen ja tunnuksen salasanan nollauksen päälle että pääsi eteenpäin. Ongelmat ei toki tähän jääneet, vaan ehdot piti hyväksyä n. 10 kertaa että sai auki. Sijainnin oikeus piti myös manuaalisesti käydä laittamassa asetuksista päälle. Kun nämä oli ok, ei pystynytkään laittamaan parkkiin seuraavalle aamulle 4h rajoituksen takia. Onneksi oli ylimääräistä aikaa säätää, ja lopulta EasyPark auki ja sillä auto parkkiin.;2;2021-07-13;5.34
Ilmari Lappalainen;Sovellus on loputtomassa käyttöoikeuksien hyväksymisrumbassa;1;2021-07-09;5.32
Juha Pallonen;Tallinnassa pukkaa kolminkertaisen hinnan suomalaiselle;1;2021-07-08;5.32
Niko Lappalainen;Ennen toimi hyvin, nyt kaatuu jatkuvasti enkä saa lopetettua pysäköintiä.;2;2021-07-07;5.33
jari niemi;Sammuilee ja ajan jatkaminen ei onnistu..;1;2021-07-07;5.33
Baran Adiguzel;pBARAN;5;2021-07-06;5.32
Kiiki Sario;Kaatuukaatuu.. Edit. Voitko laittaa sähköpostiosoitteen, mihin laittaa viestiä. Ei pelitä. Ei myöskään katkaissut pysäköintiä, vaikka yritin moneen kertaan, ja myös poistin sovelluksen heti tuon aiemman viestin laitettuani.;2;2021-07-06;
Jukka Kääriäinen;Appiin ei pysty rekisteröitymään koska tekstiviestillä tullut koodi on väärä?;1;2021-07-04;5.32
Ismo Nurmi;Eipä tullut pysäköinnistä mitään. Todella sekava käyttöönotto. Onneksi pystyi valitsemaan kilpailijan Easyparkin, kun tällä ei onnistunut.;1;2021-07-02;
Markku Impiö;Uusi Parkman spämmää sinulle kuitin sähköpostiin jokaisesta pysäköinnistä.;1;2021-06-25;5.32
Pekka Jokinen;"Luurin vaihdon jälkeen sovellusta ei saa päivitettyä/tiliä käyttöön uudelleen. Menee txt-looppiin ja hetkeen kuluttua ilmoittaa liian monta yritysta kirjautua sisään ""koeta 59min kuluttua uudelleen"". Tuohon mennessä omistan sakkon tai vaih.eht. toisen pysäköintisovelluksen. Valitsen noista tuon viimeisen.";1;2021-06-17;5.32
Ville Silvola;Jälkikäteen maksujen karhuaminen on epämääräistä touhuy;1;2021-06-13;5.32
Heli 74;Ennen toiminut hyvin, tänään ei parkkipirkko tai tässä tapauksessa parkkipete ei nähnyt omalta laitteeltaan, että olin pysäköinnin maksanut. Onneksi olin paikalla ja pystyin näyttään kuitin että on maksettu, muuten olisi ollut sakkolappu ikkunassa... Tämä siis Turussa Linja-autoaseman parkkipaikalla!;2;2021-06-08;5.32
Johanna Tähtinen;Ei toimi lainkaan, ilmoittaa koko ajan verkkovirhe. Ei auta vaikka netin käynnistäisi uudelleen ja pakottaisi sovelluksen sulkemisen. Ennen toimi moitteettomasti ja helposti.;1;2021-06-08;5.32
Kimmo Salonen;Hyvä;3;2021-06-08;5.32
Raija Lehtonen;Tökkii pahasti. Viikon tökkinyt eikä kukaan vastaa sähköposteihin eikä puheluun.;1;2021-06-08;5.32
M-M Pisto;Surkea ja huonosti toimiva;1;2021-05-31;4.534
marko mäki;Hyvä;4;2021-05-28;5.31
Inkeri Haulos;Helppo apu pysäköintiin.;4;2021-05-21;5.31
Saaga;Helppo ja nopea!;5;2021-05-21;5.31
Johan Niemimäki;Tämän pskan sovelluksen takia saanu 500€ sakkoja yhteensä vaikka aina laittanut pysäköinnin päälle. Esim. Maanantaina pysäköin ja torstaina tulen takaisin niin lasissa 3x50€ sakkoa ja siirtokehotus. Sitten kun sovelluksen avaa niin pysäköinnistä ei löydy mitään kuittia tai todistetta millä todistaa että on pysäköity ja vahvistettu pysäköinti. Tiivistettynä: Ei toimi sillon ku pitää ja aivan uskomatonta pskaa aletaan selittämään kun kysyy että mikä homma. EN SUOSITTELE KENELLEKKÄÄN;1;2021-05-17;5.31
Anna Heiskanen;Sovellus on kätevä ja helppo käyttää.;5;2021-05-15;5.31
Harry Intonen;Uusimman päivityksen myötä sovellus tökkii todella pahasti, laitoin autoa parkkiin varmaankin 3-5min, kun yleensä hommassa on kestänyt max. 1min.. Joudun myös itse etsimään tarkan sijainnin, sovellus ei kohdista sijaintiin. Kyllä se sijainnin näyttää, muttei suostu siihen kohdistumaan. 🤔;2;2021-05-15;5.31
Joel Raatikainen;Ei pysty luomaan käyttäjää. Valittaa että virheellinen vahvistuskoodi vaikka laitoin koodin oikein;1;2021-05-13;5.31
Christer vonGross;Veloitus ei toimi vaikka kaikki asetukset kohdallaan,tarkistakaa että teidän asetukset on kohdalla ette voi moittia asiaskasta kuten nyt teette.;2;2021-05-07;5.30
Paula;Helppo ja hyvä!;5;2021-04-22;5.29
Reijo Falenius;Antaisin alle tähden koska ohjelma bukaa androidilla eikä anna lisätä autoa.;1;2021-04-18;5.29
aqu agu;"Nyt loppu parkmanin käyttö kun ei kerta löydä paikkaa missä ollaan ja ehdottaa viereisiä parkkipaikkoja ""listalta"", vaikkakin se oikea parkkipaikka löytyisi niin sitä ei hyväksy.. Joskus saatto toimia ihan kohtalaisen hyvin..";1;2021-04-15;5.29
Paavo Sutela;Loistava;5;2021-03-25;4.88
Juha Takanen;hyvä;1;2021-03-25;5.29
Jarmo Aavikko;Toimii ja helppo käyttää. Kätevä.;5;2021-03-23;5.29
