ind,userName,content,rating,date,reviewVersion,compound,sentiment ,Unnamed: 0,sentiment
3,Risto Koskela,great and easy to use receipts nice if you need them,5,2021-09-20,5.37,0.8689,positive,,
18,Joni Kuikka,really easy and convenient,5,2021-07-16,5.34,0.4927,neutral,,
21,Anne Aromaa,reliable and clear ,5,2021-07-13,5.34,0.6808,positive,,
36,Johanna Tähtinen,does not work at all always reports a network error it doesnt help even if the internet restarts and forces the application to close before work flawlessly and easily,1,2021-06-08,5.32,-0.1921,neutral,,
41,Inkeri Haulos,easy help with parking,4,2021-05-21,5.31,0.6808,positive,,
42,Saaga,easy and fast,5,2021-05-21,5.31,0.4926,neutral,,
44,Anna Heiskanen,the application is convenient and easy to use,5,2021-05-15,5.31,0.4404,neutral,,
48,Paula,easy and good,5,2021-04-22,5.29,0.7263,positive,,
53,Jarmo Aavikko,works and easy to use handy,5,2021-03-23,5.29,0.4404,neutral,,
64,Markus Rantanen,bad app once a day a new update and time goes into updating the car when should put a quick parking time faster even in cash to pay at the vending machine,1,2021-02-11,5.27,-0.5994,negative,,
65,Taesbil,find great parking spaces and count only on the time actually parked easy to use,5,2021-02-02,5.26,0.7906,positive,,
73,Ole Kinnunen,surprisingly good and easy accelerates and facilitates transactions in stone foot shops also saves on parking error fees ,5,2020-12-22,5.15,0.6486,positive,,
74,Terhi Ahonen,easy clear fast and affordable,5,2020-12-15,4.94,0.6705,positive,,
76,Jukka Raulamo,easy and fast reliable automatic parking termination is a really good feature,5,2020-11-30,5.11,0.7264,positive,,
78,Erkki Yrjänäinen,really easy ,5,2020-11-17,5.06,0.839,positive,,
79,Nina Ekonoja,easy and fast,5,2020-11-14,5.10,0.4404,neutral,,
80,Ilkka Melto,very easy to use,4,2020-11-13,5.10,0.4927,neutral,,
86,Jarmo Talvela,easy fast and uptodate pricing,5,2020-10-23,5.08,0.4404,neutral,,
91,Riitta Xxx,the best easy to use,5,2020-10-16,5.08,0.7964,positive,,
95,Juha Haatainen,works really well even i could ssnoa that easy to park better lighter at least i recommend,5,2020-10-13,5.07,0.8655,positive,,
97,Eerika Hietamies,a good and easy to use app,5,2020-10-07,5.08,0.7263,positive,,
99,Osmo Kalmari,easy to use,5,2020-10-02,5.06,0.4926,neutral,,
103,Tuuli Alander,by the way jees but promo codes dont work no matter how you try js described in free parks miracle urination,3,2020-09-25,5.06,0.8941,positive,,
106,Anne Kantola,easy and handy,5,2020-09-14,5.06,0.4404,neutral,,
107,Edward Nikkilä,easy and functional,5,2020-09-14,5.06,0.4404,neutral,,
111,Fred Rosbäck,easy,5,2020-08-14,5.06,0.5399,positive,,
113,Leena Palmu-Aalto,easy and clear,5,2020-08-12,5.06,0.6705,positive,,
116,Anne Sairanen,easy and comfortable to use,5,2020-08-04,5.06,0.7351,positive,,
117,Hanne Muurinen,the app has always worked flawlessly is easy to use changes to your car truck or card information are easy to make and a monthly receipt for email is a good thing mainly annoying that the pm doesnt work  goes everywhere  every park in my city and because of this has come a couple of parking fines,4,2020-08-01,5.06,0.7783,positive,,
118,Joni Kemppainen,i only downloaded this because of the free linnanmäki park which was attached to a parking pole as an advertisement i redeemed this free park and in a month there will be a text message that the park has not been paid now then you should pay 15e for free parking pretty ridiculous,1,2020-08-01,5.06,0.9197,positive,,
121,lauri nyholm,did not accept the activation code they sent i removed the app and continued to use easy park,1,2020-07-17,5.06,0.1818,neutral,,
124,Paka Helkesalo,this too can be found on my handset and very easy to use,5,2020-07-14,5.06,0.4927,neutral,,
133,Reeta Aula,deployment was supposed to be quick and easy the app didnt even ask for the cars registration number but reported that everything had to be in order the end result is parking fines in addition to the paid parking fee forwarding a receipt didnt help no it helped even if the parking gps was in the right place neveragain,1,2020-06-19,5.05,0.6858,positive,,
135,Koivis II,sometimes it is suspiciously difficult to charge when you should stop parking compare how easy it is to start  it can also seem that most of the time my phone has been closed during parking ylim at least no error charges have come,3,2020-06-16,4.94,-0.1098,neutral,,
143,Sanna Rintakoski,convenient smooth and fast to use,5,2020-05-13,5.04,0.0,neutral,,
151,Sami Lehtinen,good and easy to use,5,2020-04-17,5.01,0.7003,positive,,
154,Sirkku Maksimainen,an easy and functional solution in the city,5,2020-04-09,5.01,0.8807,positive,,
155,Markku Lehesvuo,good and easy to use,5,2020-04-09,4.94,0.7003,positive,,
161,Pia Vilén,easy to make hay everything goes smoothly,5,2020-03-10,4.94,0.4926,neutral,,
162,Jussi Mäkinen, 10 free parking money with t6cb code,5,2020-03-10,4.94,0.5106,positive,,
163,Kikka Nilsson,easy to use good customer service,5,2020-03-06,4.94,0.7003,positive,,
164,Olli Vihma,good easy going and functional,5,2020-03-05,4.94,0.7003,positive,,
166,Antti Repo,it works and is easy,5,2020-03-04,4.94,0.4926,neutral,,
168,jemina jämiäluoma,easy to use and can be used today without a separate parkma sticker use my code mneyb1 and you will get a 1000  discount on your first parking,5,2020-03-01,4.94,0.4404,neutral,,
169,Timo Luukka,easy to use,5,2020-02-29,4.94,0.4404,neutral,,
174,Jani K,good use code zrb1 to get 10e free parking,5,2020-02-23,4.94,0.7351,positive,,
176,Ville Ruti,great app with the code pagqp4 you get  10 free parking money up front,5,2020-02-14,4.94,0.8268,positive,,
177,Eija Ojanperä,good app with this precode you get free parking for 10 euros 41a45l enter the promotional code when you sign up,4,2020-02-11,4.94,0.7351,positive,,
179,Henry Pehkonen,good and easy to use,5,2020-02-06,4.94,0.7003,positive,,
180,Reino Pättiniemi,clear and easy to use billing clear and informative,5,2020-02-04,4.94,0.7964,positive,,
181,Marko Virta,great feeling when you get free parking,5,2020-01-28,4.94,0.836,positive,,
182,Iiro Huhanantti,really easy to use,5,2020-01-27,4.94,0.4927,neutral,,
186,Riitta Haapaniemi,easy to use,5,2020-01-17,4.94,0.4404,neutral,,
188,Laura Suhonen,easy and convenient with this precode hl5zax you get another  10 free parking time which is better,5,2020-01-16,4.94,0.9274,positive,,
189,Sanna W,easy,4,2020-01-13,4.92,0.4404,neutral,,
190,Tero Puumalainen,easy and fast installation parking time can be easily changed if necessary works with that promotional code another 10  free parking time 3wud6q,5,2020-01-10,4.94,0.8356,positive,,
191,Joni Kauppila,great app with code mb2xuc  10 free parking money ,5,2019-12-29,4.94,0.8268,positive,,
197,Teijo Junnola,really fast and practical,5,2019-12-10,,0.0,neutral,,
198,Eero Roni,easy and fast,5,2019-12-10,4.91,0.4404,neutral,,
199,Midmanic m,good and functional makes parking much easier,5,2019-12-07,4.91,0.6908,positive,,
202,Sami Koivunen,works great easy to use promotional code e1571e  10 free parking,5,2019-12-01,4.91,0.8834,positive,,
208,Jouni Saari,easy to use,4,2019-11-25,4.91,0.4404,neutral,,
210,Jaana Pösö,easy fast,5,2019-11-23,4.86,0.4404,neutral,,
212,Villematti Schultz,easy to use not disproportionately expensive for occasional use,5,2019-11-20,4.91,0.4404,neutral,,
213,Mari Wallenius,4aua6f free parking time,5,2019-11-19,4.91,0.5106,positive,,
214,Kirsi Torikka,easy to use,4,2019-11-17,4.91,0.4404,neutral,,
216,Pyhatar85,easy to use,4,2019-11-13,4.90,0.4926,neutral,,
217,Eero Kurru, 20 free parking with promotional code 5abz,5,2019-11-12,4.88,0.5106,positive,,
220,Laura Lehtismäki,i switched from easypark to parkman because of the prices works without problems with code a9je25 you get  10 free parking time ,5,2019-11-09,4.90,0.8204,positive,,
