ind,userName,content,rating,date,reviewVersion,compound,sentiment ,Unnamed: 0,sentiment
14,Kalevi Kolehmainen,works if you install the app in the area of wifi connected to your phone a practical experiment in the area of a good telephone network has yet to be done,4,2021-08-04,5.35,0.4404,neutral,,
17,Mika Hakola,thanks for the parking fines if different areas on the street cannot be put in the correct area automatically must visit to check the ticket machine area itself useless appi,1,2021-07-23,5.34,0.0258,neutral,,
18,Joni Kuikka,really easy and convenient,5,2021-07-16,5.34,0.4927,neutral,,
36,Johanna Tähtinen,does not work at all always reports a network error it doesnt help even if the internet restarts and forces the application to close before work flawlessly and easily,1,2021-06-08,5.32,-0.1921,neutral,,
41,Inkeri Haulos,easy help with parking,4,2021-05-21,5.31,0.6808,positive,,
44,Anna Heiskanen,the application is convenient and easy to use,5,2021-05-15,5.31,0.4404,neutral,,
53,Jarmo Aavikko,works and easy to use handy,5,2021-03-23,5.29,0.4404,neutral,,
61,Ruth Lehikoinen,occasionally buggy and waste in the middle of the interrupted parking however mostly functional,4,2021-02-19,5.27,-0.577,negative,,
67,Ari Jussila,handy,4,2021-01-20,5.23,0.0,neutral,,
73,Ole Kinnunen,surprisingly good and easy accelerates and facilitates transactions in stone foot shops also saves on parking error fees ,5,2020-12-22,5.15,0.6486,positive,,
82,Teemu Nikkanen,awesome help ,5,2020-11-03,5.09,0.7959,positive,,
84,Stig Tenlenius,handy,5,2020-10-30,5.09,0.0,neutral,,
85,Noora Sofi,its convenient no more looking for coins and ramping in the parking machine,5,2020-10-29,5.09,0.6399,positive,,
92,Ulla-Mari Lindh,really convenient parking,5,2020-10-14,5.07,0.0,neutral,,
106,Anne Kantola,easy and handy,5,2020-09-14,5.06,0.4404,neutral,,
107,Edward Nikkilä,easy and functional,5,2020-09-14,5.06,0.4404,neutral,,
114,Kalle Lahtinen,you get 10e parking money with the code utqn good and handy parking app,5,2020-08-12,,0.4404,neutral,,
133,Reeta Aula,deployment was supposed to be quick and easy the app didnt even ask for the cars registration number but reported that everything had to be in order the end result is parking fines in addition to the paid parking fee forwarding a receipt didnt help no it helped even if the parking gps was in the right place neveragain,1,2020-06-19,5.05,0.6858,positive,,
136,Margarita Kataja,i havent used and updated the app in a long time now that i finally got it updated it refused to boot every time i try to open the app a rotating logo appears on the screen that stays rotating and nothing goes beyond it the internet connection is good so the problem isnt there  i also tried to download the app again but that didnt help either,1,2020-06-13,,-0.5463,negative,,
143,Sanna Rintakoski,convenient smooth and fast to use,5,2020-05-13,5.04,0.0,neutral,,
147,Anita Ryhänen,really convenient,5,2020-04-28,5.02,0.0,neutral,,
148,Laila Kekonen,really convenient,5,2020-04-28,5.02,0.0,neutral,,
154,Sirkku Maksimainen,an easy and functional solution in the city,5,2020-04-09,5.01,0.8807,positive,,
164,Olli Vihma,good easy going and functional,5,2020-03-05,4.94,0.7003,positive,,
180,Reino Pättiniemi,clear and easy to use billing clear and informative,5,2020-02-04,4.94,0.7964,positive,,
183,Harri Schabarin,handy,5,2020-01-27,4.94,0.0,neutral,,
188,Laura Suhonen,easy and convenient with this precode hl5zax you get another  10 free parking time which is better,5,2020-01-16,4.94,0.9274,positive,,
195,marja-riitta Laatikainen,handy,4,2019-12-17,4.87,0.0,neutral,,
197,Teijo Junnola,really fast and practical,5,2019-12-10,,0.0,neutral,,
199,Midmanic m,good and functional makes parking much easier,5,2019-12-07,4.91,0.6908,positive,,
215,Caffeepup,a functional and easytouse application,5,2019-11-15,4.91,0.0,neutral,,
