ind,userName,content,rating,date,reviewVersion,compound,sentiment ,Unnamed: 0,sentiment
24,Ilmari Lappalainen,the application is in an endless license approval hub,1,2021-07-09,5.32,0.4767,neutral,,
56,Carl Taylor,not installing error message something went wrong in our head please try again ,1,2021-03-09,,0.1174,neutral,,
75,Tuuli Kiviniemi,i have had the app installed for a few beds and i have been happy but now my text message said that you have not been able to charge my account the validity of my debit card was updated at the turn of the month but the number remained the same what is your problem the phone number in the contacts is not in use i would like to continue using park mania but how do i get in touch to resolve a debit card issue tuuli kiviniemi ijr782,2,2020-12-02,5.12,0.7907,positive,,
130,ULLA LOJANDER,good and affordable thank you happy summer,4,2020-06-23,5.05,0.8553,positive,,
178,Jouko Ahonen,works can be satisfied,4,2020-02-06,4.94,0.4215,neutral,,
187,Pia Kauppinen,works really well and very happy with my monthly billing customer service is good,5,2020-01-17,4.94,0.8617,positive,,
241,Outi Mäkelä,works really for sure the instructions are clear because the screen has everything you need available no unnecessary addons or content t outi m,5,2019-10-10,,0.5057,positive,,
324,Leif Hollmen,very satisfied the card could be plastic,5,2019-06-18,4.82,0.4754,neutral,,
373,Sirkka Stenström,im happy no need for adding time,5,2019-04-07,4.77,0.3612,neutral,,
427,Ki Va,a handy app with this still parking money kxje please  or this  n7ds,5,2019-01-18,4.66,0.3182,neutral,,
441,Tee Äs,sure code skzr offers 10e worth of parking time please,5,2018-12-11,4.534,0.6996,positive,,
586,Googlen käyttäjä,free parking for 10 euros in front with code adq6 please,4,2018-01-02,3.50,0.6808,positive,,
638,Leena Vesterinen,i parked in kuopio aapel on june 26 2017 windshield parkman sticker and amplifier for parking but the kapas but the fines came parkman billed for that time and the account charged  the phone lost in daily timebut i remember the amount that also matches the billing in my account now i should somewhere get pengoized about that information  damn it i think ill finish the whole parkman,1,2017-07-14,3.46,-0.8271,negative,,
654,Antton,good app but but but  namely it can be stressful to download an update the content of which has no idea i guess its quite appropriate to even open something about those updates otherwise quite a positive experience it always picks up on that but luckily that too passes by,4,2017-06-26,3.45,0.7674,positive,,
666,Saara Laitinen,good app free parking time up to  10 with phk1 subscription code please,5,2017-06-03,3.44,0.8313,positive,,
818,Tero Koivula,55 application no complaints insanely useful in tampere for example no more need to lug coins in the car code cvu2 free parking money for you and me please thank you,5,2016-10-19,3.22,0.8767,positive,,
874,Henri Laitinen,for this parking money 10e code junh please  absolutely awesome app and parking couldnt get this easier i recommend,5,2016-08-01,3.22,0.9435,positive,,
889,Heidi Tabletti,paypal payment by credit card in addition please ,4,2016-07-10,3.22,0.5994,positive,,
904,Heidi,5wtd without parking money please ,3,2016-06-02,3.20,0.2589,neutral,,
979,Juha Matikainen,i have spent years and still satisfied no need to carry coins,5,2016-01-03,3.19,0.5574,positive,,
983,Esa Ranta,10 euros parking money with sgmf code please satisfied for the fourth year ,4,2016-01-02,3.19,0.6588,positive,,
1017,Jouni Aho,currently version 316 and it works and i use and i am almost happy at some point in the updates the choice of parking time became the choice of end time to the nearest hour and minute in the old one only the length of the parking time from this moment onwards was chosen x hours  minutes and it was convenient now you have to look at what the clock is and adjust the end time hours and minutes separately may be suitable for rapper fans but not for me when this change came i immediately sent feedback and suggested that you could choose which feature to use from the menu there was a green light that this could be done  sometimes not done yet convenient app by the way but only 3 stars due to the rapping of the ptime expiration time    application startup is interrupted by a message stating that the process comneligrateparkman stopped unexpectedly reinstallation and booting your phone between installation attempts and application removals will not help samsung xcover gts5690 and android version 236 the old app version worked flawlessly and wants it back from something  thank you follow the instructions to install google play service,3,2015-11-23,3.16,0.5973,positive,,
1027,Mirva Rahunen,free parking money 10 euros with this code please  really handy to use nicely expanded areas of use,5,2015-11-06,3.16,0.9077,positive,,
1128,Olli Jalonen,and that code for free parking cruk please,5,2015-08-10,3.13,0.7088,positive,,
1130,Tuomo Sundqvist,with s38f code 10  free parking time please use it freely,5,2015-08-06,3.13,0.8313,positive,,
1199,Jani Toivanen,good programthis is a 10 euro discount coupon code 15a9 please ,5,2015-03-11,3.04,0.802,positive,,
1201,Pirjo Stenman,free parking money with 3ed3 code 10 euros  please ,5,2015-03-10,3.04,0.7339,positive,,
1204,Juha Haavisto,parking money 10  please,5,2015-03-06,3.02,0.3182,neutral,,
1395,Aki Tainio,goes well the application is very easy to use the small disadvantage comes from the long positioning time and the fact that the service fee per parking is 049 euros which was not announced in the software in advance its now a small amount of money from the hassle of not having to carry cash along and not having to walk to the parking lot and back to the car im satisfied,4,2013-09-12,2.14,0.6478,positive,,
1397,Ahti Naukkarinen,practical functional and easy application i am very satisfied easy to use effortless billing,5,2013-06-11,2.14,0.847,positive,,
1425,veonlyöä,parkman works flawlessly whenever you could have your device developed so that it would resemble parking from time to time the gang would be even happier thank you,5,2021-05-19 08:46:15,4.44,0.7901,positive,,
1489,V...tuttaa,i am not satisfied did not alarm in the vicinity of the car to stop parking balance over  40i think ill stop using the app ,1,2019-05-17 02:12:10,3.65,-0.5713,negative,,
