ind,userName,content,rating,date,reviewVersion,compound,sentiment ,Unnamed: 0,sentiment
2,Hélèna Saoudi-Reviron,We should be able to give money back even if the parking is finished,4,2021-08-25,15.25.0,0.0,,2,neutral
3,demineur 68414,Very very good 👍,5,2021-08-22,15.24.1,0.5379,,3,positive
6,Nicolas Dupin,"Little interest in the application: Geolocation works poorly, pay attention to the area code when you park. Impossible to extend the parking time, which could have been the only interest of the application. Service charges that increase the cost of parking by 30% compared to paying at the terminal. Lots of points to improve.",1,2021-08-21,15.25.0,0.8445,,6,positive
8,Lilou Liz,"Application that really lacks seriousness .. Application that stops parking on its own ... go to a big city like Bordeaux and have to use parking meters because the application does not launch, just nothing.",2,2021-08-20,15.25.0,0.1082,,8,neutral
16,ktia Brn,"It is a shame for the same vehicle, the same account, the same address, the same email, the same credit card to pay not to receive the same information concerning parking. My husband paid for parking from his cell phone and I paid for mine for the same period because the parking for the same vehicle located in the same place he had paid for was not listed on my cell phone! It would be wise for a census of parking lots by vehicle to be possible ...",1,2021-08-16,15.25.0,0.3595,,16,neutral
20,Evelyne Lambert,"Super simple and intuitive app, great for managing paid parking, no need to know how long you are staying, you can stop before, extend ... I would like to be able to use it in all cities.",5,2021-08-13,15.24.1,0.8316,,20,positive
21,Estelle Daurat,So convenient!,5,2021-08-13,15.25.0,0.0,,21,neutral
23,V J,"Before we could know the pricing when we are done, now this is no longer the case ... Result: according to the town hall website I should pay 1 €, with Easypark I have to pay 1 € 70 ... Beautiful scam.",1,2021-08-11,15.24.1,-0.4215,,23,neutral
24,Bruno Marro,"0.20ct. parking, 0.29 charge !! Will plan parts or change the system! Installed, uninstalled immediately!",1,2021-08-09,15.24.1,0.0,,24,neutral
25,S. 900,"Super practical. From time to time does not detect the position automatically but hey, it is still a good application!",5,2021-08-08,15.25.0,0.7644,,25,positive
27,Patrick LEGRAND,Very convenient !,5,2021-08-06,15.24.1,0.0,,27,neutral
31,Gilles Erard,It's good when you have no change !! Otherwise you have better time to put parts it's much cheaper! Costs of 27 cents in addition to the duration for 5 minutes is theft !! I will uninstall ...,1,2021-08-04,15.24.1,0.6973,,31,positive
35,Lucile Vezzoli,"I have been using this app for several years. It is necessary to check the parking zones on the city parking meters before paying for your parking through the app as there may be errors. Despite the verification of the geolocation, I paid for parking in the ""green zone"" in Bordeaux via the application which turned out to be, according to the plans of the city, a ""red zone"" which led me to have to pay a fine....",1,2021-07-29,15.24.1,-0.25,,35,neutral
37,Fred,I can't even register my card. suspected of fraud. We swim in full delirium,1,2021-07-26,15.24.1,-0.6908,,37,negative
41,L Bou,Very good applications that make life easier believe me,5,2021-07-22,15.24.0,0.7178,,41,positive
46,Domi Deguilhem,Very convenient to use,5,2021-07-16,15.23.0,0.0,,46,neutral
47,Guy Pyrenebordeaux,I would have liked that we could program the start of the parking lot,4,2021-07-16,15.23.0,0.4215,,47,neutral
55,Nathalie Cottron,Very convenient,5,2021-07-12,15.23.0,0.0,,55,neutral
61,Clem L,"Impossible to pay a subscription via PayPal in 2021 but wake up ... Even alone I could make a better designed app, and what about the site ...",1,2021-07-01,15.23.0,0.2846,,61,neutral
65,Tom Ramel,"Bugged application which no longer displays the current rights ... Obliged to go through the website. Already that to impose a private service provider to manage its parking subscriptions is very limited on the part of the city of Bordeaux ... The minimum is that the tool works. Especially considering the racket that one suffers in the event of a fine. Besides, warn 1 week in advance of the end of your subscription and not on D-Day, it's extremely petty!",1,2021-06-27,15.23.0,-0.865,,65,negative
66,Sebastien Texier,"Since the last update, I no longer have my parking rights in Bordeaux. I can no longer buy a subscription, change vehicle, or pass 52 ... practical. And impossible to synchronize with the site, well done",1,2021-06-26,15.23.0,-0.3182,,66,neutral
68,Mehdy Maharrar,Very bad and complicated very bad compared to PaybyPhone,1,2021-06-21,15.22.0,-0.8218,,68,negative
70,Marie Thérèse Wininger,The facility no longer need to look for change !!,5,2021-06-14,15.22.0,-0.4184,,70,neutral
72,Christophe Foubet,"After choosing the duration of my parking, I have a black page with a message informing me that it is validated, suddenly I do not wait for the rest (no time). But in fact there was no synchronization and I end up with a pv. It is very average. 12 €, it hurts when you're struggling. You have to have time to wait to be sure that everything went well. Optimizations to do.",3,2021-06-11,15.22.0,-0.5023,,72,negative
74,Martial Aymon,Simple and easy too bad it doesn't work everywhere,4,2021-06-10,15.22.0,-0.1531,,74,neutral
77,Barbara DE MAESTRI,"No synchronization of rights between the website and the app. What is this application for when you are a resident apart from knowing our position in real time? ... NB: no need to invite me to contact customer service, I understood that you had a synchronization and broadcasting problem information 😉",1,2021-06-06,15.22.0,-0.6705,,77,negative
78,jean-pierre PEYRÉ,Done his job and pretty well. Practical and saves money as soon as you understand how it works. Free the mind but of course do not forget to cut it when getting back in the car.,5,2021-06-03,15.21.0,0.7918,,78,positive
79,nicolas mahieux,"On the website my vehicle does have a resident right, on the application no. So not possible to park my vehicle ... in general, the application is not as intuitive as one might expect in 2021. They stayed 5 years in the past :(",1,2021-06-02,15.21.0,-0.4404,,79,neutral
81,Fr. Roethenbacher,Simple to use convenient,5,2021-06-01,15.21.0,0.0,,81,neutral
82,Jérôme ROMPANT,Very good application,5,2021-05-29,15.21.0,0.4927,,82,neutral
85,Daniel Del Risco,Very convenient,5,2021-05-28,15.21.0,0.0,,85,neutral
86,Thierry ANTONY,That happiness no need to look for change and keep you informed of the remaining time,5,2021-05-27,15.21.0,0.34,,86,neutral
89,Renald Delorme,At least we just always have the price it's great,5,2021-05-19,15.20.0,0.6249,,89,positive
90,STEFNELL BRILLET,Very convenient,5,2021-05-18,15.20.0,0.0,,90,neutral
91,Michel Szczesny,"Nothing to complain about for short-term parking: the app does the job. For residential parking there is a lack of transparency concerning the extensions to take into account public holidays or in the event of confinement: this appears in the rights under a reason ""Extension"" without being notified so we find each other easily to pay for nothing, as I just did (I only understood this by going to Effia)",2,2021-05-16,15.20.0,0.5283,,91,positive
92,Laurent FELIN,"Well, I wouldn't say that I take pleasure in paying for my parking, but it is true that this application is well designed. This allows you to walk with a light mind and to be able to extend your parking distance if necessary. Nevertheless I would not put 5 stars because the invoicing of the sending of a proof by email or then of an SMS alert, it is still a little abused. In addition, it necessarily works only in places where there is a data network.",3,2021-05-13,15.20.0,0.8438,,92,positive
98,Christophe Gasser,Ah ok it's not good just YESPARK greetings,1,2021-05-03,15.20.0,0.3806,,98,neutral
104,Antonin Rey,"I made a request for parking assistance to the city of Bordeaux which was accepted, but it was impossible to make the link with the application which gives me the visitor rates and not the resident rates. And really I do not understand how to indicate to the application that I am entitled to the resident rates ... Suddenly I pay via the site and not via the application ... Too bad",2,2021-04-19,15.19.0,-0.4854,,104,neutral
105,Dani Libanon,So bad experience. Infraction ticket. With Parking payment !!!!!,1,2021-04-17,15.19.0,-0.715,,105,negative
106,Amelia Barros,"Excellent esay Park terminals! No need to take out all kinds of parts, or just enter your car number, Everything and into the phone. Plus, at the end of the month, I can print (from my phone) the invoice for my monthly expenses to give to my employer! It suits me 100%",5,2021-04-15,15.19.0,0.5242,,106,positive
107,Léa MORTIER,"Very practical application only I remove a star because there is I think a bug that must be paid attention to. When you want to extend your parking time, wait until it is over to resume one. Otherwise the app charges too much. Example: I had planned until 5:30 p.m., I wanted to anticipate and extend it until 7 p.m., I go up to 30 € (for 4 hours of parking in all). Surprised by the price I waited 5:30 p.m. (so the end) to start over and there, € 2.70 until 7 p.m.",4,2021-04-15,15.19.0,0.3612,,107,neutral
109,Morgan Klein,"I told myself that I was going to test. 1) I had to enter my credit card number from the start. As well as my tel number. 2) I can't find any parking around my home, neither in Paris, nor in Nantes. 3) I find it bad, I uninstall. 4) I told myself that I would have to delete my account to leave my personal data lying around, especially with the databreaches that we often hear about. 5) I type the name EasyPark on google and I come across the site of nacy, strasbourg, belgium, australia, but nothing to delete his account 6) I reinstall the app, and I find in the FAQ that to delete his account must call a 09 ... Really bad!",1,2021-04-11,15.19.0,-0.8117,,109,negative
110,Laura Bgl,"I would like to delete the data of my bank card but impossible ... PS: I am modifying the note, for a quick response from customer service",5,2021-03-26,15.18.0,0.1901,,110,neutral
112,edouard B,"Descent to 1 star After having received your customer service. Thank you for your response, but after undergoing your customer service. As well as the lack of seriousness of your platform. I have lost all confidence in your service as well as my business. The procedure is long and time consuming. Despite the payment via your application, when I took a fine on 03/15 fps € 30 in Metz I am still waiting for the receipt (already more than 24 hours) to be able to contest it (received on 03/17 after insisting) Flee",1,2021-03-17,15.18.0,0.7579,,112,positive
116,Anne-Marie Fontana,Very convenient,4,2021-03-13,15.18.0,0.0,,116,neutral
118,CHIBROX,Very convenient,5,2021-03-02,15.17.1,0.0,,118,neutral
121,Olivier le bouil,The app tells me that I have no current rights or parking even though I have a valid annual subscription!,1,2021-02-26,15.17.1,-0.3595,,121,neutral
122,Patrick DA ROS,"Another app made only for those who have made it but not for its novice users. This is often the problem with Geeks, they create for them and forget that we are above all looking for simplicity in use.",1,2021-02-24,15.17,-0.5927,,122,negative
125,S W.,"I'm not very good with technology so, by wanting to do a price simulation I activated a parking lot. Super poorly explained as an app and in addition I can not delete my cb!",1,2021-02-18,15.16.0_rc2,0.3755,,125,neutral
126,coralie caron,"Unable to access the ""help"" section which opens and closes automatically, how do I get my ticket to put in the car to prove that I have paid?",3,2021-02-18,15.16.0_rc2,0.4019,,126,neutral
131,Patrick B,"Bjr, in Bordeaux, for a few days my bank card has not been kept in my memory I have to re-enter it for each payment .. painful .. before, it was going very well ..... The app is up to date.",4,2021-01-27,15.15.1,-0.1298,,131,neutral
132,X Laminux,"If the app does not make with its PayPal payment, I only put 3 stars for the commercial part. I received a referral link but since I had just installed the app before creating my account via the net. In short, I cannot benefit from the 2 euros reduction. But worse, my godfather cannot benefit from his 3 euros. While I could not have them due to my mistake, on the other hand, my godfather had nothing to do with it. So 3 stars.",3,2021-01-23,15.15.1,-0.7643,,132,negative
136,maxloup h,"Hello, I just took a fine when I had half the 30 free minutes and I did not exceed them, how am I going to do when the fine arrives?",3,2021-01-08,15.14.1,0.7096,,136,positive
138,Gauthier GENEAU,"Easypark has just incredibly increased its rates in Nancy, with a minimum of 15ct per parking lot and a 15% commission. This explodes the price of short parking lots. I uninstall and go to opngo.",1,2021-01-05,15.14.1,0.3384,,138,neutral
140,Trail la Fumana 10km Nancy,"Notice updated following an article in the Republican East: it is the most expensive application on Nancy! Another scam! if you forgot to pay and you do this remotely and in the meantime you have a PV (and even if you come back to the car to check if you have PV, it is still necessary that the person must not forget to put the info on your windshield) and well too bad for you: no recourse possible .... I have no choice to use this application",1,2021-01-05,15.14.1,-0.8695,,140,negative
143,Nicolas Nicolas,"Too bad that the classic internet account and that of the application do not synchronize ... It is a bit the basis ... As a result, the residential rate does not appear in the application. Response to the message of 12/28: send back to the website to manage subscriptions ... It is therefore to demonstrate that the application is useless ...",1,2020-12-28,15.14.1,-0.743,,143,negative
144,Amélie Lehmann,It's good to have the resident card but the app tells us that we have more parking rights even though it was working the day before!,1,2020-12-23,15.14.1,0.3054,,144,neutral
149,Ludovit Martonyik,"Wow. After paying for my 2 parking lots today, I learned by SMS that I have the ""Standard"" offer which costs 0.29 € more for each parking lot. Of course, you have to deactivate it if I don't want it. I never wanted this standard offer, nor paid for unnecessary additional service. You're welcome for the 2x 0.29 €, I hope it's worth disappointing people for additional turnover! (and thank you for giving me the opportunity to give my first negative review on an app: D)",1,2020-12-16,15.14.1,0.8878,,149,positive
151,Julia Isabelle,No connection problem. Very good application.,5,2020-12-07,15.12.3,0.5025,,151,positive
153,Najoua ABARKI,It would be very convenient to indicate the amount of parking in the history list. This would avoid clicking on each parking lot to have this information knowing that returning to the list systematically puts us at the top of the page (if we had scrolled),4,2020-11-30,15.13.1,-0.1027,,153,neutral
154,Didier Schwab,"Excellent application! Nothing more to say, it's perfect ... 👍👍👍",5,2020-11-30,15.13.1,0.8268,,154,positive
155,Vincent Payrat,"in Brussels I used this application for a few days, and I have already received 2 parking tickets for 3 days of parking, while the people in charge of the application tell me that everything is in order. After 2 months of pressure I was able to be reimbursed for the two PVs. The application is very good and practical, but please make sure that the local services follow the digital transition, otherwise the obstacle course to be reimbursed for their mistakes will nullify its benefits.",4,2020-11-29,15.13.1,0.51,,155,positive
157,Manush Anchorte,"Basically it's not bad and the service really tempted me. After some details are not very intuitive qd we do not know the application. Example the parking zone code: we are in a car we have used the app little, we can be in a hurry, what is this code, where do we find it? Ect But let's admit The app did not work for my monthly subscription, I ended up running to the parking meter at the bottom of my house And unable to delete my account where my bank details are",1,2020-11-26,15.13.1,0.481,,157,neutral
160,V DJ,Very safe ... frankly I am very happy with this application. He quickly finds the location on the map and you can only pay for the actual parking time.,5,2020-11-03,15.12.3,0.7774,,160,positive
164,L CFN,Almost perfect !,4,2020-10-23,15.12.3,0.5717,,164,positive
166,Eve Gherson,Usually app that works very well,4,2020-10-22,15.12.3,0.3384,,166,neutral
167,hicham Mohamed,Very good aplication frankly nothing to say at the top,5,2020-10-22,15.12.3,0.6115,,167,positive
172,I Andria,I change my note. Following an update I could no longer add my credit card finally I went through Paypal. The application is especially useful when you have no change with you and avoid running to put money back in the parking meter. 😅,5,2020-10-12,15.12.3,0.4005,,172,neutral
173,Frédérique TISOT,Great application. Works very well. Calculation to the nearest cent the duration of the parking.,5,2020-10-09,15.12.2,0.7574,,173,positive
174,Guillaumr Gsc,Very good and ultra-practical application. Very intuitive clock via application with notification at the end of parking. Possible to receive by email all parking receipts per day or per month via website. Thank you to the developers for being responsive to customer comments. Sincerely Guillaume,5,2020-10-02,15.12.1,0.8832,,174,positive
177,Ingrid Demaison,"Great, no need for change!",5,2020-09-23,15.11.1,0.4926,,177,neutral
179,Antoinette Vroom,Cannot change plate / add new car. Annoying when renting a car!,1,2020-09-18,15.11.1,-0.4574,,179,neutral
184,Phoenix Heavy,"It is posted 0.70 € parking per day in resident. And I realize that I am billed 0.85 €, and cannot register my credit card to find out if this problem comes from PayPal. The help tab as if by chance does not work on the application ... Astonishing no?",1,2020-09-13,15.11.1,-0.1553,,184,neutral
185,Stefan Janssens,"Application works very well never had any bugs during daily use for 3 months, but we can always improve which justifies the 4 *",4,2020-09-09,15.11.1,0.6753,,185,positive
190,Nicolas Everaerts,"Perfect simple and effective, they are rare but do not work everywhere ....",5,2020-09-03,15.11.1,0.5267,,190,positive
192,Braunbarth Odette,It is a good innovation to pay for real parking ... except for those dizzy who forget to stop it if they leave early compared to the scheduled time! It should stop automatically when the car leaves the location 😊,5,2020-08-25,15.10,0.6114,,192,positive
193,Clement Pouette,I look for apcoa ca offers me this app which is not the right one ... SEO is not good.,1,2020-08-20,15.10,-0.3412,,193,neutral
195,Christian PERE,Very convenient !,5,2020-08-18,15.10,0.0,,195,neutral
196,Karine G.,"Super practical and super easy to use. So far I haven't encountered any bugs, no problems. So nickel. I find it great to be able to manage my resident parking lot but also to be able to enter a second vehicle for a one-off parking (that of my mother in this case, who no longer needs to have change when she comes to visit me). 👍👍👍",5,2020-08-15,15.10,0.7375,,196,positive
197,Fabrice Adam,"Easy to use. Geolocation sometimes having an accuracy of one km (yes ...), the principle of parking zone codes is well thought out.",4,2020-08-11,15.10,0.7717,,197,positive
200,Grégory,Top. No more worries about small change. Very intuitive app,5,2020-08-07,15.10,0.3016,,200,neutral
202,Le fils De DIEU,Very convenient,5,2020-08-01,15.9,0.0,,202,neutral
204,Maïté Fantasia,"Top app, since I installed it I can't do without it ... even outside Brussels it works very well.",5,2020-08-01,15.9,0.4927,,204,neutral
208,Manuel V,The application does not allow parking for more than 2 hours. I pay the same price for 3h30 of parking through the app as a 24-hour package on the terminal App unfortunately doesn't help me,1,2020-07-18,15.9,-0.6931,,208,negative
211,Marc F.,No need for change. We pay to the nearest cent. Very practical and very economical. Tested in France and Belgium. Great,5,2020-07-17,15.9,0.3612,,211,neutral
212,Rad Ouane,i am mad at this app a real scam. sloppy money trap application. 30euros for 2:22 on July 15 and the icing on the cake a PV that I paid in addition to 15euros to their agency in Metz. nobody listened to have little to go back. I also address to the town hall of Metz 2:22 for a sum of 30euros c is abut du Vol even in Paris have not paid for that. afterwards do not cry if the trade closes in the city center of Metz. do not even know where to go !!,1,2020-07-15,15.9,-0.8036,,212,negative
214,Olivier Rigaux,Very convenient ! No need to search for the terminals!,5,2020-07-10,15.9,-0.4674,,214,neutral
216,iouri clo,"Concern for duration update! By wanting to extend the duration by clicking on the end of time notification, the new duration is not really taken into account! So I parked for 30 minutes without knowing that I was no longer covered by my payment. I'm waiting to see if I got a fine .... Ditto by extending the duration on the app, this is not taken into account! You have to stop the parking lot and make a new one right away.",3,2020-06-29,15.8,-0.4168,,216,neutral
217,Giannino Cuignet,It's frankly not terrible ... A few additional generation BUGs. Automatic deactivation despite programming. Even Qpark did better and yet it is the bottom of the basket ...,1,2020-06-28,15.8,0.6656,,217,positive
220,Marine Gény,"The app was working fine before containment. But now no more notification when you are near the end of parking. And the bad surprise is that now to obtain a simple proof by email in PDF, you have to pay 0.15 € !!! ?? I use this proof to send it to my boss to reimburse my travel expenses, isn't it a bit of theft anyway?",2,2020-06-24,15.7,-0.8184,,220,negative
225,Carmen Boulanger,"I pay for what I consume and it suits me perfectly. No need for change. On the other hand, watch out for the uncharged phone.",5,2020-06-06,15.7,0.7003,,225,positive
226,Damien Faisandier,"Hello, the application was working fine two months ago but an update has changed this: the application no longer gives any end of parking warning !!! So I asked that the application send an SMS to let me know when parking is over if I was not notified by the application. I receive a parking start sms! No use. In short, quickly dive into the problem because it is very very annoying!",2,2020-06-03,15.7,-0.9547,,226,negative
230,Almira Gil,Very convenient,5,2020-05-13,15.5.1,0.0,,230,neutral
232,Thierry Journet,"Very good, but the success of the application would depend above all on it being universal or in any case bcp more usable in bcp more cities. I know it's complicated but this is the top that I have to work on I think. Otherwise very good.",4,2020-04-30,15.5.1,0.9279,,232,positive
235,Abdelhakim,Too bad the option to find an on-street parking space is not available in Brussels.,3,2020-04-26,15.5,-0.5423,,235,negative
239,Emilie C,Very good super easy parking app. To be developed in all cities,4,2020-03-21,15.3,0.8894,,239,positive
246,Marie LEB,"I have been using this application for a year and I find it very practical. No more worrying about how many rooms to put in depending on how long I think I will stay. So not very well. Two caveats: the pricing is not clear at all (no indicative grid) and then my phone has not been able to charge it for 24 hours. I suddenly uninstalled it and reinstalled it three times, nothing to do. Too bad .",4,2020-03-05,15.1,-0.798,,246,negative
247,Géraldine Trabut,Ideal for parking in Bordeaux without worrying about having enough change,5,2020-03-04,15.0,0.6636,,247,positive
249,Sylvie Courant,Very convenient. Modular. No more need for change!,5,2020-02-27,15.0,-0.4129,,249,neutral
256,Edwige Ponsard,Super practical !!! No need to go to the parking meter or look for change.,5,2020-02-19,15.0,0.5538,,256,positive
258,Aurelie Joan,"Application which can be practical but when it is said to work, no indulgence is made and the offender just has the right to pay",1,2020-02-18,14.9,-0.7684,,258,negative
266,Laurent,"An unclear interface on the display of prices, it would be useful to put it in a clear and visible way, not in the same tones as the wallpaper. Result: € 30 for 2h40 of parking in Metz, not in Dubai. The Customer Service can do nothing, neither the town hall, nor indigo which has the delegation of parking service. THANKS EASYPARK, the app is very easy to use to pay. A bad experience.",1,2020-02-03,14.9.1,0.7526,,266,positive
267,Sebele Catherine,No need to worry about having change with you. You can stop parking very quickly and easily if you leave the parking lot before the scheduled time. Ditto if it is necessary to extend the parking lot. Real comfort. Loading the app is very easy. No need to be a geek !!,5,2020-02-03,14.9,-0.3195,,267,neutral
269,Mélanie Deitsch,"Shameful, a craftsman does not have the right to put himself in the status of craftsman, visitor obligation, pay full price for his half-day parking in Metz! Parking is currently prohibited in front of customers' entrances ... As if the break equipment discharges itself from miles away and that it is as light as a feather. We have no choice but to take a taxi to avoid the cost of parking. (The craftsman's daughter) Impossible to extend her parking to more than 3-4 hours, shameful!",1,2020-02-03,14.9.1,-0.8602,,269,negative
274,Benjamin Janicaud,"Very easy to use application and with competent and hyper responsive customer service. Edit 01/31: geolocation now works very well also in Brussels, with indication of the number of parking meters: I therefore definitively adopted the app and I raise the note to 5.",5,2020-01-31,14.9,0.8653,,274,positive
276,10H Video,good application. Too bad there are some bugs like the help page that doesn't work. Some very interesting ideas: - Android auto. This will greatly facilitate its use. - Ability to send suggestions.,3,2020-01-29,14.9.1,0.8357,,276,positive
281,David CARMIGNON,Super efficient! And we just pay for the parking time.,5,2020-01-19,14.6.1,0.7644,,281,positive
282,Koud 10,"Service that revolutionizes parking payment. You can set the duration per minute, extend or stop it while parking and of course remotely from the phone. It's perfect",5,2020-01-17,14.8.1,0.4939,,282,neutral
286,Michel WINGERTER,"It is very practical! Pay per minute, no need for change, possibility to remotely modify the preset parking time.",5,2020-01-12,14.8,-0.4889,,286,neutral
287,Francis M.,What I don't like is that I can't delete my bank details or my account myself.,1,2020-01-11,14.6.1,-0.2755,,287,neutral
288,faa faa,Very good application easy to use,5,2020-01-10,14.6.1,0.7474,,288,positive
289,Jean-Yves Tourbin,I just took a ticket because the application is not open in Strasbourg to your Easypark wallet,1,2020-01-10,13.0,0.0,,289,neutral
