ind,userName,content,rating,date,reviewVersion,compound,sentiment ,Unnamed: 0,sentiment
2,Hélèna Saoudi-Reviron,We should be able to give money back even if the parking is finished,4,2021-08-25,15.25.0,0.0,,2,neutral
16,ktia Brn,"It is a shame for the same vehicle, the same account, the same address, the same email, the same credit card to pay not to receive the same information concerning parking. My husband paid for parking from his cell phone and I paid for mine for the same period because the parking for the same vehicle located in the same place he had paid for was not listed on my cell phone! It would be wise for a census of parking lots by vehicle to be possible ...",1,2021-08-16,15.25.0,0.3595,,16,neutral
20,Evelyne Lambert,"Super simple and intuitive app, great for managing paid parking, no need to know how long you are staying, you can stop before, extend ... I would like to be able to use it in all cities.",5,2021-08-13,15.24.1,0.8316,,20,positive
24,Bruno Marro,"0.20ct. parking, 0.29 charge !! Will plan parts or change the system! Installed, uninstalled immediately!",1,2021-08-09,15.24.1,0.0,,24,neutral
31,Gilles Erard,It's good when you have no change !! Otherwise you have better time to put parts it's much cheaper! Costs of 27 cents in addition to the duration for 5 minutes is theft !! I will uninstall ...,1,2021-08-04,15.24.1,0.6973,,31,positive
35,Lucile Vezzoli,"I have been using this app for several years. It is necessary to check the parking zones on the city parking meters before paying for your parking through the app as there may be errors. Despite the verification of the geolocation, I paid for parking in the ""green zone"" in Bordeaux via the application which turned out to be, according to the plans of the city, a ""red zone"" which led me to have to pay a fine....",1,2021-07-29,15.24.1,-0.25,,35,neutral
44,Thierry Brunet,Convenient for paid are monthly or quarterly parking. They make alerts for you indicating the end of your parking. I recommend.,4,2021-07-19,15.24.0,0.3612,,44,neutral
47,Guy Pyrenebordeaux,I would have liked that we could program the start of the parking lot,4,2021-07-16,15.23.0,0.4215,,47,neutral
66,Sebastien Texier,"Since the last update, I no longer have my parking rights in Bordeaux. I can no longer buy a subscription, change vehicle, or pass 52 ... practical. And impossible to synchronize with the site, well done",1,2021-06-26,15.23.0,-0.3182,,66,neutral
70,Marie Thérèse Wininger,The facility no longer need to look for change !!,5,2021-06-14,15.22.0,-0.4184,,70,neutral
75,Sylvie Sissau,"It's great I recommend easy to use, there is no need to look for parking meter and it's fast.",5,2021-06-08,15.22.0,0.8074,,75,positive
86,Thierry ANTONY,That happiness no need to look for change and keep you informed of the remaining time,5,2021-05-27,15.21.0,0.34,,86,neutral
92,Laurent FELIN,"Well, I wouldn't say that I take pleasure in paying for my parking, but it is true that this application is well designed. This allows you to walk with a light mind and to be able to extend your parking distance if necessary. Nevertheless I would not put 5 stars because the invoicing of the sending of a proof by email or then of an SMS alert, it is still a little abused. In addition, it necessarily works only in places where there is a data network.",3,2021-05-13,15.20.0,0.8438,,92,positive
104,Antonin Rey,"I made a request for parking assistance to the city of Bordeaux which was accepted, but it was impossible to make the link with the application which gives me the visitor rates and not the resident rates. And really I do not understand how to indicate to the application that I am entitled to the resident rates ... Suddenly I pay via the site and not via the application ... Too bad",2,2021-04-19,15.19.0,-0.4854,,104,neutral
106,Amelia Barros,"Excellent esay Park terminals! No need to take out all kinds of parts, or just enter your car number, Everything and into the phone. Plus, at the end of the month, I can print (from my phone) the invoice for my monthly expenses to give to my employer! It suits me 100%",5,2021-04-15,15.19.0,0.5242,,106,positive
107,Léa MORTIER,"Very practical application only I remove a star because there is I think a bug that must be paid attention to. When you want to extend your parking time, wait until it is over to resume one. Otherwise the app charges too much. Example: I had planned until 5:30 p.m., I wanted to anticipate and extend it until 7 p.m., I go up to 30 € (for 4 hours of parking in all). Surprised by the price I waited 5:30 p.m. (so the end) to start over and there, € 2.70 until 7 p.m.",4,2021-04-15,15.19.0,0.3612,,107,neutral
109,Morgan Klein,"I told myself that I was going to test. 1) I had to enter my credit card number from the start. As well as my tel number. 2) I can't find any parking around my home, neither in Paris, nor in Nantes. 3) I find it bad, I uninstall. 4) I told myself that I would have to delete my account to leave my personal data lying around, especially with the databreaches that we often hear about. 5) I type the name EasyPark on google and I come across the site of nacy, strasbourg, belgium, australia, but nothing to delete his account 6) I reinstall the app, and I find in the FAQ that to delete his account must call a 09 ... Really bad!",1,2021-04-11,15.19.0,-0.8117,,109,negative
110,Laura Bgl,"I would like to delete the data of my bank card but impossible ... PS: I am modifying the note, for a quick response from customer service",5,2021-03-26,15.18.0,0.1901,,110,neutral
120,glandchef,"Everything is done so that we get tricked into this application and that we have trouble renewing our parking lot or subscription and if we want to be warned of the imminent renewal, we must pay! No possibility of automatic monthly subscription and the app will take care not to remind you",1,2021-03-01,15.9,-0.5848,,120,negative
140,Trail la Fumana 10km Nancy,"Notice updated following an article in the Republican East: it is the most expensive application on Nancy! Another scam! if you forgot to pay and you do this remotely and in the meantime you have a PV (and even if you come back to the car to check if you have PV, it is still necessary that the person must not forget to put the info on your windshield) and well too bad for you: no recourse possible .... I have no choice to use this application",1,2021-01-05,15.14.1,-0.8695,,140,negative
149,Ludovit Martonyik,"Wow. After paying for my 2 parking lots today, I learned by SMS that I have the ""Standard"" offer which costs 0.29 € more for each parking lot. Of course, you have to deactivate it if I don't want it. I never wanted this standard offer, nor paid for unnecessary additional service. You're welcome for the 2x 0.29 €, I hope it's worth disappointing people for additional turnover! (and thank you for giving me the opportunity to give my first negative review on an app: D)",1,2020-12-16,15.14.1,0.8878,,149,positive
152,Un utilisateur de Google,I do not recommend it for residential subscriptions. They do not count the holidays on subscription. You pay extra days.,1,2020-12-03,15.14.1,-0.571,,152,negative
153,Najoua ABARKI,It would be very convenient to indicate the amount of parking in the history list. This would avoid clicking on each parking lot to have this information knowing that returning to the list systematically puts us at the top of the page (if we had scrolled),4,2020-11-30,15.13.1,-0.1027,,153,neutral
155,Vincent Payrat,"in Brussels I used this application for a few days, and I have already received 2 parking tickets for 3 days of parking, while the people in charge of the application tell me that everything is in order. After 2 months of pressure I was able to be reimbursed for the two PVs. The application is very good and practical, but please make sure that the local services follow the digital transition, otherwise the obstacle course to be reimbursed for their mistakes will nullify its benefits.",4,2020-11-29,15.13.1,0.51,,155,positive
160,V DJ,Very safe ... frankly I am very happy with this application. He quickly finds the location on the map and you can only pay for the actual parking time.,5,2020-11-03,15.12.3,0.7774,,160,positive
161,FM 3331,"Awesome ! This application is really super efficient, it avoids having to find the parking meter and possibly waiting in line. You can also add more time if you need it or stop the time as soon as you have finished. We only pay for what we consume. I highly recommend !",5,2020-10-31,15.12.3,0.909,,161,positive
172,I Andria,I change my note. Following an update I could no longer add my credit card finally I went through Paypal. The application is especially useful when you have no change with you and avoid running to put money back in the parking meter. 😅,5,2020-10-12,15.12.3,0.4005,,172,neutral
177,Ingrid Demaison,"Great, no need for change!",5,2020-09-23,15.11.1,0.4926,,177,neutral
179,Antoinette Vroom,Cannot change plate / add new car. Annoying when renting a car!,1,2020-09-18,15.11.1,-0.4574,,179,neutral
188,Noémie Létrillard,Scam! Take 30 € for 1 hour of parking I do not recommend!,1,2020-09-05,15.11.1,-0.7502,,188,negative
192,Braunbarth Odette,It is a good innovation to pay for real parking ... except for those dizzy who forget to stop it if they leave early compared to the scheduled time! It should stop automatically when the car leaves the location 😊,5,2020-08-25,15.10,0.6114,,192,positive
196,Karine G.,"Super practical and super easy to use. So far I haven't encountered any bugs, no problems. So nickel. I find it great to be able to manage my resident parking lot but also to be able to enter a second vehicle for a one-off parking (that of my mother in this case, who no longer needs to have change when she comes to visit me). 👍👍👍",5,2020-08-15,15.10,0.7375,,196,positive
200,Grégory,Top. No more worries about small change. Very intuitive app,5,2020-08-07,15.10,0.3016,,200,neutral
211,Marc F.,No need for change. We pay to the nearest cent. Very practical and very economical. Tested in France and Belgium. Great,5,2020-07-17,15.9,0.3612,,211,neutral
212,Rad Ouane,i am mad at this app a real scam. sloppy money trap application. 30euros for 2:22 on July 15 and the icing on the cake a PV that I paid in addition to 15euros to their agency in Metz. nobody listened to have little to go back. I also address to the town hall of Metz 2:22 for a sum of 30euros c is abut du Vol even in Paris have not paid for that. afterwards do not cry if the trade closes in the city center of Metz. do not even know where to go !!,1,2020-07-15,15.9,-0.8036,,212,negative
215,Corinne Bouchet,Very practical and easy to use! Save time I highly recommend! 😊,5,2020-07-07,15.8,0.9434,,215,positive
218,Jean Gaëtan Tardino,Excellent and indispensable. Modular at will. We only pay for the time spent in the parking space.,5,2020-06-27,15.8,0.5106,,218,positive
225,Carmen Boulanger,"I pay for what I consume and it suits me perfectly. No need for change. On the other hand, watch out for the uncharged phone.",5,2020-06-06,15.7,0.7003,,225,positive
226,Damien Faisandier,"Hello, the application was working fine two months ago but an update has changed this: the application no longer gives any end of parking warning !!! So I asked that the application send an SMS to let me know when parking is over if I was not notified by the application. I receive a parking start sms! No use. In short, quickly dive into the problem because it is very very annoying!",2,2020-06-03,15.7,-0.9547,,226,negative
228,Loïc Lachiver,"Very practical, I lost a maximum of money without any worries since the deconfinement, having no other choice but to keep my car in Bordeaux. Thank you and long live France",1,2020-05-20,15.5.1,0.3683,,228,neutral
231,Véronique Tinniere,Good application. Easy to use. Much simpler than parking meters. I recommend.,4,2020-05-06,15.5.1,0.8074,,231,positive
