ind,userName,content,rating,date,reviewVersion,compound,sentiment ,Unnamed: 0,sentiment
3,demineur 68414,Very very good 👍,5,2021-08-22,15.24.1,0.5379,,3,positive
6,Nicolas Dupin,"Little interest in the application: Geolocation works poorly, pay attention to the area code when you park. Impossible to extend the parking time, which could have been the only interest of the application. Service charges that increase the cost of parking by 30% compared to paying at the terminal. Lots of points to improve.",1,2021-08-21,15.25.0,0.8445,,6,positive
9,aurélie X,Practical application that really makes parking easier. The fact of seeing the prices by zone is appreciable and the modification of the duration of the parking very easy.,5,2021-08-19,15.25.0,0.7397,,9,positive
13,Myriam Eloir,"Great application to pay for parking in town! Fast, easy and efficient💪✌👌",5,2021-08-18,15.25.0,0.9585,,13,positive
17,Thierry Goffin,Unable to register the parking area. Registered on the terminal and not geolocated.,1,2021-08-16,15.25.0,0.0,,17,neutral
24,Bruno Marro,"0.20ct. parking, 0.29 charge !! Will plan parts or change the system! Installed, uninstalled immediately!",1,2021-08-09,15.24.1,0.0,,24,neutral
25,S. 900,"Super practical. From time to time does not detect the position automatically but hey, it is still a good application!",5,2021-08-08,15.25.0,0.7644,,25,positive
31,Gilles Erard,It's good when you have no change !! Otherwise you have better time to put parts it's much cheaper! Costs of 27 cents in addition to the duration for 5 minutes is theft !! I will uninstall ...,1,2021-08-04,15.24.1,0.6973,,31,positive
32,Vendetta -1994,"Useless yet a success in my country, does not capture parking areas, not functional. A BEAUTIFUL AMATEUR JOB PROBABLY SIGNED BY UBISOFT",1,2021-08-02,15.24.1,-0.4192,,32,neutral
35,Lucile Vezzoli,"I have been using this app for several years. It is necessary to check the parking zones on the city parking meters before paying for your parking through the app as there may be errors. Despite the verification of the geolocation, I paid for parking in the ""green zone"" in Bordeaux via the application which turned out to be, according to the plans of the city, a ""red zone"" which led me to have to pay a fine....",1,2021-07-29,15.24.1,-0.25,,35,neutral
36,Danielle Mazens,Very practical and easy to install and use. Well done !,5,2021-07-28,15.24.1,0.6763,,36,positive
41,L Bou,Very good applications that make life easier believe me,5,2021-07-22,15.24.0,0.7178,,41,positive
44,Thierry Brunet,Convenient for paid are monthly or quarterly parking. They make alerts for you indicating the end of your parking. I recommend.,4,2021-07-19,15.24.0,0.3612,,44,neutral
49,Michael Petitdemange,"Very practical, clear and easy to use, thank you designer ....",5,2021-07-13,15.23.0,0.8062,,49,positive
50,jc jcr,Practical and clear,5,2021-07-13,15.23.0,0.3818,,50,neutral
52,Valérie Jamin,"Nickel, very practical and easy to use",5,2021-07-12,15.23.0,0.4877,,52,neutral
54,Johnny Fleury,"Great app, easy to use.",5,2021-07-12,15.23.0,0.7906,,54,positive
58,marcel Douvier,"Very practical, really comfortable",5,2021-07-09,15.23.0,0.5936,,58,positive
61,Clem L,"Impossible to pay a subscription via PayPal in 2021 but wake up ... Even alone I could make a better designed app, and what about the site ...",1,2021-07-01,15.23.0,0.2846,,61,neutral
64,Paolo Djaneiro,Or the app that charges you for the free period!,1,2021-06-28,15.23.0,0.3595,,64,neutral
65,Tom Ramel,"Bugged application which no longer displays the current rights ... Obliged to go through the website. Already that to impose a private service provider to manage its parking subscriptions is very limited on the part of the city of Bordeaux ... The minimum is that the tool works. Especially considering the racket that one suffers in the event of a fine. Besides, warn 1 week in advance of the end of your subscription and not on D-Day, it's extremely petty!",1,2021-06-27,15.23.0,-0.865,,65,negative
66,Sebastien Texier,"Since the last update, I no longer have my parking rights in Bordeaux. I can no longer buy a subscription, change vehicle, or pass 52 ... practical. And impossible to synchronize with the site, well done",1,2021-06-26,15.23.0,-0.3182,,66,neutral
70,Marie Thérèse Wininger,The facility no longer need to look for change !!,5,2021-06-14,15.22.0,-0.4184,,70,neutral
73,Agnès Coulombel,Very easy to use and very practical,5,2021-06-11,15.22.0,0.4927,,73,neutral
74,Martial Aymon,Simple and easy too bad it doesn't work everywhere,4,2021-06-10,15.22.0,-0.1531,,74,neutral
75,Sylvie Sissau,"It's great I recommend easy to use, there is no need to look for parking meter and it's fast.",5,2021-06-08,15.22.0,0.8074,,75,positive
76,julien,Good evening I want to remove my card is deleted my account what I should do please I needed this application for a day and I want to delete my personal data Regards Julien,1,2021-06-07,15.22.0,0.7003,,76,positive
82,Jérôme ROMPANT,Very good application,5,2021-05-29,15.21.0,0.4927,,82,neutral
86,Thierry ANTONY,That happiness no need to look for change and keep you informed of the remaining time,5,2021-05-27,15.21.0,0.34,,86,neutral
88,Clarisse wananzemigao,"Superb app, easy to use.",5,2021-05-25,15.21.0,0.7906,,88,positive
91,Michel Szczesny,"Nothing to complain about for short-term parking: the app does the job. For residential parking there is a lack of transparency concerning the extensions to take into account public holidays or in the event of confinement: this appears in the rights under a reason ""Extension"" without being notified so we find each other easily to pay for nothing, as I just did (I only understood this by going to Effia)",2,2021-05-16,15.20.0,0.5283,,91,positive
92,Laurent FELIN,"Well, I wouldn't say that I take pleasure in paying for my parking, but it is true that this application is well designed. This allows you to walk with a light mind and to be able to extend your parking distance if necessary. Nevertheless I would not put 5 stars because the invoicing of the sending of a proof by email or then of an SMS alert, it is still a little abused. In addition, it necessarily works only in places where there is a data network.",3,2021-05-13,15.20.0,0.8438,,92,positive
98,Christophe Gasser,Ah ok it's not good just YESPARK greetings,1,2021-05-03,15.20.0,0.3806,,98,neutral
101,Pascal Decorvet,KO app despite update Unable to make this application work (1700 zone 3) since the last update.,1,2021-04-27,15.20.0,0.0,,101,neutral
104,Antonin Rey,"I made a request for parking assistance to the city of Bordeaux which was accepted, but it was impossible to make the link with the application which gives me the visitor rates and not the resident rates. And really I do not understand how to indicate to the application that I am entitled to the resident rates ... Suddenly I pay via the site and not via the application ... Too bad",2,2021-04-19,15.19.0,-0.4854,,104,neutral
106,Amelia Barros,"Excellent esay Park terminals! No need to take out all kinds of parts, or just enter your car number, Everything and into the phone. Plus, at the end of the month, I can print (from my phone) the invoice for my monthly expenses to give to my employer! It suits me 100%",5,2021-04-15,15.19.0,0.5242,,106,positive
