ind,userName,content,rating,date,reviewVersion,compound,sentiment ,Unnamed: 0,sentiment
3,demineur 68414,Very very good 👍,5,2021-08-22,15.24.1,0.5379,,3,positive
4,Jean-Marc Bellefleur,Simple and efficient,5,2021-08-21,15.24.1,0.4215,,4,neutral
12,Maxime CABY,"Very practical, I use it on Metz and it saves me time!",5,2021-08-18,15.25.0,0.0,,12,neutral
21,Estelle Daurat,So convenient!,5,2021-08-13,15.25.0,0.0,,21,neutral
24,Bruno Marro,"0.20ct. parking, 0.29 charge !! Will plan parts or change the system! Installed, uninstalled immediately!",1,2021-08-09,15.24.1,0.0,,24,neutral
25,S. 900,"Super practical. From time to time does not detect the position automatically but hey, it is still a good application!",5,2021-08-08,15.25.0,0.7644,,25,positive
27,Patrick LEGRAND,Very convenient !,5,2021-08-06,15.24.1,0.0,,27,neutral
29,Elly Mayers,"Impossible to extend the duration, the application chooses the time for you !!! Frankly do a few things",2,2021-08-06,15.24.1,0.3769,,29,neutral
31,Gilles Erard,It's good when you have no change !! Otherwise you have better time to put parts it's much cheaper! Costs of 27 cents in addition to the duration for 5 minutes is theft !! I will uninstall ...,1,2021-08-04,15.24.1,0.6973,,31,positive
34,BEAL Jacqueline,"Product which lacks success, the designer has certainly never had to extend his parking lot because the procedure has to be redone and above all to re-register the parking space when of course we are no longer nearby. In short, other very practical applications still do not come close.",3,2021-07-29,15.24.1,0.5239,,34,positive
41,L Bou,Very good applications that make life easier believe me,5,2021-07-22,15.24.0,0.7178,,41,positive
46,Domi Deguilhem,Very convenient to use,5,2021-07-16,15.23.0,0.0,,46,neutral
55,Nathalie Cottron,Very convenient,5,2021-07-12,15.23.0,0.0,,55,neutral
66,Sebastien Texier,"Since the last update, I no longer have my parking rights in Bordeaux. I can no longer buy a subscription, change vehicle, or pass 52 ... practical. And impossible to synchronize with the site, well done",1,2021-06-26,15.23.0,-0.3182,,66,neutral
70,Marie Thérèse Wininger,The facility no longer need to look for change !!,5,2021-06-14,15.22.0,-0.4184,,70,neutral
72,Christophe Foubet,"After choosing the duration of my parking, I have a black page with a message informing me that it is validated, suddenly I do not wait for the rest (no time). But in fact there was no synchronization and I end up with a pv. It is very average. 12 €, it hurts when you're struggling. You have to have time to wait to be sure that everything went well. Optimizations to do.",3,2021-06-11,15.22.0,-0.5023,,72,negative
76,julien,Good evening I want to remove my card is deleted my account what I should do please I needed this application for a day and I want to delete my personal data Regards Julien,1,2021-06-07,15.22.0,0.7003,,76,positive
78,jean-pierre PEYRÉ,Done his job and pretty well. Practical and saves money as soon as you understand how it works. Free the mind but of course do not forget to cut it when getting back in the car.,5,2021-06-03,15.21.0,0.7918,,78,positive
81,Fr. Roethenbacher,Simple to use convenient,5,2021-06-01,15.21.0,0.0,,81,neutral
82,Jérôme ROMPANT,Very good application,5,2021-05-29,15.21.0,0.4927,,82,neutral
85,Daniel Del Risco,Very convenient,5,2021-05-28,15.21.0,0.0,,85,neutral
86,Thierry ANTONY,That happiness no need to look for change and keep you informed of the remaining time,5,2021-05-27,15.21.0,0.34,,86,neutral
90,STEFNELL BRILLET,Very convenient,5,2021-05-18,15.20.0,0.0,,90,neutral
98,Christophe Gasser,Ah ok it's not good just YESPARK greetings,1,2021-05-03,15.20.0,0.3806,,98,neutral
104,Antonin Rey,"I made a request for parking assistance to the city of Bordeaux which was accepted, but it was impossible to make the link with the application which gives me the visitor rates and not the resident rates. And really I do not understand how to indicate to the application that I am entitled to the resident rates ... Suddenly I pay via the site and not via the application ... Too bad",2,2021-04-19,15.19.0,-0.4854,,104,neutral
116,Anne-Marie Fontana,Very convenient,4,2021-03-13,15.18.0,0.0,,116,neutral
118,CHIBROX,Very convenient,5,2021-03-02,15.17.1,0.0,,118,neutral
125,S W.,"I'm not very good with technology so, by wanting to do a price simulation I activated a parking lot. Super poorly explained as an app and in addition I can not delete my cb!",1,2021-02-18,15.16.0_rc2,0.3755,,125,neutral
126,coralie caron,"Unable to access the ""help"" section which opens and closes automatically, how do I get my ticket to put in the car to prove that I have paid?",3,2021-02-18,15.16.0_rc2,0.4019,,126,neutral
132,X Laminux,"If the app does not make with its PayPal payment, I only put 3 stars for the commercial part. I received a referral link but since I had just installed the app before creating my account via the net. In short, I cannot benefit from the 2 euros reduction. But worse, my godfather cannot benefit from his 3 euros. While I could not have them due to my mistake, on the other hand, my godfather had nothing to do with it. So 3 stars.",3,2021-01-23,15.15.1,-0.7643,,132,negative
134,beauté vegetale,"I am having a problem with my payment card expired and when I want to enter the new one, the application tells me that it is inactive, which makes the application unusable. How can I do ?",4,2021-01-11,15.15.1,-0.34,,134,neutral
136,maxloup h,"Hello, I just took a fine when I had half the 30 free minutes and I did not exceed them, how am I going to do when the fine arrives?",3,2021-01-08,15.14.1,0.7096,,136,positive
