ind,userName,content,rating,date,reviewVersion,compound,sentiment ,Unnamed: 0,sentiment
3,demineur 68414,Very very good 👍,5,2021-08-22,15.24.1,0.5379,,3,positive
6,Nicolas Dupin,"Little interest in the application: Geolocation works poorly, pay attention to the area code when you park. Impossible to extend the parking time, which could have been the only interest of the application. Service charges that increase the cost of parking by 30% compared to paying at the terminal. Lots of points to improve.",1,2021-08-21,15.25.0,0.8445,,6,positive
8,Lilou Liz,"Application that really lacks seriousness .. Application that stops parking on its own ... go to a big city like Bordeaux and have to use parking meters because the application does not launch, just nothing.",2,2021-08-20,15.25.0,0.1082,,8,neutral
16,ktia Brn,"It is a shame for the same vehicle, the same account, the same address, the same email, the same credit card to pay not to receive the same information concerning parking. My husband paid for parking from his cell phone and I paid for mine for the same period because the parking for the same vehicle located in the same place he had paid for was not listed on my cell phone! It would be wise for a census of parking lots by vehicle to be possible ...",1,2021-08-16,15.25.0,0.3595,,16,neutral
23,V J,"Before we could know the pricing when we are done, now this is no longer the case ... Result: according to the town hall website I should pay 1 €, with Easypark I have to pay 1 € 70 ... Beautiful scam.",1,2021-08-11,15.24.1,-0.4215,,23,neutral
25,S. 900,"Super practical. From time to time does not detect the position automatically but hey, it is still a good application!",5,2021-08-08,15.25.0,0.7644,,25,positive
29,Elly Mayers,"Impossible to extend the duration, the application chooses the time for you !!! Frankly do a few things",2,2021-08-06,15.24.1,0.3769,,29,neutral
31,Gilles Erard,It's good when you have no change !! Otherwise you have better time to put parts it's much cheaper! Costs of 27 cents in addition to the duration for 5 minutes is theft !! I will uninstall ...,1,2021-08-04,15.24.1,0.6973,,31,positive
34,BEAL Jacqueline,"Product which lacks success, the designer has certainly never had to extend his parking lot because the procedure has to be redone and above all to re-register the parking space when of course we are no longer nearby. In short, other very practical applications still do not come close.",3,2021-07-29,15.24.1,0.5239,,34,positive
35,Lucile Vezzoli,"I have been using this app for several years. It is necessary to check the parking zones on the city parking meters before paying for your parking through the app as there may be errors. Despite the verification of the geolocation, I paid for parking in the ""green zone"" in Bordeaux via the application which turned out to be, according to the plans of the city, a ""red zone"" which led me to have to pay a fine....",1,2021-07-29,15.24.1,-0.25,,35,neutral
41,L Bou,Very good applications that make life easier believe me,5,2021-07-22,15.24.0,0.7178,,41,positive
47,Guy Pyrenebordeaux,I would have liked that we could program the start of the parking lot,4,2021-07-16,15.23.0,0.4215,,47,neutral
66,Sebastien Texier,"Since the last update, I no longer have my parking rights in Bordeaux. I can no longer buy a subscription, change vehicle, or pass 52 ... practical. And impossible to synchronize with the site, well done",1,2021-06-26,15.23.0,-0.3182,,66,neutral
69,Cyrille Thomas,You have to pay for parking spaces but as much as that is practical.,5,2021-06-16,15.22.0,-0.0516,,69,neutral
72,Christophe Foubet,"After choosing the duration of my parking, I have a black page with a message informing me that it is validated, suddenly I do not wait for the rest (no time). But in fact there was no synchronization and I end up with a pv. It is very average. 12 €, it hurts when you're struggling. You have to have time to wait to be sure that everything went well. Optimizations to do.",3,2021-06-11,15.22.0,-0.5023,,72,negative
76,julien,Good evening I want to remove my card is deleted my account what I should do please I needed this application for a day and I want to delete my personal data Regards Julien,1,2021-06-07,15.22.0,0.7003,,76,positive
77,Barbara DE MAESTRI,"No synchronization of rights between the website and the app. What is this application for when you are a resident apart from knowing our position in real time? ... NB: no need to invite me to contact customer service, I understood that you had a synchronization and broadcasting problem information 😉",1,2021-06-06,15.22.0,-0.6705,,77,negative
78,jean-pierre PEYRÉ,Done his job and pretty well. Practical and saves money as soon as you understand how it works. Free the mind but of course do not forget to cut it when getting back in the car.,5,2021-06-03,15.21.0,0.7918,,78,positive
79,nicolas mahieux,"On the website my vehicle does have a resident right, on the application no. So not possible to park my vehicle ... in general, the application is not as intuitive as one might expect in 2021. They stayed 5 years in the past :(",1,2021-06-02,15.21.0,-0.4404,,79,neutral
82,Jérôme ROMPANT,Very good application,5,2021-05-29,15.21.0,0.4927,,82,neutral
89,Renald Delorme,At least we just always have the price it's great,5,2021-05-19,15.20.0,0.6249,,89,positive
98,Christophe Gasser,Ah ok it's not good just YESPARK greetings,1,2021-05-03,15.20.0,0.3806,,98,neutral
104,Antonin Rey,"I made a request for parking assistance to the city of Bordeaux which was accepted, but it was impossible to make the link with the application which gives me the visitor rates and not the resident rates. And really I do not understand how to indicate to the application that I am entitled to the resident rates ... Suddenly I pay via the site and not via the application ... Too bad",2,2021-04-19,15.19.0,-0.4854,,104,neutral
105,Dani Libanon,So bad experience. Infraction ticket. With Parking payment !!!!!,1,2021-04-17,15.19.0,-0.715,,105,negative
106,Amelia Barros,"Excellent esay Park terminals! No need to take out all kinds of parts, or just enter your car number, Everything and into the phone. Plus, at the end of the month, I can print (from my phone) the invoice for my monthly expenses to give to my employer! It suits me 100%",5,2021-04-15,15.19.0,0.5242,,106,positive
109,Morgan Klein,"I told myself that I was going to test. 1) I had to enter my credit card number from the start. As well as my tel number. 2) I can't find any parking around my home, neither in Paris, nor in Nantes. 3) I find it bad, I uninstall. 4) I told myself that I would have to delete my account to leave my personal data lying around, especially with the databreaches that we often hear about. 5) I type the name EasyPark on google and I come across the site of nacy, strasbourg, belgium, australia, but nothing to delete his account 6) I reinstall the app, and I find in the FAQ that to delete his account must call a 09 ... Really bad!",1,2021-04-11,15.19.0,-0.8117,,109,negative
112,edouard B,"Descent to 1 star After having received your customer service. Thank you for your response, but after undergoing your customer service. As well as the lack of seriousness of your platform. I have lost all confidence in your service as well as my business. The procedure is long and time consuming. Despite the payment via your application, when I took a fine on 03/15 fps € 30 in Metz I am still waiting for the receipt (already more than 24 hours) to be able to contest it (received on 03/17 after insisting) Flee",1,2021-03-17,15.18.0,0.7579,,112,positive
120,glandchef,"Everything is done so that we get tricked into this application and that we have trouble renewing our parking lot or subscription and if we want to be warned of the imminent renewal, we must pay! No possibility of automatic monthly subscription and the app will take care not to remind you",1,2021-03-01,15.9,-0.5848,,120,negative
121,Olivier le bouil,The app tells me that I have no current rights or parking even though I have a valid annual subscription!,1,2021-02-26,15.17.1,-0.3595,,121,neutral
