ind,userName,content,rating,date,reviewVersion,compound,sentiment ,Unnamed: 0,sentiment
0,Tero,Simple application. You can't do your job better anymore.,5,2021-10-08,5.37,0.4404,neutral,,
7,Neea Hammarén,works well and wherever I myself have been. I think that the monthly billing left and now every time the payment goes.,4,2021-09-07,5.36,0.2732,neutral,,
8,Japixx,"Shit, after the upgrade, it won't work anymore and you won't be able to insert the card",1,2021-09-02,5.36,-0.5574,negative,,
14,Kalevi Kolehmainen,Works if you install the app in the area of ​​Wi-Fi connected to your phone. A practical experiment in the area of ​​a good telephone network has yet to be done.,4,2021-08-04,5.35,0.4404,neutral,,
18,Joni Kuikka,Really easy and convenient,5,2021-07-16,5.34,0.4927,neutral,,
22,Asiantuntija Mäki,"After the upgrade handrail, unable to log in to the account",1,2021-07-13,5.34,0.0,neutral,,
23,Henri,"BUGINEN! This was so awkward to make that work! Required 5 text with verification codes and ID password reset on top to get ahead. Of course, the problems did not stay there, but the terms had to be accepted about 10 times to get open. The right of the location also had to be manually turned on to turn on the settings. When these were ok, I couldn't even put it in the park the next morning due to the 4h limit. Fortunately, there was extra time to adjust, and eventually EasyPark opened and had the car parked.",2,2021-07-13,5.34,0.3018,neutral,,
26,Niko Lappalainen,"Before it worked well, now it crashes constantly and I don’t get stopped parking.",2,2021-07-07,5.33,0.0516,neutral,,
29,Kiiki Sario,"Katuukaatuu .. Edit. Can you put an email address where to put a message. Not playing. Also didn’t turn off the parking, even though I tried many times, and also removed the app right after I put that previous message.",2,2021-07-06,,-0.1511,neutral,,
35,Heli 74,"Before it worked well, today no parking lot or in this case the parking lot did not see from my own device that I had paid for parking. Luckily I was there and I was able to show the receipt that has been paid, otherwise there would have been a ticket in the window ... So this in Turku Bus station parking lot!",2,2021-06-08,5.32,0.5411,positive,,
36,Johanna Tähtinen,"Does not work at all, always reports a network error. It doesn't help even if the internet restarts and forces the application to close. Before, work flawlessly and easily.",1,2021-06-08,5.32,-0.1921,neutral,,
38,Raija Lehtonen,Punches badly. Poke for a week and no one answers emails or phone calls.,1,2021-06-08,5.32,-0.6486,negative,,
41,Inkeri Haulos,Easy help with parking.,4,2021-05-21,5.31,0.6808,positive,,
44,Anna Heiskanen,The application is convenient and easy to use.,5,2021-05-15,5.31,0.4404,neutral,,
45,Harry Intonen,"With the latest update, the app picks up really badly, I parked the car for probably 3-5 minutes, when usually it has taken max. 1min .. I also have to find the exact location myself, the app does not target the location. Yes, it shows the location, but does not agree to target it. 🤔",2,2021-05-15,5.31,-0.4609,neutral,,
48,Paula,Easy and good!,5,2021-04-22,5.29,0.7263,positive,,
49,Reijo Falenius,I would give less than a star because the program bucks on Android and doesn’t let me add a car.,1,2021-04-18,5.29,0.0,neutral,,
50,aqu agu,"Now end the use of the parkman when you don't find a place where you are and suggest adjacent parking spaces from the ""list"", even if you find the right parking space, it is not accepted. Sometimes it might work quite well.",1,2021-04-15,5.29,0.1479,neutral,,
52,Juha Takanen,good,1,2021-03-25,5.29,0.4404,neutral,,
54,FN MTL HD,Tricky to deploy. Punches. EasyPark is much better.,1,2021-03-10,,0.3182,neutral,,
57,Timo Neuvonen,"The parking fee works - at least for now. I don't know why the app has started verifying phone number verification, but it is NOT working. The text will come, from which the code reading will not work automatically. Manually entering the code will complain about the wrong code. ~ 5 times after I got bored. Encode that to work before you have to use that phone number.",3,2021-03-08,5.28,-0.8573,negative,,
59,Bekim Behrami,really good and simple to use,5,2021-02-25,5.27,0.4927,neutral,,
60,Jukka L,"Quite OK. Now, just with every opening, you want a phone number that you don’t need for anything. I don't want to give the number for advertising purposes. If the number query does not end, then you must stop using this one.",2,2021-02-20,5.27,-0.0572,neutral,,
