ind,userName,content,rating,date,reviewVersion,compound,sentiment ,Unnamed: 0,sentiment
7,Neea Hammarén,works well and wherever I myself have been. I think that the monthly billing left and now every time the payment goes.,4,2021-09-07,5.36,0.2732,neutral,,
9,T G,"Installation from Google Play does not work. The installation chain goes Install-Installed, but where is the Open button? There will be no button with the parkman App logo in the menus. That is, not installed though so claims ...",1,2021-08-24,,-0.2732,neutral,,
32,Markku Impiö,The new Parkman will spam you with a receipt email for each parking.,1,2021-06-25,5.32,-0.3612,neutral,,
33,Pekka Jokinen,"After replacing the handset, the application cannot be updated / account re-enabled. Goes to the txt loop and after a while reports too many attempts to log in ""try again after 59min"". Until then, I own a fine or exchange. another parking app. I will choose the last one.",1,2021-06-17,5.32,0.2023,neutral,,
35,Heli 74,"Before it worked well, today no parking lot or in this case the parking lot did not see from my own device that I had paid for parking. Luckily I was there and I was able to show the receipt that has been paid, otherwise there would have been a ticket in the window ... So this in Turku Bus station parking lot!",2,2021-06-08,5.32,0.5411,positive,,
43,Johan Niemimäki,"For this pskan application I received fines of € 500 in total although always put on parking. For example, on Monday I parked and on Thursday I will come back in a glass 3x50 € fine and transfer request. Then when the app is opened then no receipt or proof of parking can be found to prove that there is parked and confirmed parking. In a nutshell: It doesn't work then and the very amazing pska is explained when you ask what. I WILL NOT RECOMMEND TO ANYONE",1,2021-05-17,5.31,0.2595,neutral,,
47,Christer vonGross,"The charge will not work even if all the settings are correct, check that your settings are correct you cannot blame the customer as you do now.",2,2021-05-07,5.30,0.2584,neutral,,
49,Reijo Falenius,I would give less than a star because the program bucks on Android and doesn’t let me add a car.,1,2021-04-18,5.29,0.0,neutral,,
57,Timo Neuvonen,"The parking fee works - at least for now. I don't know why the app has started verifying phone number verification, but it is NOT working. The text will come, from which the code reading will not work automatically. Manually entering the code will complain about the wrong code. ~ 5 times after I got bored. Encode that to work before you have to use that phone number.",3,2021-03-08,5.28,-0.8573,negative,,
60,Jukka L,"Quite OK. Now, just with every opening, you want a phone number that you don’t need for anything. I don't want to give the number for advertising purposes. If the number query does not end, then you must stop using this one.",2,2021-02-20,5.27,-0.0572,neutral,,
