ind,userName,content,rating,date,reviewVersion,compound,sentiment ,Unnamed: 0,sentiment
0,Tero,Simple application. You can't do your job better anymore.,5,2021-10-08,5.37,0.4404,neutral,,
2,Rolf Rönnholm,Had to get a € 10 discount when checking in ... I didn't get it!,1,2021-09-23,5.37,0.0,neutral,,
3,Risto Koskela,Great and easy to use. Receipts nice if you need them,5,2021-09-20,5.37,0.8689,positive,,
8,Japixx,"Shit, after the upgrade, it won't work anymore and you won't be able to insert the card",1,2021-09-02,5.36,-0.5574,negative,,
14,Kalevi Kolehmainen,Works if you install the app in the area of ​​Wi-Fi connected to your phone. A practical experiment in the area of ​​a good telephone network has yet to be done.,4,2021-08-04,5.35,0.4404,neutral,,
17,Mika Hakola,Thanks for the parking fines. If different areas on the street cannot be put in the correct area automatically. Must visit to check the ticket machine area itself. Useless appi.,1,2021-07-23,5.34,0.0258,neutral,,
18,Joni Kuikka,Really easy and convenient,5,2021-07-16,5.34,0.4927,neutral,,
21,Anne Aromaa,Reliable and clear. :),5,2021-07-13,5.34,0.6808,positive,,
22,Asiantuntija Mäki,"After the upgrade handrail, unable to log in to the account",1,2021-07-13,5.34,0.0,neutral,,
23,Henri,"BUGINEN! This was so awkward to make that work! Required 5 text with verification codes and ID password reset on top to get ahead. Of course, the problems did not stay there, but the terms had to be accepted about 10 times to get open. The right of the location also had to be manually turned on to turn on the settings. When these were ok, I couldn't even put it in the park the next morning due to the 4h limit. Fortunately, there was extra time to adjust, and eventually EasyPark opened and had the car parked.",2,2021-07-13,5.34,0.3018,neutral,,
24,Ilmari Lappalainen,The application is in an endless license approval hub,1,2021-07-09,5.32,0.4767,neutral,,
26,Niko Lappalainen,"Before it worked well, now it crashes constantly and I don’t get stopped parking.",2,2021-07-07,5.33,0.0516,neutral,,
35,Heli 74,"Before it worked well, today no parking lot or in this case the parking lot did not see from my own device that I had paid for parking. Luckily I was there and I was able to show the receipt that has been paid, otherwise there would have been a ticket in the window ... So this in Turku Bus station parking lot!",2,2021-06-08,5.32,0.5411,positive,,
36,Johanna Tähtinen,"Does not work at all, always reports a network error. It doesn't help even if the internet restarts and forces the application to close. Before, work flawlessly and easily.",1,2021-06-08,5.32,-0.1921,neutral,,
41,Inkeri Haulos,Easy help with parking.,4,2021-05-21,5.31,0.6808,positive,,
42,Saaga,Easy and fast!,5,2021-05-21,5.31,0.4926,neutral,,
43,Johan Niemimäki,"For this pskan application I received fines of € 500 in total although always put on parking. For example, on Monday I parked and on Thursday I will come back in a glass 3x50 € fine and transfer request. Then when the app is opened then no receipt or proof of parking can be found to prove that there is parked and confirmed parking. In a nutshell: It doesn't work then and the very amazing pska is explained when you ask what. I WILL NOT RECOMMEND TO ANYONE",1,2021-05-17,5.31,0.2595,neutral,,
44,Anna Heiskanen,The application is convenient and easy to use.,5,2021-05-15,5.31,0.4404,neutral,,
47,Christer vonGross,"The charge will not work even if all the settings are correct, check that your settings are correct you cannot blame the customer as you do now.",2,2021-05-07,5.30,0.2584,neutral,,
48,Paula,Easy and good!,5,2021-04-22,5.29,0.7263,positive,,
52,Juha Takanen,good,1,2021-03-25,5.29,0.4404,neutral,,
53,Jarmo Aavikko,Works and easy to use. Handy.,5,2021-03-23,5.29,0.4404,neutral,,
54,FN MTL HD,Tricky to deploy. Punches. EasyPark is much better.,1,2021-03-10,,0.3182,neutral,,
59,Bekim Behrami,really good and simple to use,5,2021-02-25,5.27,0.4927,neutral,,
64,Markus Rantanen,Bad app. Once a day a new update and time goes into updating the car when SHOULD put a quick parking time. Faster even in cash to pay at the vending machine.,1,2021-02-11,5.27,-0.5994,negative,,
70,Mika Kukkonen,"Now after the upgrade, a new card was successfully added.",4,2020-12-31,5.19,0.4939,neutral,,
73,Ole Kinnunen,Surprisingly good and easy. Accelerates and facilitates transactions in stone foot shops. Also saves on parking error fees 😷,5,2020-12-22,5.15,0.6486,positive,,
74,Terhi Ahonen,"Easy, clear, fast and affordable",5,2020-12-15,4.94,0.6705,positive,,
