ind,userName,content,rating,date,reviewVersion,compound,sentiment ,Unnamed: 0,sentiment
0,Tero,Simple application. You can't do your job better anymore.,5,2021-10-08,5.37,0.4404,neutral,,
4,Maija Hintsala,Great app! You don't have to pay in vain.,5,2021-09-17,5.36,0.4382,neutral,,
7,Neea Hammarén,works well and wherever I myself have been. I think that the monthly billing left and now every time the payment goes.,4,2021-09-07,5.36,0.2732,neutral,,
14,Kalevi Kolehmainen,Works if you install the app in the area of ​​Wi-Fi connected to your phone. A practical experiment in the area of ​​a good telephone network has yet to be done.,4,2021-08-04,5.35,0.4404,neutral,,
15,Risto Koivunen,"Not even creating an account was successful. 5 attempts to enter a verification code received as a text message, but failed, was claimed to be incorrect even though it was guaranteed to be correct. The attempts were enough for me and the app got evicted from my phone.",1,2021-08-01,5.35,-0.5414,negative,,
17,Mika Hakola,Thanks for the parking fines. If different areas on the street cannot be put in the correct area automatically. Must visit to check the ticket machine area itself. Useless appi.,1,2021-07-23,5.34,0.0258,neutral,,
23,Henri,"BUGINEN! This was so awkward to make that work! Required 5 text with verification codes and ID password reset on top to get ahead. Of course, the problems did not stay there, but the terms had to be accepted about 10 times to get open. The right of the location also had to be manually turned on to turn on the settings. When these were ok, I couldn't even put it in the park the next morning due to the 4h limit. Fortunately, there was extra time to adjust, and eventually EasyPark opened and had the car parked.",2,2021-07-13,5.34,0.3018,neutral,,
24,Ilmari Lappalainen,The application is in an endless license approval hub,1,2021-07-09,5.32,0.4767,neutral,,
29,Kiiki Sario,"Katuukaatuu .. Edit. Can you put an email address where to put a message. Not playing. Also didn’t turn off the parking, even though I tried many times, and also removed the app right after I put that previous message.",2,2021-07-06,,-0.1511,neutral,,
30,Jukka Kääriäinen,Can't sign in to the app because the code in the text message is incorrect?,1,2021-07-04,5.32,0.0,neutral,,
35,Heli 74,"Before it worked well, today no parking lot or in this case the parking lot did not see from my own device that I had paid for parking. Luckily I was there and I was able to show the receipt that has been paid, otherwise there would have been a ticket in the window ... So this in Turku Bus station parking lot!",2,2021-06-08,5.32,0.5411,positive,,
38,Raija Lehtonen,Punches badly. Poke for a week and no one answers emails or phone calls.,1,2021-06-08,5.32,-0.6486,negative,,
43,Johan Niemimäki,"For this pskan application I received fines of € 500 in total although always put on parking. For example, on Monday I parked and on Thursday I will come back in a glass 3x50 € fine and transfer request. Then when the app is opened then no receipt or proof of parking can be found to prove that there is parked and confirmed parking. In a nutshell: It doesn't work then and the very amazing pska is explained when you ask what. I WILL NOT RECOMMEND TO ANYONE",1,2021-05-17,5.31,0.2595,neutral,,
45,Harry Intonen,"With the latest update, the app picks up really badly, I parked the car for probably 3-5 minutes, when usually it has taken max. 1min .. I also have to find the exact location myself, the app does not target the location. Yes, it shows the location, but does not agree to target it. 🤔",2,2021-05-15,5.31,-0.4609,neutral,,
