ind;userName;content;rating;date;reviewVersion;compund;sentiment
3;demineur 68414;Very very good 👍;5;2021-08-22;15.24.1;0.5379;positive
6;Nicolas Dupin;Little interest in the application: Geolocation works poorly, pay attention to the area code when you park. Impossible to extend the parking time, which could have been the only interest of the application. Service charges that increase the cost of parking by 30% compared to paying at the terminal. Lots of points to improve.;1;2021-08-21;15.25.0;0.8445;positive
9;aurélie X;Practical application that really makes parking easier. The fact of seeing the prices by zone is appreciable and the modification of the duration of the parking very easy.;5;2021-08-19;15.25.0;0.7397;positive
10;Bakary Christopher;Awesome! Easy to use and at least we pay for what we consume!;5;2021-08-19;15.25.0;0.8011;positive
13;Myriam Eloir;Great application to pay for parking in town! Fast, easy and efficient💪✌👌;5;2021-08-18;15.25.0;0.9585;positive
14;Jacky Ouzzan;Very pleasant and reassuring;5;2021-08-18;15.25.0;0.762;positive
15;Eva Seghari;Best payment app for parking. Easy to use, possibility of extending or reducing your parking time in one click.;5;2021-08-17;15.25.0;0.7964;positive
18;Guy Etienne;Great app;5;2021-08-16;15.25.0;0.6249;positive
19;Galaxie Artemire;Super practical;5;2021-08-14;15.25.0;0.5994;positive
20;Evelyne Lambert;Super simple and intuitive app, great for managing paid parking, no need to know how long you are staying, you can stop before, extend ... I would like to be able to use it in all cities.;5;2021-08-13;15.24.1;0.8316;positive
25;S. 900;Super practical. From time to time does not detect the position automatically but hey, it is still a good application!;5;2021-08-08;15.25.0;0.7644;positive
31;Gilles Erard;It's good when you have no change !! Otherwise you have better time to put parts it's much cheaper! Costs of 27 cents in addition to the duration for 5 minutes is theft !! I will uninstall ...;1;2021-08-04;15.24.1;0.6973;positive
34;BEAL Jacqueline;Product which lacks success, the designer has certainly never had to extend his parking lot because the procedure has to be redone and above all to re-register the parking space when of course we are no longer nearby. In short, other very practical applications still do not come close.;3;2021-07-29;15.24.1;0.5239;positive
36;Danielle Mazens;Very practical and easy to install and use. Well done !;5;2021-07-28;15.24.1;0.6763;positive
37;Fred;I can't even register my card. suspected of fraud. We swim in full delirium;1;2021-07-26;15.24.1;-0.6908;negative
38;Philippe Galante;Excellent;5;2021-07-24;15.24.1;0.5719;positive
41;L Bou;Very good applications that make life easier believe me;5;2021-07-22;15.24.0;0.7178;positive
43;Denis Grao;I love no more worries of money payment at the fair price thank you;5;2021-07-19;15.24.0;0.8564;positive
45;Lucile Pentecoste;Super Convenient!;5;2021-07-16;15.18.0;0.636;positive
48;Laurent NICOLAS;Easy to use application but the application lacks the ability to locate nearby places where you can park.;4;2021-07-15;15.24.0;0.5994;positive
49;Michael Petitdemange;Very practical, clear and easy to use, thank you designer ....;5;2021-07-13;15.23.0;0.8062;positive
54;Johnny Fleury;Great app, easy to use.;5;2021-07-12;15.23.0;0.7906;positive
56;Xavier Meaux;I love;5;2021-07-12;15.21.0;0.6369;positive
58;marcel Douvier;Very practical, really comfortable;5;2021-07-09;15.23.0;0.5936;positive
59;Louis GOTLAND;Awesome;5;2021-07-08;15.23.0;0.6249;positive
62;stef Prieur;After downloading the application, then locate my parking lot. Pay 2.9 € on site. I received a fine of 22 € because I was not in the correct parking zone ???? So the application is wrong and it's my fault !!!! I put the note of 1 star because I can not put below !!;1;2021-06-29;15.23.0;-0.819;negative
65;Tom Ramel;Bugged application which no longer displays the current rights ... Obliged to go through the website. Already that to impose a private service provider to manage its parking subscriptions is very limited on the part of the city of Bordeaux ... The minimum is that the tool works. Especially considering the racket that one suffers in the event of a fine. Besides, warn 1 week in advance of the end of your subscription and not on D-Day, it's extremely petty!;1;2021-06-27;15.23.0;-0.865;negative
68;Mehdy Maharrar;Very bad and complicated very bad compared to PaybyPhone;1;2021-06-21;15.22.0;-0.8218;negative
72;Christophe Foubet;After choosing the duration of my parking, I have a black page with a message informing me that it is validated, suddenly I do not wait for the rest (no time). But in fact there was no synchronization and I end up with a pv. It is very average. 12 €, it hurts when you're struggling. You have to have time to wait to be sure that everything went well. Optimizations to do.;3;2021-06-11;15.22.0;-0.5023;negative
75;Sylvie Sissau;It's great I recommend easy to use, there is no need to look for parking meter and it's fast.;5;2021-06-08;15.22.0;0.8074;positive
76;julien;Good evening I want to remove my card is deleted my account what I should do please I needed this application for a day and I want to delete my personal data Regards Julien;1;2021-06-07;15.22.0;0.7003;positive
77;Barbara DE MAESTRI;No synchronization of rights between the website and the app. What is this application for when you are a resident apart from knowing our position in real time? ... NB: no need to invite me to contact customer service, I understood that you had a synchronization and broadcasting problem information 😉;1;2021-06-06;15.22.0;-0.6705;negative
78;jean-pierre PEYRÉ;Done his job and pretty well. Practical and saves money as soon as you understand how it works. Free the mind but of course do not forget to cut it when getting back in the car.;5;2021-06-03;15.21.0;0.7918;positive
80;Vanessa Landais;Perfect;5;2021-06-01;15.21.0;0.5719;positive
83;Jean-Marc Gay;Excellent;5;2021-05-28;15.21.0;0.5719;positive
88;Clarisse wananzemigao;Superb app, easy to use.;5;2021-05-25;15.21.0;0.7906;positive
89;Renald Delorme;At least we just always have the price it's great;5;2021-05-19;15.20.0;0.6249;positive
91;Michel Szczesny;Nothing to complain about for short-term parking: the app does the job. For residential parking there is a lack of transparency concerning the extensions to take into account public holidays or in the event of confinement: this appears in the rights under a reason "Extension" without being notified so we find each other easily to pay for nothing, as I just did (I only understood this by going to Effia);2;2021-05-16;15.20.0;0.5283;positive
