ind;userName;content;rating;date;reviewVersion;compund;sentiment
3;Risto Koskela;Great and easy to use. Receipts nice if you need them;5;2021-09-20;5.37;0.8689;positive
8;Japixx;Shit, after the upgrade, it won't work anymore and you won't be able to insert the card;1;2021-09-02;5.36;-0.5574;negative
15;Risto Koivunen;Not even creating an account was successful. 5 attempts to enter a verification code received as a text message, but failed, was claimed to be incorrect even though it was guaranteed to be correct. The attempts were enough for me and the app got evicted from my phone.;1;2021-08-01;5.35;-0.5414;negative
16;Timo Heikkinen;Absolutely awesome ...;5;2021-07-30;5.35;0.659;positive
21;Anne Aromaa;Reliable and clear. :);5;2021-07-13;5.34;0.6808;positive
31;Ismo Nurmi;There came nothing about parking. Really confusing deployment. Fortunately, it was able to choose a competitor, Easypark, when this failed.;1;2021-07-02;nan;-0.7243;negative
35;Heli 74;Before it worked well, today no parking lot or in this case the parking lot did not see from my own device that I had paid for parking. Luckily I was there and I was able to show the receipt that has been paid, otherwise there would have been a ticket in the window ... So this in Turku Bus station parking lot!;2;2021-06-08;5.32;0.5411;positive
38;Raija Lehtonen;Punches badly. Poke for a week and no one answers emails or phone calls.;1;2021-06-08;5.32;-0.6486;negative
41;Inkeri Haulos;Easy help with parking.;4;2021-05-21;5.31;0.6808;positive
48;Paula;Easy and good!;5;2021-04-22;5.29;0.7263;positive
51;Paavo Sutela;Glorious;5;2021-03-25;4.88;0.6369;positive
57;Timo Neuvonen;The parking fee works - at least for now. I don't know why the app has started verifying phone number verification, but it is NOT working. The text will come, from which the code reading will not work automatically. Manually entering the code will complain about the wrong code. ~ 5 times after I got bored. Encode that to work before you have to use that phone number.;3;2021-03-08;5.28;-0.8573;negative
61;Ruth Lehikoinen;Occasionally buggy and waste in the middle of the interrupted parking, however, mostly functional;4;2021-02-19;5.27;-0.577;negative
64;Markus Rantanen;Bad app. Once a day a new update and time goes into updating the car when SHOULD put a quick parking time. Faster even in cash to pay at the vending machine.;1;2021-02-11;5.27;-0.5994;negative
65;Taesbil;Find great parking spaces, and count only on the time actually parked. Easy to use.;5;2021-02-02;5.26;0.7906;positive
71;Juha Kallio;great app.;4;2020-12-29;5.16;0.6249;positive
72;Kukka Kukkalaaraa;Does not accept any of the three certainly working cards. Does not inspire confidence in how card information is handled. I deleted.;1;2020-12-28;5.17;-0.6688;negative
73;Ole Kinnunen;Surprisingly good and easy. Accelerates and facilitates transactions in stone foot shops. Also saves on parking error fees 😷;5;2020-12-22;5.15;0.6486;positive
74;Terhi Ahonen;Easy, clear, fast and affordable;5;2020-12-15;4.94;0.6705;positive
75;Tuuli Kiviniemi;I have had the app installed for a few beds and I have been happy, but now my text message said that you have not been able to charge my account. The validity of my debit card was updated at the turn of the month, but the number remained the same. What is your problem? The phone number in the contacts is not in use! I would like to continue using Park mania, but how do I get in touch to resolve a debit card issue? Tuuli Kiviniemi IJR-782;2;2020-12-02;5.12;0.7907;positive
76;Jukka Raulamo;Easy and fast. Reliable. Automatic parking termination is a really good feature.;5;2020-11-30;5.11;0.7264;positive
78;Erkki Yrjänäinen;Really easy 😄;5;2020-11-17;5.06;0.839;positive
81;Altezza AS300;after the update the app crashes when trying to park. great 👍;1;2020-11-06;5.09;0.6249;positive
82;Teemu Nikkanen;Awesome help! 👍👍👍;5;2020-11-03;5.09;0.7959;positive
85;Noora Sofi;It's convenient! No more looking for coins and ramping in the parking machine👌🏼;5;2020-10-29;5.09;0.6399;positive
88;Timo rauhaniemi;Win coins 100-0;5;2020-10-22;nan;0.5859;positive
89;Katariina;The best parking app 👌;5;2020-10-21;5.08;0.8842;positive
91;Riitta Xxx;The best. Easy to use.;5;2020-10-16;5.08;0.7964;positive
94;marina muhonen;Every time I park my car in a paid spot, the program starts updating itself again. Had to wait in the car before it works again. What exactly is this? That’s the second time in two weeks. Stupid. Just when there is a lot of hurry.;2;2020-10-13;5.07;-0.5267;negative
95;Juha Haatainen;Works really well. Even I could ssnoa that easy to park better. Lighter at least. I recommend;5;2020-10-13;5.07;0.8655;positive
97;Eerika Hietamies;A good and easy to use app!;5;2020-10-07;5.08;0.7263;positive
103;Tuuli Alander;By the way jees but promo codes don't work no matter how you try js described in free parks. miracle urination.;3;2020-09-25;5.06;0.8941;positive
109;Altti;Phone number verification is completely broken. The code comes with a text message as it should, but the review thinks the code is wrong. How can the code be wrong if it just came with a message? I tried several times, but the problem recurred every time.;2;2020-08-17;5.06;-0.9312;negative
111;Fred Rosbäck;Easy!!;5;2020-08-14;5.06;0.5399;positive
113;Leena Palmu-Aalto;Easy and clear.;5;2020-08-12;5.06;0.6705;positive
116;Anne Sairanen;Easy and comfortable to use;5;2020-08-04;5.06;0.7351;positive
117;Hanne Muurinen;The app has always worked flawlessly, is easy to use, changes to your car truck or card information are easy to make and a monthly receipt for email is a good thing. Mainly annoying that the PM doesn’t work / goes everywhere / every Park in my city and because of this has come a couple of parking fines.;4;2020-08-01;5.06;0.7783;positive
118;Joni Kemppainen;I only downloaded this because of the free Linnanmäki Park, which was attached to a parking pole as an advertisement. I redeemed this "free Park" and in a month there will be a text message that the park has not been paid. Now then you should pay 15e for free parking. Pretty ridiculous;1;2020-08-01;5.06;0.9197;positive
120;Martti Myllyntaus;The best parking app.;5;2020-07-18;5.06;0.6369;positive
130;ULLA LOJANDER;Good and affordable thank you. Happy summer!;4;2020-06-23;5.05;0.8553;positive
133;Reeta Aula;Deployment was supposed to be quick and easy. The app didn’t even ask for the car’s registration number but reported that everything had to be in order. The end result is parking fines in addition to the paid parking fee. Forwarding a receipt didn’t help, no, it helped even if the parking GPS was in the right place. Neveragain;1;2020-06-19;5.05;0.6858;positive
136;Margarita Kataja;I haven’t used and updated the app in a long time. Now that I finally got it updated, it refused to boot. Every time I try to open the app, a rotating logo appears on the screen that stays rotating and nothing goes beyond it. The internet connection is good, so the problem isn't there ... I also tried to download the app again, but that didn't help either.;1;2020-06-13;nan;-0.5463;negative
140;Maicol X777;Street parking failed!;1;2020-05-28;5.05;-0.5562;negative
141;KariMatti Nalli;Great system!;5;2020-05-22;5.00;0.6588;positive
146;Jukka Rissanen;ParkMan doesn't work but complains that my bank doesn't pay for it! It’s not my fault your connection won’t work after years.;1;2020-05-05;nan;0.7506;positive
151;Sami Lehtinen;Good and easy to use;5;2020-04-17;5.01;0.7003;positive
154;Sirkku Maksimainen;An easy and functional solution in the city😊;5;2020-04-09;5.01;0.8807;positive
155;Markku Lehesvuo;Good and easy to use;5;2020-04-09;4.94;0.7003;positive
156;Laura Jetten;The app seemed good at first: no need to ramp outside to increase parking time and parking can be stopped earlier if you wish. BUT the app takes a lot more money than an area parking meter !! For example, a parking meter for 2 and a half hours is € 5, but Parkman takes € 6.60! This would give you almost an hour more extra time from the parking meter!;1;2020-04-01;5.00;0.5526;positive
157;Pasi Vuorinen;The latest update broke something. Can no longer be used without wifi location information and will never notify you that the charge will remain on if you leave the Park.;5;2020-03-31;5.01;-0.6369;negative
162;Jussi Mäkinen;€ 10 free parking money with T6CB code;5;2020-03-10;4.94;0.5106;positive
163;Kikka Nilsson;Easy to use, good customer service;5;2020-03-06;4.94;0.7003;positive
164;Olli Vihma;Good, easy going and functional.;5;2020-03-05;4.94;0.7003;positive
165;Arto Melaranta;Great and the best working here;5;2020-03-05;4.94;0.8519;positive
167;Ari Markkanen;Pretty good;5;2020-03-03;4.94;0.7269;positive
171;TM;25.2. the update squatted the app in Honor 8, no longer works ... Luckily for the competitor to work, I couldn’t wait to see what happens next.;1;2020-02-26;5.00;0.6486;positive
174;Jani K;Good. Use code ZRB1 to get 10e free parking.;5;2020-02-23;4.94;0.7351;positive
176;Ville Ruti;Great app! With the code PAGQP4 you get € 10 free parking money up front.;5;2020-02-14;4.94;0.8268;positive
177;Eija Ojanperä;Good app. With this pre-code you get free parking for 10 euros, 41A45L. Enter the Promotional Code when you sign up.;4;2020-02-11;4.94;0.7351;positive
179;Henry Pehkonen;Good and easy to use;5;2020-02-06;4.94;0.7003;positive
180;Reino Pättiniemi;Clear and easy to use. Billing clear and informative.;5;2020-02-04;4.94;0.7964;positive
181;Marko Virta;Great feeling when you get free parking;5;2020-01-28;4.94;0.836;positive
184;Agim Packa;Brilliant;5;2020-01-25;4.94;0.5859;positive
185;Marjo Tapojärvi;keep in mind to strengthen, otherwise great;4;2020-01-18;4.94;0.7506;positive
187;Pia Kauppinen;Works really well and very happy with my monthly billing. Customer service is good!;5;2020-01-17;4.94;0.8617;positive
188;Laura Suhonen;Easy and convenient. With this pre-code HL5ZAX you get another € 10 free parking time, which is better😄;5;2020-01-16;4.94;0.9274;positive
190;Tero Puumalainen;Easy and fast installation. Parking time can be easily changed if necessary, works! With that promotional code another 10 € free parking time: 3WUD6Q;5;2020-01-10;4.94;0.8356;positive
191;Joni Kauppila;Great app! With code MB2XUC € 10 free parking money. ✌️;5;2019-12-29;4.94;0.8268;positive
194;jussuf33;Pretty good. The location is not always found;4;2019-12-19;4.91;0.7269;positive
199;Midmanic m;Good and functional. Makes parking much easier.;5;2019-12-07;4.91;0.6908;positive
202;Sami Koivunen;Works great, easy to use. Promotional code E1571E € 10 free parking.;5;2019-12-01;4.91;0.8834;positive
204;Risto Anttonen;There is no time and no reminder;1;2019-11-29;4.91;-0.5267;negative
209;Petri Räsänen;Works great 👍;5;2019-11-24;4.91;0.6249;positive
213;Mari Wallenius;4AUA6F free parking time;5;2019-11-19;4.91;0.5106;positive
217;Eero Kurru;€ 20 free parking with promotional code 5ABZ;5;2019-11-12;4.88;0.5106;positive
219;Tomi H;Works like a train toilet. Alright!;5;2019-11-11;4.91;0.5848;positive
220;Laura Lehtismäki;I switched from easypark to parkman because of the prices. Works without problems! With code A9JE25 you get € 10 free parking time 🙂;5;2019-11-09;4.90;0.8204;positive
221;Sandoza Nosslo;When registering, use code 7P67WS to get free parking 10e. The application worked well and made everyday life easier!;5;2019-11-09;4.91;0.8172;positive
222;Markku Väisänen;Great help. You do not grab the cabin with an automatic machine👌;5;2019-11-04;4.89;0.9175;positive
226;Lingnoi Coc;3HSAUP here you get € 10 free parking;5;2019-10-29;4.89;0.5106;positive
227;Kirsti Laukkanen;Great, easy going, so so best.;5;2019-10-29;4.86;0.9289;positive
229;Jari Nieminen;Only a few times needed. It has worked well. Much easier than those old systems. Useful.;5;2019-10-24;4.88;0.7783;positive
233;Kauno Riihonen;Finds a great location and zone. Quick to use and easy to pay. You can set your own default time and change it later.;3;2019-10-18;4.87;0.765;positive
234;Esa Salo;Good, comprehensive;5;2019-10-18;4.88;0.5994;positive
238;Casper;Easy to use and good, no complaints;5;2019-10-14;4.87;0.794;positive
241;Outi Mäkelä;Works really for sure! The instructions are clear because the screen has everything you need available, no unnecessary add-ons or content. T. Outi M.;5;2019-10-10;nan;0.5057;positive
244;Onni Niemivaara;The app complains many times during the same session that positioning is not on, and Map View is always in Africa by default. You will not be able to stop parking until you zoom in to Finland and the city where you are in the Park, only then will active parking be visible. Annoying.;2;2019-10-02;4.87;-0.5859;negative
246;Joni Mononen;NVP9G5 with code 10e parking money 👍 Convenient application if you are not sure about the parking time. Time can be increased remotely if needed. An easy-to-use application, even this kind of first-timer was hooked on what it was all about. There was little doubt as to whether the whole thing would work when everything was so easy 😂;4;2019-10-01;4.87;0.678;positive
247;Mark Lassfolk;Wonderful <3;4;2019-09-30;4.84;0.765;positive
248;jan sor;With the 9TCB code you get a balance of 10 € !!! A very functional and easy to use application;5;2019-09-25;4.87;0.6174;positive
251;Henri Luhtamaa;Great app! Grab yourself this free € 10 parking with code 78EX1F 😋;5;2019-09-23;4.87;0.8507;positive
252;Kia Kavetvuo;Rarely come across such a user-friendly application! Great thing that the app also recognizes puck slots as well as free times.;5;2019-09-20;4.87;0.8687;positive
254;Arja Marin;Top easy;5;2019-09-16;4.87;0.5719;positive
255;Petri Liikari;A really good app!;5;2019-09-16;4.87;0.54;positive
256;Sami Kasari;Good and easy;5;2019-09-15;4.86;0.7003;positive
